"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00082150","1924","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","1541.0","","1541.0","6","108","6","95","6","","","","","0","6","0","6","0","6","296","6","37","6","1.7","6,0209,+","","","","","326.4",",6,1010,","35.6","6,0530,","","","","","","","","","","","","","","","","","","","1897.4",",6","","","21.39","6","25.90","6","16.89","6"
"USC00082150","1925","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","","","","","80","6","72","6","","","","","0","6","1","6","","","","","","","0.0","6,1228,","","","","","82.6",",6,1201,","","","0.0","6,1228","","","","","","","","","","","","","","","","","933.5",",6","","","","","","","16.63","6"
"USC00082150","1926","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","1304.9","","1304.9","6","82","6","79","6","","","","","0","6","1","6","0","6","294","6","10","6","-1.1","6,0314,","","","","","170.2",",6,0728,","34.4","6,0710,","","","","","","","","","-1.1","6,0314","","","","","572.3","","572.3","6","1354.5",",6","","","20.52","6","25.00","6","16.04","6"
"USC00082150","1927","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","","","","","65","6","62","6","","","","","0","6","4","6","0","6","309","6","25","6","-2.2","6,0116,+","","","","","76.2",",6,0612,","36.7","6,0702,","","","","","","","","","0.0","6,0303","-2.2","6,0116","","","332.2","","332.2","6","800.1",",6","","","21.73","6","25.93","6","17.54","6"
"USC00082150","1928","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","1522.1","","1522.1","6","59","6","59","6","","","","","0","6","5","6","0","6","306","6","20","6","-3.9","6,0103,","","","","","66.8",",6,0917,","33.3","6,0728,+","","","","","","","","","-1.1","6,0219","-3.3","6,0104","","","","","","","1043.7",",6","","","21.34","6","25.48","6","17.20","6"
"USC00082150","1929","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","","","","","70","6","70","6","","","","","0","6","2","6","","","","","","","-1.1","6,1224,","","","","","62.5",",6,0415,","","","-0.6","6,1220","","","","","","","","","","","","","","","","","836.4",",6","","","","","","","18.03","6"
"USC00082150","1930","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","1608.7","","1608.7","6","85","6","85","6","","","","","0","6","0","6","0","6","292","6","36","6","1.1","6,1224,","","","","","101.6",",6,0614,","37.2","6,0730,","","","","","","","","","","","","","","","345.5","","345.5","6","1389.7",",6","","","21.61","6","25.75","6","17.48","6"
"USC00082150","1931","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","1684.8","","1684.8","6","64","6","64","6","","","","","0","6","0","6","0","6","294","6","36","6","0.6","6,0115,","","","","","103.4",",6,0405,","35.0","6,0804,+","","","","","","","","","","","","","","","556.5","","556.5","6","1090.4",",6","","","21.92","6","26.01","6","17.84","6"
"USC00082150","1932","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","1818.9","","1818.9","6","72","6","66","6","","","","","0","6","0","6","0","6","335","6","46","6","0.6","6,0314,+","","","","","134.6",",6,1105,","37.8","6,0724,","","","","","","","","","","","","","","","114.0","","114.0","6","1244.8",",6","","","22.73","6","26.96","6","18.50","6"
"USC00082150","1933","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","1742.2","","1742.2","6","62","6","59","6","","","","","0","6","0","6","0","6","320","6","38","6","3.3","6,0209,","","","","","62.2",",6,0110,","34.4","6,0607,","","","","","","","","","","","","","","","233.6","","233.6","6","1106.4",",6","","","22.47","6","26.64","6","18.29","6"
"USC00082150","1934","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","1728.9","","1728.9","6","","","","","","","","","0","6","4","6","0","6","318","6","43","6","-3.9","6,1212,","","","","","","","35.0","6,1006,","-0.6","6,1211","-3.9","6,1212","","","","","0.0","6,0130","","","","","275.5","","275.5","6","","","","","22.22","6","26.57","6","17.87","6"
"USC00082150","1935","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","1566.9","","1566.9","6","98","6","85","6","","","","","0","6","9","6","0","6","307","6","62","6","-3.3","6,1228,","","","","","101.6",",6,1007,","35.6","6,0805,","-0.6","6,1201","-2.2","6,1221","","","","","-1.1","6,0228","","","","","353.3","","353.3","6","1257.5",",6","","","21.28","6","27.21","6","15.36","6"
"USC00082150","1936","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","1574.4","","1574.4","6","131","6","83","6","","","","","0","6","5","6","0","6","311","6","54","6","-1.1","6,0201,+","","","","","98.0",",6,0604,","36.1","6,0727,","0.0","6,1221","","","","","","","-1.1","6,0201","","","","","554.9","","554.9","6","1284.9",",6","","","21.44","6","26.72","6","16.16","6"
"USC00082150","1937","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","1438.5","","1438.5","6","","","","","","","","","0","6","3","6","0","6","289","6","17","6","-3.9","6,1207,","","","","","","","35.0","6,0629,+","-1.1","6,1121","-3.9","6,1207","","","","","","","","","","","306.7","","306.7","6","","","","","21.11","6","24.96","6","17.27","6"
"USC00082150","1938","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","","","","","66","6","51","6","","","","","","","","","0","6","305","6","26","6","","","","","","","76.5",",6,0919,","36.7","6,0818,","","","","","","","","","","","","","","","432.1","","432.1","6","937.8",",6","","","","","25.65","6","",""
"USC00082150","1939","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","","","","","60","6","56","6","","","","","","","","","","","","","","","","","","","","","61.0",",6,0616,","","","","","","","","","","","","","","","","","","","","","928.0",",6","","","","","","","",""
"USC00082150","1940","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","1334.3","","1334.3","6","68","6","53","6","","","","","0","6","10","6","0","6","291","6","24","6","-5.0","6,0127,","","","","","50.8",",6,0927,","35.6","6,0726,","-2.2","6,1116","-2.2","6,1116","","","","","0.0","6,0204","-2.8","6,0129","-4.4","6,0128","","","","","946.6",",6","","","20.40","6","24.87","6","15.93","6"
"USC00082150","1941","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","","","","","89","6","74","6","","","","","","","","","0","6","284","6","33","6","","","","","","","149.1",",6,1021,","35.0","6,0801,","","","","","","","","","","","","","","","","","","","1543.5",",6","","","","","25.55","6","",""
"USC00082150","1942","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","1503.2","","1503.2","6","70","6","57","6","","","","","0","6","2","6","0","6","296","6","31","6","-0.6","6,0111,","","","","","66.0",",6,0904,","35.6","6,0721,+","","","","","","","","","0.0","6,0228","","","","","443.6","","443.6","6","893.5",",6","","","21.14","6","25.85","6","16.43","6"
"USC00082150","1943","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","1481.3","","1481.3","6","73","6","60","6","","","","","0","6","5","6","0","6","355","6","36","6","-5.0","6,0215,","","","","","139.7",",6,0820,","35.0","6,0817,","-1.1","6,1220","","","","","","","-2.8","6,0304","-2.8","6,0304","-5.0","6,0215","290.3","","290.3","6","1432.6",",6","","","21.60","6","27.17","6","16.03","6"
"USC00082150","1950","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","","","","","99","0","60","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0","T,0,0629,+","105.9",",0,1019,","","","","","","","","","","","","","","","","","","","","","1099.2",",0","0","T,0","","","","","",""
"USC00082150","1951","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","1673.3","","1673.3","0","108","0","66","0","0","","0","0","0","0","2","0","0","0","301","0","79","0","0.0","0,0203,+","0",",0,1231,+","0",",0,1231,+","76.5",",0,0930,","37.2","0,0809,","","","","","","","","","0.0","0,0203","","","","","","","","","1215.9",",0","0",",0","21.74","0","26.60","0","16.87","0"
"USC00082150","1952","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","322.1","","322.1","0","","","","","","","","","",""
"USC00082150","1954","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","1718.2","","1718.2","0","94","0","63","0","0","","0","0","0","0","2","0","0","0","298","0","63","0","-1.1","0,1220,","0",",0,1231,+","0",",0,1231,+","129.8",",0,1008,","37.8","0,0629,+","-1.1","0,1220","","","","","","","","","","","","","","","","","950.7",",0","0",",0","21.78","0","26.36","0","17.20","0"
"USC00082150","1955","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","445.9","","445.9","0","","","","","","","","","",""
"USC00082150","1956","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","","","","","77","0","47","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","85.3",",0,1016,","","","","","","","","","","","","","","","","","","","","","945.3",",0","0",",0","","","","","",""
"USC00082150","1957","29.1966","-81.0084","8.8","DAYTONA BEACH, FL US","","","","","115","0","84","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","129.0",",0,0712,","","","","","","","","","","","","","","","","","275.4","","275.4","","1516.7",",0","0",",0","","","","","",""
