"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00084707","1925","28.10417","-81.71444","42.1","LAKE ALFRED EXPERIMENTAL STATION, FL US","1917.7","","1917.7","0","103","0","85","0","","","","","0","0","0","0","0","0","329","0","127","0","0.6","0,1124,","","","","","76.2",",0,1201,+","36.1","0,0906,","","","","","","","","","","","","","","","","","","","183.8","","183.8","0","","","","","1564.0",",0","","","22.94","0","28.99","0","16.88","0","",""
"USC00084707","1926","28.10417","-81.71444","42.1","LAKE ALFRED EXPERIMENTAL STATION, FL US","1783.8","","1783.8","0","103","0","91","0","","","","","0","0","1","0","0","0","320","0","135","0","0.0","0,0212,","","","","","77.5",",0,0719,","36.1","0,0903,+","","","","","","","","","","","0.0","0,0212","","","","","","","362.2","","362.2","0","","","","","1548.7",",0","","","22.50","0","28.86","0","16.14","0","",""
"USC00084707","1928","28.10417","-81.71444","42.1","LAKE ALFRED EXPERIMENTAL STATION, FL US","1868.8","","1868.8","0","104","0","75","0","","","","","0","0","7","0","0","0","337","0","127","0","-5.0","0,0103,","","","","","179.8",",0,0809,","37.2","0,0824,+","","","","","","","","","","","-0.6","0,0229","-2.2","0,0219","-4.4","0,0104","","","","","","","","","","","1410.5",",0","","","22.41","0","28.97","0","15.86","0","",""
"USC00084707","1929","28.10417","-81.71444","42.1","LAKE ALFRED EXPERIMENTAL STATION, FL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","261.2","","261.2","0","","","","","","","","","","","","","","","",""
"USC00084707","1931","28.10417","-81.71444","42.1","LAKE ALFRED EXPERIMENTAL STATION, FL US","","","","","87","0","75","0","","","","","","","","","","","","","","","","","","","","","76.2",",0,0303,","","","","","","","","","","","","","","","","","","","","","515.3","","515.3","","","","","","1061.4",",0","","","","","","","","","",""
"USC00084707","1933","28.10417","-81.71444","42.1","LAKE ALFRED EXPERIMENTAL STATION, FL US","2006.0","","2006.0","0","87","0","68","0","","","","","0","0","0","0","0","0","347","0","133","0","1.7","0,0129,","","","","","259.1",",0,0905,","37.2","0,0918,+","","","","","","","","","","","","","","","","","","","","","","","","","","","1385.0",",0","","","23.25","0","29.57","0","16.93","0","",""
"USC00084707","1934","28.10417","-81.71444","42.1","LAKE ALFRED EXPERIMENTAL STATION, FL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","251.4","","251.4","","","","","","","","","","","","","","","","",""
"USC00084707","1936","28.10417","-81.71444","42.1","LAKE ALFRED EXPERIMENTAL STATION, FL US","1795.5","","1795.5","0","101","0","77","0","","","","","0","0","2","0","0","0","304","0","119","0","-0.6","0,1128,","","","","","78.7",",0,0813,","37.2","0,0705,+","","","-0.6","0,1128","","","","","","","0.0","0,0201","","","","","","","","","","","","","","","1351.0",",0","","","22.24","0","27.73","0","16.75","0","",""
"USC00084707","1937","28.10417","-81.71444","42.1","LAKE ALFRED EXPERIMENTAL STATION, FL US","1604.1","","1604.1","0","96","0","71","0","","","","","0","0","5","0","0","0","308","0","95","0","-3.9","0,1207,","","","","","75.7",",0,0611,","36.1","0,0908,+","","","-0.6","0,1121","-3.9","0,1207","","","","","","","","","","","","","308.0","","308.0","0","","","","","1354.1",",0","","","21.69","0","26.86","0","16.52","0","",""
"USC00084707","1938","28.10417","-81.71444","42.1","LAKE ALFRED EXPERIMENTAL STATION, FL US","1698.4","","1698.4","0","74","0","57","0","","","","","0","0","5","0","0","0","331","0","107","0","-1.7","0,0127,","","","","","74.9",",0,1014,","37.2","0,0827,","","","0.0","0,1128","","","","","","","-1.1","0,0129","","","","","","","339.0","","339.0","0","","","","","951.9",",0","","","22.18","0","28.31","0","16.05","0","",""
"USC00084707","1939","28.10417","-81.71444","42.1","LAKE ALFRED EXPERIMENTAL STATION, FL US","","","","","97","0","84","0","","","","","","","","","","","","","","","","","","","","","106.7",",0,0615,","","","","","","","","","","","","","","","","","","","","","263.1","","263.1","0","","","","","1496.3",",0","","","","","","","","","",""
"USC00084707","1941","28.10417","-81.71444","42.1","LAKE ALFRED EXPERIMENTAL STATION, FL US","1624.8","","1624.8","0","108","0","82","0","","","","","0","0","5","0","0","0","326","0","76","0","-2.2","0,0302,","","","","","99.1",",0,0403,","37.2","0,0827,+","","","","","","","","","","","-2.2","0,0302","-2.2","0,0302","","","","","429.1","","429.1","0","","","","","1453.0",",0","","","21.69","0","27.28","0","16.10","0","",""
"USC00084707","1942","28.10417","-81.71444","42.1","LAKE ALFRED EXPERIMENTAL STATION, FL US","1764.7","","1764.7","0","100","0","71","0","","","","","0","0","5","0","0","0","325","0","111","0","-1.1","0,0203,+","","","","","54.4",",0,0417,","38.9","0,0720,","","","0.0","0,1217","","","","","","","-1.1","0,0203","","","","","","","394.1","","394.1","0","","","","","1139.1",",0","","","21.92","0","28.53","0","15.30","0","",""
"USC00084707","1943","28.10417","-81.71444","42.1","LAKE ALFRED EXPERIMENTAL STATION, FL US","","","","","105","0","76","0","","","","","","","","","","","","","","","","","","","","","73.9",",0,0820,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1362.4",",0","","","","","","","","","",""
