"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00085182","1941","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1704.8","","1704.8","6","158","6","97","6","","","","","0","6","1","6","0","6","342","6","102","6","-2.2","6,0302,","","","","","134.1",",6,0921,","36.1","6,0901,","16424.3","6","","","","","-2.2","6,0302","-2.2","6,0302","","","","","","","1880.6",",6","","","22.43","6","28.57","6","16.28","6"
"USC00085182","1942","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1708.8","","1708.8","6","","","","","","","","","0","6","3","6","0","6","344","6","108","6","-1.7","6,0304,","","","","","","","38.3","6,0722,","16355.0","6","","","","","-1.1","6,0305","","","","","270.2","","270.2","6","","","","","22.16","6","28.69","6","15.63","6"
"USC00085182","1943","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1677.0","","1677.0","6","130","6","80","6","","","","","0","6","3","6","0","6","349","6","119","6","-1.7","6,0216,","","","","","66.3",",6,1010,","36.7","6,0921,","15652.9","6","0.0","6,1220","","","-1.7","6,0216","","","","","183.4","","183.4","6","1340.7",",6","","","22.31","6","28.87","6","15.75","6"
"USC00085182","1944","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1839.2","","1839.2","6","129","6","83","6","","","","","0","6","2","6","0","6","352","6","132","6","-0.6","6,1216,+","","","","","127.5",",6,1016,","37.8","6,0626,+","","","-0.6","6,1215","","","","","","","","","193.5","","193.5","6","1460.8",",6","","","22.83","6","29.51","6","16.15","6"
"USC00085182","1945","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1867.0","","1867.0","6","","","","","","","","","0","6","2","6","0","6","349","6","116","6","-1.1","6,1202,","","","","","","","36.7","6,0426,","17285.5","6","0.0","6,1201","","","","","","","","","195.0","","195.0","6","","","","","23.02","6","29.48","6","16.56","6"
"USC00085182","1946","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1942.5","","1942.5","6","152","6","91","6","","","","","0","6","0","6","0","6","355","6","93","6","3.3","6,0119,","","","","","158.5",",6,1102,","35.6","6,0812,+","16523.1","6","","","","","","","","","","","161.0","","161.0","6","1538.0",",6","","","23.45","6","29.38","6","17.52","6"
"USC00085182","1947","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","","","","","","","","","","","","","","","","","0","6","340","6","80","6","","","","","","","","","35.0","6,0902,","14167.4","6","","","","","","","","","","","178.5","","178.5","6","","","","","","","28.71","6","",""
"USC00085182","1949","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1911.2","","1911.2","0","121","0","84","0","0","","0","0","0","0","1","0","0","0","359","0","106","0","-1.1","0,0102,","0",",0,1231,+","0",",0,1231,+","183.9",",0,0827,","35.6","0,0819,","","","","","","","-1.1","0,0102","","","","","66.5","","66.5","0","1725.3",",0","0",",0","23.28","0","29.56","0","17.00","0"
"USC00085182","1951","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1687.9","","1687.9","0","124","0","82","0","0","","0","0","0","0","0","0","0","0","344","0","119","0","1.1","0,0110,+","0",",0,1231,+","0",",0,1231,+","108.7",",0,1014,","35.0","0,0809,+","","","","","","","","","","","","","326.6","","326.6","0","1650.4",",0","0",",0","22.35","0","28.83","0","15.87","0"
"USC00085182","1952","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","","","","","128","0","90","0","0","","0","0","0","0","0","0","","","","","","","1.7","0,1217,","0",",0,1231,+","0",",0,1231,+","79.2",",0,0923,","","","","","","","","","","","","","","","","","","","1536.7",",0","0",",0","","","","","16.31","0"
