"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00085315","1922","27.9","-81.566667","46.6","MAMMOTH GROVE LAKE WALES, FL US","2068.4","","2068.4","6","85","6","77","6","0","6","0","6","0","6","352","6","160","6","0.6","6,0113,","62.2",",6,0524,","37.2","6,0619,+","","","","","","","","","","","","","1296.2",",6","23.56","6","30.53","6","16.59","6"
"USC00085315","1923","27.9","-81.566667","46.6","MAMMOTH GROVE LAKE WALES, FL US","","","","","90","6","76","6","0","6","0","6","","","","","","","0.6","6,0220,+","72.4",",6,0525,","","","","","","","","","","","","","","","1351.1",",6","","","","","15.86","6"
"USC00085315","1924","27.9","-81.566667","46.6","MAMMOTH GROVE LAKE WALES, FL US","","","","","90","6","85","6","","","","","","","","","","","","","77.7",",6,0606,","","","","","","","","","","","","","","","1479.2",",6","","","","","",""
"USC00085315","1925","27.9","-81.566667","46.6","MAMMOTH GROVE LAKE WALES, FL US","","","","","91","6","77","6","","","","","","","","","","","","","87.1",",6,0112,","","","","","","","","","","","","","","","1387.2",",6","","","","","",""
"USC00085315","1926","27.9","-81.566667","46.6","MAMMOTH GROVE LAKE WALES, FL US","","","","","96","6","82","6","0","6","4","6","","","","","","","-1.7","6,1231,","68.6",",6,0408,","","","-1.7","6,1231","-0.6","6,0213","","","","","","","","","1382.8",",6","","","","","15.77","6"
"USC00085315","1927","27.9","-81.566667","46.6","MAMMOTH GROVE LAKE WALES, FL US","1988.5","","1988.5","6","87","6","64","6","0","6","9","6","0","6","343","6","156","6","-5.0","6,0112,","96.8",",6,0830,","38.9","6,0614,+","-1.7","6,1221","-0.6","6,0304","-3.3","6,0116","-5.0","6,0112","268.9","","268.9","6","982.4",",6","22.93","6","29.83","6","16.02","6"
"USC00085315","1929","27.9","-81.566667","46.6","MAMMOTH GROVE LAKE WALES, FL US","","","","","","","","","","","","","0","6","349","6","114","6","","","","","36.7","6,0630,","","","","","","","","","185.7","","185.7","6","","","","","29.29","6","",""
"USC00085315","1930","27.9","-81.566667","46.6","MAMMOTH GROVE LAKE WALES, FL US","1716.1","","1716.1","6","97","6","79","6","0","6","0","6","0","6","326","6","87","6","0.6","6,1224,","78.7",",6,0802,","35.6","6,0810,+","","","","","","","","","","","","","1492.8",",6","22.23","6","27.69","6","16.77","6"
"USC00085315","1931","27.9","-81.566667","46.6","MAMMOTH GROVE LAKE WALES, FL US","1775.6","","1775.6","6","95","6","66","6","0","6","1","6","0","6","332","6","105","6","-0.6","6,0115,","73.7",",6,0415,","36.7","6,0709,+","","","-0.6","6,0115","","","","","452.0","","452.0","6","1013.0",",6","22.45","6","28.34","6","16.55","6"
"USC00085315","1932","27.9","-81.566667","46.6","MAMMOTH GROVE LAKE WALES, FL US","1931.8","","1931.8","6","74","6","66","6","0","6","1","6","0","6","348","6","122","6","-0.6","6,0314,","93.5",",6,0520,","38.3","6,0715,+","","","-0.6","6,0314","","","","","90.4","","90.4","6","946.3",",6","23.09","6","29.67","6","16.51","6"
"USC00085315","1933","27.9","-81.566667","46.6","MAMMOTH GROVE LAKE WALES, FL US","1723.0","","1723.0","6","83","6","79","6","0","6","0","6","0","6","347","6","110","6","1.7","6,1223,","215.9",",6,0904,","36.7","6,0826,+","","","","","","","","","213.5","","213.5","6","1558.5",",6","22.48","6","29.14","6","15.82","6"
"USC00085315","1934","27.9","-81.566667","46.6","MAMMOTH GROVE LAKE WALES, FL US","","","","","114","6","85","6","","","","","","","","","","","","","152.4",",6,0615,","","","","","","","","","","","","","","","1459.4",",6","","","","","",""
"USC00085315","1935","27.9","-81.566667","46.6","MAMMOTH GROVE LAKE WALES, FL US","","","","","89","6","71","6","","","","","","","","","","","","","66.8",",6,0915,","","","","","","","","","","","","","","","1108.4",",6","","","","","",""
"USC00085315","1936","27.9","-81.566667","46.6","MAMMOTH GROVE LAKE WALES, FL US","","","","","89","6","82","6","0","","1","6","","","","","","","-1.1","6,0201,","64.8",",6,0309,","","","","","-1.1","6,0201","","","","","","","","","1327.8",",6","","","","","16.31","6"
