"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00085850","1903","30.7","-87.366667","14.9","MOLINO, FL US","1199.9","","1199.9","6","68","6","68","6","0","6","44","6","0","6","277","6","103","6","-6.7","6,1227,+","165.1",",6,1101,","39.4","6,0912,","-1.1","6,1025","-3.9","6,1119","-5.6","6,1128","-6.7","6,1208","-0.6","6,0223","-4.4","6,0218","-4.4","6,0218","-6.7","6,0113","","","","","1707.2",",6","18.83","6","26.22","6","11.43","6"
"USC00085850","1904","30.7","-87.366667","14.9","MOLINO, FL US","","","","","74","6","74","6","","","","","","","","","","","","","92.7",",6,0609,","","","","","","","","","","","","","","","","","","","","","","","1367.6",",6","","","","","",""
"USC00085850","1906","30.7","-87.366667","14.9","MOLINO, FL US","","","","","","","","","","","","","0","6","282","6","108","6","","","","","36.7","6,0915,+","","","","","","","","","","","","","","","","","1073.6","","1073.6","6","","","","","26.35","6","",""
"USC00085850","1908","30.7","-87.366667","14.9","MOLINO, FL US","","","","","62","6","61","6","","","","","","","","","","","","","96.5",",6,0324,","","","","","","","","","","","","","","","","","","","","","","","1487.2",",6","","","","","",""
"USC00085850","1909","30.7","-87.366667","14.9","MOLINO, FL US","","","","","79","6","79","6","","","","","","","","","","","","","122.7",",6,1212,","","","","","","","","","","","","","","","","","","","","","","","1915.4",",6","","","","","",""
"USC00085850","1911","30.7","-87.366667","14.9","MOLINO, FL US","","","","","51","6","51","6","","","","","","","","","","","","","252.7",",6,0812,","","","","","","","","","","","","","","","","","","","","","","","1813.8",",6","","","","","",""
"USC00085850","1912","30.7","-87.366667","14.9","MOLINO, FL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1064.0","","1064.0","6","","","","","","","",""
"USC00085850","1913","30.7","-87.366667","14.9","MOLINO, FL US","","","","","55","6","55","6","","","","","0","6","305","6","83","6","","","166.4",",6,0915,","38.9","6,0718,","","","","","","","","","","","","","","","","","","","","","1845.7",",6","","","26.64","6","",""
"USC00085850","1914","30.7","-87.366667","14.9","MOLINO, FL US","1128.0","","1128.0","6","52","6","52","6","0","6","23","6","0","6","275","6","50","6","-5.6","6,1120,","91.4",",6,1229,","39.4","6,0626,","0.0","6,1119","-5.6","6,1120","-5.6","6,1120","","","0.0","6,0410","-3.9","6,0107","","","","","","","","","1385.7",",6","18.95","6","25.26","6","12.63","6"
"USC00085850","1915","30.7","-87.366667","14.9","MOLINO, FL US","1339.2","","1339.2","6","43","6","43","6","0","6","15","6","0","6","259","6","93","6","-2.2","6,1204,+","106.7",",6,0511,","37.2","6,0803,+","0.0","6,1116","-2.2","6,1203","","","","","-0.6","6,0324","","","","","","","1030.0","","1030.0","6","1342.1",",6","19.39","6","25.82","6","12.96","6"
"USC00085850","1916","30.7","-87.366667","14.9","MOLINO, FL US","","","","","61","6","61","6","0","6","20","6","","","","","","","-3.3","6,0203,","165.1",",6,0706,","","","0.0","6,1114","","","","","","","0.0","6,0220","-3.3","6,0203","","","","","","","","","1862.0",",6","","","","","13.14","6"
