"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00086764","2003","26.8261","-80.1488","6.1","PALM BEACH GARDENS, FL US","","","","","","","","","","","0","0","","","","","","","","","","","","","","","0",",0,1231,+","","","","","","","","","","","","","1484.3",",0","0",",0","","","","","",""
"USC00086764","2004","26.8261","-80.1488","6.1","PALM BEACH GARDENS, FL US","","","","","74","0","65","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","47.8",",0,1007,","","","","","","","172.5","","172.5","0","970.7",",0","0",",0","","","","","",""
"USC00086764","2005","26.8261","-80.1488","6.1","PALM BEACH GARDENS, FL US","","","","","109","0","99","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","69.9",",0,0905,","","","","","","","","","","","1406.9",",0","0",",0","","","","","",""
"USC00086764","2006","26.8261","-80.1488","6.1","PALM BEACH GARDENS, FL US","2081.7","","2081.7","0","89","0","85","0","0","","0","0","0","0","0","0","0","0","344","0","70","0","2.8","0,0214,","0",",0,1231,+","0",",0,1231,+","104.1",",0,1215,","35.6","0,0814,","","","","","","","","","1208.4",",0","0",",0","23.57","0","28.25","0","18.89","0"
"USC00086764","2007","26.8261","-80.1488","6.1","PALM BEACH GARDENS, FL US","","","","","97","0","87","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","121.9",",0,0922,","","","","","","","","","","","1586.0",",0","0",",0","","","","","",""
"USC00086764","2008","26.8261","-80.1488","6.1","PALM BEACH GARDENS, FL US","","","","","109","0","99","0","","","0","0","","","","","","","","","","","","","","","0",",0,1231,+","95.3",",0,0819,","","","","","","","","","","","1591.6",",0","0",",0","","","","","",""
"USC00086764","2009","26.8261","-80.1488","6.1","PALM BEACH GARDENS, FL US","2094.7","","2094.7","0","92","0","82","0","0","","0","0","0","0","2","0","0","0","334","0","96","0","0.0","0,0206,+","0",",0,1231,+","0",",0,1231,+","92.7",",0,0401,","35.6","0,0623,","","","0.0","0,0206","203.6","","203.6","0","1562.7",",0","0",",0","23.57","0","28.11","0","19.03","0"
"USC00086764","2010","26.8261","-80.1488","6.1","PALM BEACH GARDENS, FL US","1929.0","","1929.0","0","118","0","99","0","0","","0","0","0","0","7","0","0","0","314","0","64","0","-1.7","0,1214,","0",",0,1231,+","0",",0,1231,+","96.5",",0,0312,","35.6","0,0731,","-1.7","0,1214","0.0","0,0112","352.6","","352.6","0","1781.5",",0","0",",0","22.27","0","26.81","0","17.73","0"
"USC00086764","2011","26.8261","-80.1488","6.1","PALM BEACH GARDENS, FL US","2046.4","","2046.4","7","113","7","92","7","","","","","0","7","0","7","0","7","351","7","62","7","3.3","7,0123,+","","","","","72.4",",7,1029,","35.0","7,0616,","","","","","295.4","","295.4","7","1296.3",",7","","","23.58","7","28.17","7","18.97","7"
"USC00086764","2012","26.8261","-80.1488","6.1","PALM BEACH GARDENS, FL US","1966.7","","1966.7","7","105","7","78","7","","","","","0","7","0","7","0","7","348","7","27","7","2.8","7,0105,+","","","","","116.8",",7,0804,","33.9","7,0802,+","","","","","88.6","","88.6","7","1572.6",",7","","","23.36","7","27.43","7","19.29","7"
"USC00086764","2013","26.8261","-80.1488","6.1","PALM BEACH GARDENS, FL US","2044.1","","2044.1","7","108","7","77","7","","","","","0","7","0","7","0","7","350","7","16","7","4.4","7,0305,+","","","","","81.3",",7,0728,","33.3","7,0725,","","","","","160.8","","160.8","7","1615.0",",7","","","23.58","7","27.34","7","19.82","7"
"USC00086764","2014","26.8261","-80.1488","6.1","PALM BEACH GARDENS, FL US","1964.6","","1964.6","7","129","7","102","7","","","","","0","7","0","7","0","7","343","7","22","7","5.0","7,0124,+","","","","","128.3",",7,0110,","33.9","7,0811,","","","","","96.0","","96.0","7","1753.7",",7","","","23.33","7","27.22","7","19.43","7"
"USC00086764","2015","26.8261","-80.1488","6.1","PALM BEACH GARDENS, FL US","2291.2","","2291.2","7","128","7","91","7","","","","","0","7","0","7","0","7","346","7","22","7","2.2","7,0221,+","","","","","125.7",",7,0301,","33.3","7,0813,+","","","","","173.3","","173.3","7","1406.6",",7","","","24.23","7","27.70","7","20.77","7"
"USC00086764","2016","26.8261","-80.1488","6.1","PALM BEACH GARDENS, FL US","","","","","121","7","97","7","","","","","","","","","","","","","","","","","","","","","79.5",",7,0128,","","","","","","","","","","","1469.7",",7","","","","","","","",""
"USC00086764","2017","26.8261","-80.1488","6.1","PALM BEACH GARDENS, FL US","","","","","114","7","83","7","","","","","","","","","","","","","","","","","","","","","132.1",",7,1029,","","","","","","","58.0","","58.0","7","1620.9",",7","","","","","","","",""
