"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00088754","1893","30.43333","-84.28333","58.5","TALLAHASSEE, FL US","1213.4","","1213.4","6","","","","","0","6","16","6","0","6","258","6","13","6","-5.0","6,0117,+","","","33.9","6,0727,+","-0.6","6,1125","","","","","","","0.0","6,0319","-3.3","6,0305","-5.0","6,0117","","","","","","","","","","","19.36","6","23.96","6","14.76","6"
"USC00088754","1894","30.43333","-84.28333","58.5","TALLAHASSEE, FL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","699.5","","699.5","6","","","","","","","",""
"USC00088754","1895","30.43333","-84.28333","58.5","TALLAHASSEE, FL US","1225.0","","1225.0","6","","","","","0","6","27","6","0","6","245","6","45","6","-11.7","6,0208,","","","34.4","6,0624,","-1.1","6,1127","-2.8","6,1207","","","","","-1.7","6,0303","-3.9","6,0213","-9.4","6,0209","-9.4","6,0209","-9.4","6,0209","","","","","","","18.61","6","23.82","6","13.39","6"
"USC00088754","1897","30.43333","-84.28333","58.5","TALLAHASSEE, FL US","1354.6","","1354.6","6","","","","","0","6","7","6","1","6","267","6","66","6","-7.2","6,0128,","","","36.1","6,0701,+","","","","","","","","","-1.1","6,0228","-3.3","6,0130","-5.6","6,0129","-7.2","6,0128","","","","","","","","","20.00","6","24.79","6","15.20","6"
"USC00088754","1898","30.43333","-84.28333","58.5","TALLAHASSEE, FL US","","","","","","","","","","","","","0","6","273","6","97","6","","","","","35.6","6,0630,+","","","","","","","","","","","","","","","","","","","","","","","","","","","25.89","6","",""
"USC00088754","1899","30.43333","-84.28333","58.5","TALLAHASSEE, FL US","1392.1","","1392.1","6","","","","","1","6","12","6","1","6","268","6","66","6","-18.9","6,0213,","","","35.6","6,0718,+","0.0","6,1205","","","","","","","-3.9","6,0308","-3.9","6,0308","-10.6","6,0214","-10.6","6,0214","-10.6","6,0214","881.2","","881.2","6","","","19.88","6","25.06","6","14.71","6"
"USC00088754","1900","30.43333","-84.28333","58.5","TALLAHASSEE, FL US","","","","","","","","","","","","","0","6","249","6","21","6","","","","","34.4","6,0821,+","","","","","","","","","","","","","","","","","","","805.4","","805.4","6","","","","","24.00","6","",""
"USC00088754","1901","30.43333","-84.28333","58.5","TALLAHASSEE, FL US","1146.1","","1146.1","6","","","","","0","6","23","6","0","6","233","6","30","6","-8.3","6,1221,","","","35.0","6,0713,+","-1.1","6,1215","-3.9","6,1216","-6.7","6,1218","-6.7","6,1218","0.0","6,0317","-3.3","6,0307","","","","","","","","","","","","","18.30","6","23.34","6","13.24","6"
"USC00088754","1902","30.43333","-84.28333","58.5","TALLAHASSEE, FL US","","","","","","","","","0","6","13","6","","","","","","","-5.6","6,1227,","","","","","-5.6","6,1227","-5.6","6,1227","-5.6","6,1227","","","-1.7","6,0218","-3.3","6,0211","","","","","","","1036.9","","1036.9","6","","","","","","","14.76","6"
"USC00088754","1903","30.43333","-84.28333","58.5","TALLAHASSEE, FL US","","","","","","","","","0","6","12","6","","","","","","","-3.9","6,1227,+","","","","","-1.7","6,1119","-2.8","6,1127","","","","","-3.9","6,0218","-3.9","6,0218","","","","","","","","","","","","","","","","","14.35","6"
"USC00088754","1904","30.43333","-84.28333","58.5","TALLAHASSEE, FL US","","","","","79","6","71","6","","","","","","","","","","","","","71.1",",6,0803,","","","","","","","","","","","","","","","","","","","","","886.7","","886.7","6","968.8",",6","","","","","",""
"USC00088754","1905","30.43333","-84.28333","58.5","TALLAHASSEE, FL US","","","","","98","6","90","6","0","6","19","6","","","","","","","-8.3","6,0126,","63.5",",6,0711,","","","-0.6","6,1204","","","","","","","-4.4","6,0216","-4.4","6,0216","-4.4","6,0216","-7.8","6,0214","","","","","","","1486.8",",6","","","","","14.70","6"
"USC00088754","1906","30.43333","-84.28333","58.5","TALLAHASSEE, FL US","","","","","","","","","0","6","10","6","0","6","263","6","40","6","-5.0","6,1224,","","","35.6","6,0629,","-1.7","6,1113","-2.2","6,1223","-5.0","6,1224","","","0.0","6,0321","","","","","","","","","","","","","","","19.55","6","24.67","6","14.44","6"
"USC00088754","1907","30.43333","-84.28333","58.5","TALLAHASSEE, FL US","1302.1","","1302.1","6","","","","","0","6","3","6","0","6","280","6","40","6","-2.2","6,1205,","","","35.0","6,0722,","-2.2","6,1205","-2.2","6,1205","","","","","0.0","6,0206","","","","","","","","","","","","","","","20.14","6","25.14","6","15.14","6"
"USC00088754","1908","30.43333","-84.28333","58.5","TALLAHASSEE, FL US","","","","","89","6","71","6","","","","","0","6","273","6","54","6","","","95.3",",6,0823,","34.4","6,0818,","","","","","","","","","","","","","","","","","","","","","","","1397.4",",6","","","25.34","6","",""
"USC00088754","1909","30.43333","-84.28333","58.5","TALLAHASSEE, FL US","1291.7","","1291.7","6","101","6","76","6","0","6","13","6","0","6","283","6","42","6","-7.8","6,1230,","55.9",",6,0710,","35.6","6,0817,","-1.7","6,1210","-2.2","6,1227","-7.8","6,1230","-7.8","6,1230","-5.6","6,0201","-5.6","6,0201","-5.6","6,0201","","","","","573.6","","573.6","6","1072.0",",6","19.77","6","25.30","6","14.25","6"
"USC00088754","1910","30.43333","-84.28333","58.5","TALLAHASSEE, FL US","1262.7","","1262.7","6","99","6","74","6","0","6","21","6","0","6","254","6","33","6","-3.9","6,1202,","61.0",",6,0301,","34.4","6,0730,+","-1.7","6,1201","-3.9","6,1202","","","","","0.0","6,0219","-2.2","6,0109","","","","","","","890.9","","890.9","6","1279.1",",6","18.95","6","24.50","6","13.40","6"
"USC00088754","1911","30.43333","-84.28333","58.5","TALLAHASSEE, FL US","1417.3","","1417.3","6","105","6","84","6","0","6","11","6","0","6","297","6","62","6","-5.6","6,0104,","88.9",",6,0830,","35.6","6,0616,+","0.0","6,1113","-2.2","6,1125","","","","","0.0","6,0224","-4.4","6,0105","-4.4","6,0105","","","","","732.9","","732.9","6","1442.0",",6","20.66","6","26.04","6","15.28","6"
"USC00088754","1912","30.43333","-84.28333","58.5","TALLAHASSEE, FL US","1294.5","","1294.5","6","118","6","94","6","0","6","15","6","0","6","253","6","35","6","-5.0","6,0116,","137.2",",6,0421,","34.4","6,0903,+","0.0","6,1128","","","","","","","-0.6","6,0212","-3.9","6,0205","-5.0","6,0116","","","","","840.3","","840.3","6","1887.9",",6","19.15","6","23.84","6","14.46","6"
