"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00088782","1977","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","","","","","","","","","","","","","0","Z","312","Z","90","Z","","","","","35.6","Z,0624,+","","","","","","","","","","","","","","","","","","","","","27.35","Z","",""
"USC00088782","1978","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","","","","","","","","","0","Z","5","Z","0","Z","306","Z","91","Z","-1.7","Z,0116,","","","35.6","Z,0830,","","","","","","","-1.1","Z,0207","","","","","","","","","","","21.84","Z","27.56","Z","16.12","Z"
"USC00088782","1979","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","","","","","116","Z","75","Z","0","Z","3","Z","0","Z","324","Z","90","Z","-2.2","Z,0103,","78.0",",Z,0922,","35.0","Z,0707,+","","","","","","","0.0","Z,0210","-2.2","Z,0103","","","","","","","1468.6",",Z","22.11","Z","27.96","Z","16.26","Z"
"USC00088782","1980","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","","","","","115","Z","69","Z","0","Z","4","Z","0","Z","316","Z","88","Z","-2.8","Z,0303,","77.7",",Z,0622,","34.4","Z,0922,+","","","","","","","-0.6","Z,0304","-2.8","Z,0303","","","","","","","1224.3",",Z","21.90","Z","27.60","Z","16.20","Z"
"USC00088782","1981","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1689.2","","1689.2","Z","104","Z","62","Z","0","Z","9","Z","0","Z","318","Z","103","Z","-6.1","Z,0113,","72.9",",Z,0527,","37.2","Z,0617,","0.0","Z,1211","","","","","-1.7","Z,0119","-2.8","Z,0114","-6.1","Z,0113","461.8","","461.8","Z","1071.1",",Z","21.67","Z","27.83","Z","15.52","Z"
"USC00088782","1982","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1876.7","","1876.7","Z","108","Z","67","Z","0","Z","2","Z","0","Z","344","Z","88","Z","-4.4","Z,0112,","119.6",",Z,0618,","35.0","Z,0607,","","","","","","","0.0","Z,0115","-4.4","Z,0112","-4.4","Z,0112","278.3","","278.3","Z","1600.9",",Z","23.00","Z","28.56","Z","17.43","Z"
"USC00088782","1983","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","","","","","127","Z","86","Z","0","Z","3","Z","0","Z","307","Z","86","Z","-5.6","Z,1226,","111.0",",Z,0202,","35.6","Z,0718,","-5.0","Z,1225","-5.0","Z,1225","-5.0","Z,1225","","","","","","","319.2","","319.2","Z","1640.5",",Z","21.77","Z","27.16","Z","16.38","Z"
"USC00088782","1984","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","","","","","99","Z","62","Z","","","","","","","","","","","","","82.0",",Z,0615,","","","","","","","","","","","","","","","","","","","1120.8",",Z","","","","","",""
"USC00088782","1986","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1818.9","","1818.9","Z","127","Z","75","Z","0","Z","3","Z","0","Z","332","Z","105","Z","-3.9","Z,0128,","96.0",",Z,0707,","36.1","Z,0801,","","","","","","","-1.1","Z,0302","-3.9","Z,0128","","","323.7","","323.7","Z","1140.6",",Z","22.65","Z","28.26","Z","17.03","Z"
"USC00088782","1987","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","","","","","114","Z","80","Z","0","Z","1","Z","0","Z","320","Z","96","Z","0.0","Z,0124,","78.0",",Z,0307,","35.6","Z,0808,","","","","","","","0.0","Z,0124","","","","","","","","","1443.6",",Z","21.89","Z","27.46","Z","16.31","Z"
"USC00088782","1988","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1607.3","","1607.3","Z","96","Z","67","Z","0","Z","2","Z","0","Z","319","Z","92","Z","0.0","Z,1219,+","130.8",",Z,0907,","36.7","Z,0627,","0.0","Z,1219","","","","","0.0","Z,0128","","","","","345.5","","345.5","Z","1421.1",",Z","21.72","Z","27.48","Z","15.95","Z"
"USC00088782","1989","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1819.5","","1819.5","Z","101","Z","75","Z","0","Z","4","Z","0","Z","329","Z","117","Z","-5.0","Z,1225,+","125.2",",Z,0910,","35.6","Z,0819,","-0.6","Z,1204","-5.0","Z,1224","-5.0","Z,1224","-3.9","Z,0225","-3.9","Z,0225","","","197.4","","197.4","Z","1220.2",",Z","22.50","Z","28.52","Z","16.49","Z"
