"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00091448","1978","32.66944","-83.74528","149.4","BYRON EXPERIMENT STATION, GA US","1064.4","","1064.4","0","90","0","66","0","0","","0","0","0","0","70","0","0","0","253","0","81","0","-10.0","0,0111,","0",",0,1231,+","0",",0,1231,+","75.7",",0,0125,","39.4","0,0629,","-1.1","0,1206","-5.0","0,1210","-5.0","0,1210","","","","","0.0","0,0328","-2.2","0,0318","-6.7","0,0305","-6.7","0,0305","-9.4","0,0112","","","","","","","","","1040.7",",0","0",",0","17.06","0","23.97","0","10.15","0","",""
"USC00091448","1979","32.66944","-83.74528","149.4","BYRON EXPERIMENT STATION, GA US","992.2","","992.2","0","105","0","71","0","0","","2","0","0","0","49","0","1","0","250","0","49","0","-11.1","0,0109,+","0",",0,1231,+","25",",0,0219,+","68.1",",0,0121,","37.2","0,0705,","-0.6","0,1115","-6.1","0,1130","-6.1","0,1130","-6.7","0,1218","","","-1.1","0,0326","-2.8","0,0220","-6.1","0,0219","-7.8","0,0210","-10.0","0,0110","1347.8","","1347.8","0","","","","","1414.0",",0","50",",0","17.07","0","23.35","0","10.80","0","",""
"USC00091448","1980","32.66944","-83.74528","149.4","BYRON EXPERIMENT STATION, GA US","1240.7","","1240.7","0","112","0","69","0","0","","0","0","0","0","52","0","1","0","223","0","96","0","-11.1","0,0303,","0",",0,1231,+","0","T,0,1227,","100.3",",0,0313,","40.0","0,0714,+","-1.7","0,1119","-2.8","0,1120","-4.4","0,1226","","","","","-0.6","0,0315","-3.9","0,0305","-7.8","0,0304","-7.8","0,0304","-11.1","0,0303","1504.7","","1504.7","0","","","","","926.6",",0","0","T,0","17.35","0","23.67","0","11.03","0","",""
"USC00091448","1981","32.66944","-83.74528","149.4","BYRON EXPERIMENT STATION, GA US","1082.7","","1082.7","0","97","0","68","0","0","","0","0","0","0","51","0","0","0","230","0","68","0","-11.1","0,0112,","0",",0,1231,+","0",",0,1231,+","147.3",",0,0211,","41.7","0,0716,","-1.1","0,1114","-3.3","0,1210","-6.7","0,1211","-6.7","0,1211","-8.9","0,1219","-2.2","0,0320","-2.2","0,0320","-7.8","0,0213","-7.8","0,0213","-10.0","0,0212","1529.8","","1529.8","0","","","","","1259.0",",0","0",",0","16.99","0","23.55","0","10.44","0","",""
"USC00091448","1982","32.66944","-83.74528","149.4","BYRON EXPERIMENT STATION, GA US","1080.3","","1080.3","0","","","","","","","","","0","0","44","0","1","0","257","0","41","0","-16.7","0,0111,","","","","","","","35.6","0,0826,+","0.0","0,1105","-2.8","0,1213","","","","","","","-2.2","0,0407","-2.2","0,0407","-4.4","0,0128","-7.8","0,0127","-8.9","0,0118","1462.4","","1462.4","0","","","","","","","","","17.75","0","24.12","0","11.37","0","",""
"USC00091448","1983","32.66944","-83.74528","149.4","BYRON EXPERIMENT STATION, GA US","1015.9","","1015.9","0","114","0","71","0","0","","0","0","0","0","49","0","1","0","227","0","64","0","-15.6","0,1225,","0",",0,1231,+","0",",0,1231,+","66.0",",0,0214,","38.9","0,0822,","-0.6","0,1112","-5.0","0,1224","-5.0","0,1224","-15.6","0,1225","-15.6","0,1225","-1.1","0,0420","-3.3","0,0313","-5.6","0,0208","-8.3","0,0121","","","1369.7","","1369.7","0","","","","","1415.1",",0","0",",0","16.76","0","23.17","0","10.35","0","",""
"USC00091448","1984","32.66944","-83.74528","149.4","BYRON EXPERIMENT STATION, GA US","1027.9","","1027.9","0","103","0","62","0","0","","0","0","0","0","46","0","0","0","259","0","56","0","-8.9","0,0101,","0",",0,1231,+","0",",0,1231,+","70.1",",0,0731,","36.7","0,0621,","-0.6","0,1107","-2.8","0,1113","-7.8","0,1207","-7.8","0,1207","","","0.0","0,0312","-2.8","0,0310","-6.7","0,0210","-6.7","0,0210","-8.9","0,0101","1464.6","","1464.6","0","","","","","1114.5",",0","0",",0","17.54","0","24.45","0","10.63","0","",""
"USC00091448","1985","32.66944","-83.74528","149.4","BYRON EXPERIMENT STATION, GA US","","","","","98","0","69","0","","","0","0","","","","","","","","","","","","","","","0","T,0,0121,","62.7",",0,1122,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","977.3",",0","0","T,0","","","","","","","",""
"USC00091448","1986","32.66944","-83.74528","149.4","BYRON EXPERIMENT STATION, GA US","1310.7","","1310.7","0","95","0","66","0","","","0","0","0","0","41","0","1","0","251","0","98","0","-12.2","0,0128,","","","0","T,0,0127,","78.7",",0,0905,","38.9","0,0721,","-1.1","0,1114","-3.3","0,1206","","","","","","","-2.2","0,0323","-2.2","0,0323","-4.4","0,0215","-10.6","0,0129","-10.6","0,0129","1244.2","","1244.2","0","","","","","981.9",",0","0","T,0","18.51","0","25.03","0","11.99","0","",""
"USC00091448","1987","32.66944","-83.74528","149.4","BYRON EXPERIMENT STATION, GA US","1111.6","","1111.6","0","","","","","","","0","0","0","0","44","0","0","0","234","0","65","0","-7.8","0,0127,","","","0",",0,1231,+","","","37.2","0,0824,+","-1.1","0,1022","-3.3","0,1112","-4.4","0,1230","","","","","-1.1","0,0406","-2.2","0,0211","-4.4","0,0210","-7.8","0,0127","","","1377.4","","1377.4","0","","","","","","","0",",0","17.51","0","24.09","0","10.93","0","",""
