"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00120922","1949","39.5108","-87.1241","207.0","BRAZIL, IN US","91","0","69","0","","","","","91.4",",0,0118,","1219.8",",0"
"USC00120922","1950","39.5108","-87.1241","207.0","BRAZIL, IN US","110","0","82","0","","","","","101.6",",0,0103,","1223.1",",0"
"USC00120922","1951","39.5108","-87.1241","207.0","BRAZIL, IN US","106","0","73","0","","","","","58.9",",0,0709,","939.3",",0"
"USC00120922","1953","39.5108","-87.1241","207.0","BRAZIL, IN US","80","0","57","0","","","","","73.7",",0,0303,","789.1",",0"
"USC00120922","1954","39.5108","-87.1241","207.0","BRAZIL, IN US","99","0","63","0","","","","","96.0",",0,0731,","963.3",",0"
"USC00120922","1955","39.5108","-87.1241","207.0","BRAZIL, IN US","91","0","70","0","","","","","77.0",",0,0929,","1066.3",",0"
"USC00120922","1956","39.5108","-87.1241","207.0","BRAZIL, IN US","65","0","41","0","","","","","50.3",",0,0402,","713.0",",0"
"USC00120922","1958","39.5108","-87.1241","207.0","BRAZIL, IN US","65","0","48","0","","","","","69.1",",0,0731,","866.4",",0"
"USC00120922","1959","39.5108","-87.1241","207.0","BRAZIL, IN US","104","0","80","0","","","","","73.4",",0,0804,","1026.4",",0"
"USC00120922","1960","39.5108","-87.1241","207.0","BRAZIL, IN US","78","0","56","0","","","","","82.3",",0,0623,","678.1",",0"
"USC00120922","1961","39.5108","-87.1241","207.0","BRAZIL, IN US","102","0","73","0","","","","","81.3",",0,0508,","1007.5",",0"
"USC00120922","1962","39.5108","-87.1241","207.0","BRAZIL, IN US","77","0","58","0","","","","","72.9",",0,0914,","848.3",",0"
"USC00120922","1964","39.5108","-87.1241","207.0","BRAZIL, IN US","","","","","","","","","","","989.0",",0"
"USC00120922","1965","39.5108","-87.1241","207.0","BRAZIL, IN US","97","0","70","0","","","","","54.6",",0,0702,","1015.1",",0"
"USC00120922","1966","39.5108","-87.1241","207.0","BRAZIL, IN US","92","0","70","0","","","","","61.2",",0,0919,","833.7",",0"
"USC00120922","1967","39.5108","-87.1241","207.0","BRAZIL, IN US","118","0","73","0","","","","","50.0",",0,1202,","935.6",",0"
"USC00120922","1968","39.5108","-87.1241","207.0","BRAZIL, IN US","97","0","68","0","","","","","85.6",",0,0523,","1000.1",",0"
"USC00120922","2014","39.5108","-87.1241","207.0","BRAZIL, IN US","","","","","","","","","","","1108.2",",7"
"USC00120922","2015","39.5108","-87.1241","207.0","BRAZIL, IN US","","","","","","","","","","","1104.7",","
"USC00120922","2016","39.5108","-87.1241","207.0","BRAZIL, IN US","","","","","2","","51",",7,0120,","","","",""
