"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00161425","1893","29.75","-93.33333","3.0","CAMERON, LA US","","","","","","","","","","","","","","","0","6","306","6","122","6","","","","","","","37.2","6,0924,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.85","6","",""
"USC00161425","1894","29.75","-93.33333","3.0","CAMERON, LA US","","","","","58","6","56","6","","","","","","","","","","","","","","","","","94.0",",6,0909,","","","","","","","","","","","","","","","","","","","","","","","","","1397.9",",6","","","","","","","",""
"USC00161425","1896","29.75","-93.33333","3.0","CAMERON, LA US","","","","","","","","","","","","","","","0","6","275","6","152","6","","","","","","","37.2","6,0909,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.24","6","",""
"USC00161425","1902","29.75","-93.33333","3.0","CAMERON, LA US","","","","","59","6","54","6","0","6","","","","","0","6","256","6","63","6","","","0",",6,1231,+","71.1",",6,1215,","35.6","6,0621,","","","","","","","","","","","","","","","","","","","","","","","975.2",",6","0",",6","","","24.60","6","",""
"USC00161425","1903","29.75","-93.33333","3.0","CAMERON, LA US","1286.6","","1286.6","6","75","6","55","6","0","6","0","6","10","6","0","6","241","6","20","6","-5.0","6,0217,","0",",6,1231,+","61.7",",6,0430,","33.3","6,0830,+","-2.2","6,1119","-2.2","6,1119","","","","","","","-0.6","6,0218","-5.0","6,0217","-5.0","6,0217","","","737.6","","737.6","6","961.5",",6","0",",6","19.46","6","23.73","6","15.19","6"
"USC00161425","1904","29.75","-93.33333","3.0","CAMERON, LA US","","","","","","","","","0","6","0","6","12","6","","","","","","","-4.4","6,1228,","0",",6,1231,+","","","","","-4.4","6,1228","-4.4","6,1228","-4.4","6,1228","","","","","0.0","6,0212","-3.3","6,0130","","","","","834.1","","834.1","6","","","0",",6","","","","","15.78","6"
"USC00161425","1905","29.75","-93.33333","3.0","CAMERON, LA US","","","","","88","6","73","6","0","6","","","","","0","6","248","6","48","6","","","0",",6,1231,+","179.1",",6,0706,","36.7","6,0908,","","","","","","","","","","","","","","","","","","","","","","","1772.3",",6","0",",6","","","23.84","6","",""
"USC00161425","1908","29.75","-93.33333","3.0","CAMERON, LA US","","","","","","","","","","","","","","","0","6","267","6","17","6","","","","","","","33.9","6,0915,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.60","6","",""
"USC00161425","1913","29.75","-93.33333","3.0","CAMERON, LA US","","","","","94","6","76","6","0","6","","","","","0","6","260","6","44","6","","","0",",6,1231,+","155.4",",6,0926,","37.2","6,0806,+","","","","","","","","","","","","","","","","","","","1052.0","","1052.0","6","1530.2",",6","0",",6","","","24.80","6","",""
"USC00161425","1914","29.75","-93.33333","3.0","CAMERON, LA US","","","","","100","6","77","6","1","6","0","6","53","6","","","","","","","-8.9","6,1214,","51",",6,0225,","188.0",",6,0519,","","","-1.1","6,1028","-2.8","6,1119","-4.4","6,1120","-8.9","6,1214","-8.9","6,1214","-1.1","6,0323","-2.2","6,0313","-5.6","6,0226","-6.7","6,0224","","","","","1799.8",",6","51",",6","","","","","10.85","6"
"USC00161425","1915","29.75","-93.33333","3.0","CAMERON, LA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1336.0","","1336.0","","","","","","","","","","",""
