"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00169074","2005","31.2021","-93.5726","55.2","TOLEDO BEND LAKE, LA US","","","","","81","0","56","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","101.6",",0,0924,","","","","","","","","","","","","","","","1012.8",",0","0",",0","","","","","","","",""
"USC00169074","2006","31.2021","-93.5726","55.2","TOLEDO BEND LAKE, LA US","","","","","90","0","56","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","278.1",",0,1017,","","","","","","","","","","","","","","","1596.0",",0","0",",0","","","","","","","",""
"USC00169074","2007","31.2021","-93.5726","55.2","TOLEDO BEND LAKE, LA US","","","","","137","0","78","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","81.5",",0,0616,","","","","","","","","","","","","","","","1061.7",",0","0",",0","","","","","","","",""
"USC00169074","2008","31.2021","-93.5726","55.2","TOLEDO BEND LAKE, LA US","","","","","132","0","80","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","119.6",",0,1112,","","","","","","","","","","","","","","","1271.6",",0","0",",0","","","","","","","",""
"USC00169074","2009","31.2021","-93.5726","55.2","TOLEDO BEND LAKE, LA US","1620.0","","1620.0","0","114","0","75","0","0","","0","0","0","0","18","0","0","0","269","0","93","0","-2.8","0,1206,+","0","T,0,1205,","0","T,0,1205,","88.6",",0,1014,","41.1","0,0626,","-2.8","0,1205","-2.8","0,1205","0.0","0,0130","-2.8","0,0117","","","","","1568.5",",0","0","T,0","20.48","0","26.13","0","14.84","0","",""
"USC00169074","2010","31.2021","-93.5726","55.2","TOLEDO BEND LAKE, LA US","","","","","121","0","62","0","1","","1","0","","","","","","","","","","","","","76",",0,0212,","76",",0,0212,","38.6",",0,1115,","","","","","","","","","","","1349.4","","1349.4","0","843.1",",0","76",",0","","","","","","","",""
"USC00169074","2011","31.2021","-93.5726","55.2","TOLEDO BEND LAKE, LA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54756","7"
"USC00169074","2012","31.2021","-93.5726","55.2","TOLEDO BEND LAKE, LA US","","","","","101","7","68","7","0","","0","7","","","","","","","","","","","","","0",",7,1231,+","0",",7,1231,+","152.4",",7,0321,","","","","","","","","","","","","","","","1480.6",",7","0",",7","","","","","","","42451","7"
"USC00169074","2013","31.2021","-93.5726","55.2","TOLEDO BEND LAKE, LA US","1394.1","","1394.1","7","100","7","60","7","0","","0","7","0","7","21","7","0","7","251","7","104","7","-1.7","7,1226,+","0",",7,1231,+","0",",7,1231,+","109.7",",7,1031,","37.8","7,0917,","-1.7","7,1113","","","-1.1","7,0304","","","1025.8","","1025.8","7","1236.5",",7","0",",7","18.96","7","24.92","7","13.00","7","41833","7"
"USC00169074","2015","31.2021","-93.5726","55.2","TOLEDO BEND LAKE, LA US","","","","","","","","","0","","0","7","","","","","","","","","","","","","0",",7,1231,+","0",",7,1231,+","","","","","","","","","","","","","","","","","","","0",",7","","","","","","","",""
