"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00203639","2004","46.4907","-87.3544","195.1","HARVEY, MI US","141","0","77","0","39","0","203",",0,0308,","53.6",",0,0601,","890.2",",0","3147",",0"
"USC00203639","2005","46.4907","-87.3544","195.1","HARVEY, MI US","128","0","62","0","24","0","178",",0,0120,","54.9",",0,0920,","750.0",",0","1728",",0"
"USC00203639","2006","46.4907","-87.3544","195.1","HARVEY, MI US","106","0","60","0","","","","","119.1",",0,0512,","651.5",",0","",""
"USC00203639","2007","46.4907","-87.3544","195.1","HARVEY, MI US","109","0","64","0","24","0","325",",0,0405,","75.7",",0,0904,","787.8",",0","2279",",0"
"USC00203639","2011","46.4907","-87.3544","195.1","HARVEY, MI US","","","","","","","","","","","639.3",",","",""
"USC00203639","2012","46.4907","-87.3544","195.1","HARVEY, MI US","","","","","","","","","","","724.6",",7","",""
"USC00203639","2013","46.4907","-87.3544","195.1","HARVEY, MI US","","","","","","","","","","","782.3",",7","",""
"USC00203639","2014","46.4907","-87.3544","195.1","HARVEY, MI US","","","","","","","","","","","972.9",",7","",""
"USC00203639","2015","46.4907","-87.3544","195.1","HARVEY, MI US","","","","","","","","","","","738.6",",7","",""
"USC00203639","2016","46.4907","-87.3544","195.1","HARVEY, MI US","","","","","","","","","","","835.8",",","",""
"USC00203639","2017","46.4907","-87.3544","195.1","HARVEY, MI US","","","","","","","","","","","930.4",",","",""
