"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00204239","1916","42.3","-85.61667","274.3","KALAMAZOO, MI US","114","6","69","6","51","","12","6","","","","","","","","","","","","","178",",6,1225,+","127",",6,1211,","63.8",",6,0624,","","","","","","","","","","","","","","","","","","","","","","","825.3",",6","786",",6","","","","","",""
"USC00204239","1918","42.3","-85.61667","274.3","KALAMAZOO, MI US","86","6","71","6","54","","19","6","","","","","","","","","","","","","940",",6,0201,+","229",",6,0107,","39.6",",6,0831,","","","","","","","","","","","","","","","","","","","","","","","800.1",",6","1169",",6","","","","","",""
"USC00204239","1919","42.3","-85.61667","274.3","KALAMAZOO, MI US","","","","","38","","","","","","","","","","","","","","","","127",",6,0309,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00204239","1921","42.3","-85.61667","274.3","KALAMAZOO, MI US","140","6","90","6","","","","","","","","","","","","","","","","","","","","","69.6",",6,0627,","","","","","","","","","","","","","","","","","","","","","","","925.5",",6","","","","","","","",""
"USC00204239","1923","42.3","-85.61667","274.3","KALAMAZOO, MI US","121","6","72","6","","","","","","","","","","","","","","","","","","","","","60.2",",6,0515,","","","","","","","","","","","","","","","","","","","","","","","773.2",",6","","","","","","","",""
"USC00204239","1924","42.3","-85.61667","274.3","KALAMAZOO, MI US","156","6","82","6","","","","","","","","","","","","","","","","","","","","","41.4",",6,0624,","","","","","","","","","","","","","","","","","","","","","","","880.0",",6","","","","","","","",""
"USC00204239","1925","42.3","-85.61667","274.3","KALAMAZOO, MI US","152","6","74","6","68","","13","6","","","","","","","","","","","","","178",",6,1230,+","97",",6,1115,","49.3",",6,0731,","","","","","","","","","","","","","","","","","","","","","","","797.2",",6","930",",6","","","","","",""
"USC00204239","1926","42.3","-85.61667","274.3","KALAMAZOO, MI US","155","6","78","6","83","","20","6","","","","","","","","","","","","","203",",6,0403,","109",",6,1205,","41.9",",6,0814,","","","","","","","","","","","","","","","","","","","","","","","913.8",",6","1440",",6","","","","","",""
"USC00204239","1927","42.3","-85.61667","274.3","KALAMAZOO, MI US","122","6","70","6","34","","7","6","","","","","","","","","","","","","330",",6,0118,+","234",",6,1231,+","36.1",",6,1207,","","","","","","","","","","","","","","","","","","","","","","","823.6",",6","795",",6","","","","","",""
"USC00204239","1928","42.3","-85.61667","274.3","KALAMAZOO, MI US","","","","","38","","","","","","","","","","","","","","","","381",",6,0105,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00204239","1929","42.3","-85.61667","274.3","KALAMAZOO, MI US","118","6","68","6","89","","17","6","","","","","","","","","","","","","584",",6,1223,","290",",6,1218,","53.3",",6,0724,","","","","","","","","","","","","","","","","","","","","","","","894.8",",6","1593",",6","","","","","",""
"USC00204239","1930","42.3","-85.61667","274.3","KALAMAZOO, MI US","106","6","60","6","75","","19","6","","","","","","","","","","","","","254",",6,1128,+","229",",6,0326,","22.9",",6,0326,","","","","","","","","","","","","","","","","","","","","","","","520.8",",6","1630",",6","","","","","",""
"USC00204239","1931","42.3","-85.61667","274.3","KALAMAZOO, MI US","101","6","58","6","19","","11","6","","","","","","","","","","","","","254",",6,0309,","117",",6,0307,","39.6",",6,0604,","","","","","","","","","","","","","","","","","","","","","","","644.4",",6","707",",6","","","","","",""
