"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00207820","1941","44.0126","-83.8977","187.5","STANDISH 4 NE, MI US","331.7","","331.7","6","","","","","","","","","15","6","159","6","53","6","149","6","23","6","-24.4","6,0210,","","","","","","","37.2","6,0725,","-0.6","6,0929","-2.2","6,1105","-4.4","6,1125","-6.7","6,1208","-10.6","6,1210","0.0","6,0610","-3.9","6,0425","-4.4","6,0403","-9.4","6,0330","-9.4","6,0330","4077.6","","4077.6","6","","","","","8.59","6","15.09","6","2.09","6"
"USC00207820","1942","44.0126","-83.8977","187.5","STANDISH 4 NE, MI US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3636.0","","3636.0","6","","","","","","","","","",""
"USC00207820","1945","44.0126","-83.8977","187.5","STANDISH 4 NE, MI US","","","","","80","6","71","6","","","","","","","","","","","","","","","","","","","","","58.4",",6,0927,","","","","","","","","","","","","","","","","","","","","","","","","","","","809.0",",6","","","","","","","",""
"USC00207820","1946","44.0126","-83.8977","187.5","STANDISH 4 NE, MI US","189.7","","189.7","6","69","6","57","6","","","","","12","6","150","6","53","6","135","6","5","6","-27.2","6,1230,","","","","","30.5",",6,1103,","33.9","6,0718,","-1.1","6,0903","-2.2","6,1001","-5.6","6,1114","-8.3","6,1117","-12.2","6,1201","-1.1","6,0510","-2.2","6,0509","-6.7","6,0505","-6.7","6,0505","-13.3","6,0311","4079.0","","4079.0","6","524.4",",6","","","7.87","6","14.34","6","1.40","6"
"USC00207820","1947","44.0126","-83.8977","187.5","STANDISH 4 NE, MI US","327.9","","327.9","6","","","","","","","","","12","6","173","6","71","6","130","6","9","6","-24.4","6,0104,+","","","","","","","37.2","6,0824,","-0.6","6,0923","-2.2","6,0926","-4.4","6,1001","-6.7","6,1109","-10.0","6,1113","-3.9","6,0510","-3.9","6,0510","-5.0","6,0428","-7.2","6,0331","-11.7","6,0327","4039.7","","4039.7","6","","","","","7.29","6","12.94","6","1.64","6"
"USC00207820","1948","44.0126","-83.8977","187.5","STANDISH 4 NE, MI US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4015.2","","4015.2","","","","","","","","","","",""
"USC00207820","1949","44.0126","-83.8977","187.5","STANDISH 4 NE, MI US","348.7","","348.7","0","","","","","","","16","0","5","0","170","0","50","0","132","0","16","0","-21.1","0,0211,","","","89",",0,1126,+","","","36.1","0,0703,","-1.1","0,0929","-2.8","0,1023","-5.6","0,1024","-6.7","0,1027","-12.2","0,1122","-1.7","0,0608","-3.9","0,0511","-6.1","0,0417","-13.3","0,0320","-13.3","0,0320","","","","","","","982",",0","8.59","0","14.66","0","2.53","0"
"USC00207820","1950","44.0126","-83.8977","187.5","STANDISH 4 NE, MI US","","","","","","","","","","","16","0","","","","","","","","","","","","","","","140",",0,0324,","","","","","","","","","","","","","","","","","","","","","","","","","4086.7","","4086.7","0","","","1170",",0","","","","","",""
"USC00207820","1951","44.0126","-83.8977","187.5","STANDISH 4 NE, MI US","145.3","","145.3","0","107","0","76","0","","","19","0","15","0","156","0","63","0","133","0","2","0","-31.1","0,0209,","","","178",",0,1107,","43.2",",0,0601,","32.8","0,0726,+","-2.8","0,0929","-2.8","0,0929","-5.0","0,1029","-11.1","0,1103","-11.1","0,1103","-3.3","0,0513","-3.3","0,0513","-13.3","0,0326","-13.3","0,0326","-13.3","0,0326","","","","","767.8",",0","1708",",0","6.98","0","12.69","0","1.26","0"
"USC00207820","1952","44.0126","-83.8977","187.5","STANDISH 4 NE, MI US","","","","","87","0","66","0","","","16","0","","","","","","","","","","","","","","","76",",0,0405,+","96.3",",0,0721,","","","","","","","","","","","","","","","","","","","","","","","","","","","843.0",",0","931",",0","","","","","",""
"USC00207820","1953","44.0126","-83.8977","187.5","STANDISH 4 NE, MI US","273.4","","273.4","0","99","0","61","0","","","8","0","3","0","153","0","38","0","137","0","14","0","-22.2","0,0126,+","","","127",",0,1210,+","42.4",",0,0808,","37.2","0,0902,","-1.1","0,0914","-2.2","0,1007","-6.7","0,1105","-6.7","0,1105","-11.1","0,1106","-1.7","0,0515","-3.3","0,0424","-4.4","0,0421","-6.7","0,0419","-10.0","0,0309","3916.3","","3916.3","0","609.2",",0","600",",0","8.44","0","14.28","0","2.61","0"
