"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00214418","1940","43.8657","-91.31","197.2","LA CRESCENT DAM 7, MN US","","","","","109","6","58","6","","","","","","","","","","","","","","","","","","","","","41.9",",6,0608,","","","","","","","","","","","","","","","","","","","","","","","676.1",",6","","","","","","","",""
"USC00214418","1943","43.8657","-91.31","197.2","LA CRESCENT DAM 7, MN US","","","","","","","","","","","","","29","6","141","6","63","6","114","6","8","6","-31.7","6,0120,","","","","","","","35.6","6,0626,","0.0","6,1017","-2.2","6,1109","-8.9","6,1111","-8.9","6,1111","-8.9","6,1111","-1.1","6,0417","-3.9","6,0415","-4.4","6,0414","-14.4","6,0322","-14.4","6,0322","","","","","7.82","6","12.61","6","3.03","6"
"USC00214418","1946","43.8657","-91.31","197.2","LA CRESCENT DAM 7, MN US","","","","","109","6","58","6","","","","","","","","","","","","","","","","","","","","","58.4",",6,0906,","","","","","","","","","","","","","","","","","","","","","","","786.5",",6","","","","","","","",""
"USC00214418","1947","43.8657","-91.31","197.2","LA CRESCENT DAM 7, MN US","","","","","117","6","68","6","","","","","","","","","","","","","","","","","","","","","68.6",",6,0613,","","","","","","","","","","","","","","","","","","","","","","","807.0",",6","","","","","","","",""
"USC00214418","1950","43.8657","-91.31","197.2","LA CRESCENT DAM 7, MN US","","","","","101","0","57","0","98","","17","0","","","","","","","","","","","","","330",",0,1226,","203",",0,0214,","69.1",",0,0613,","","","","","","","","","","","","","","","","","","","","","","","744.4",",0","1183",",0","","","","","",""
"USC00214418","1951","43.8657","-91.31","197.2","LA CRESCENT DAM 7, MN US","","","","","127","0","74","0","128","","","","","","","","","","","","","","","","508",",0,0108,+","","","83.8",",0,0721,","","","","","","","","","","","","","","","","","","","","","","","968.1",",0","","","","","","","",""
"USC00214418","1953","43.8657","-91.31","197.2","LA CRESCENT DAM 7, MN US","","","","","122","0","65","0","","","","","","","","","","","","","","","","","","","","","50.3",",0,0712,","","","","","","","","","","","","","","","","","","","","","","","928.2",",0","","","","","","","",""
"USC00214418","1954","43.8657","-91.31","197.2","LA CRESCENT DAM 7, MN US","","","","","117","0","68","0","","","8","0","","","","","","","","","","","","","","","152",",0,0127,","88.4",",0,0501,","","","","","","","","","","","","","","","","","","","","","","","866.6",",0","570",",0","","","","","",""
"USC00214418","1955","43.8657","-91.31","197.2","LA CRESCENT DAM 7, MN US","","","","","100","0","44","0","","","7","0","","","","","","","","","","","","","","","152",",0,0321,","57.4",",0,0708,","","","","","","","","","","","","","","","","","","","","","","","506.3",",0","484",",0","","","","","",""
"USC00214418","1956","43.8657","-91.31","197.2","LA CRESCENT DAM 7, MN US","","","","","110","0","62","0","119","","13","0","","","","","","","","","","","","","381",",0,0311,","229",",0,0311,","36.6",",0,0328,","","","","","","","","","","","","","","","","","","","","","","","665.5",",0","1094",",0","","","","","",""
"USC00214418","1957","43.8657","-91.31","197.2","LA CRESCENT DAM 7, MN US","","","","","116","0","69","0","65","","8","0","","","","","","","","","","","","","381",",0,1119,","279",",0,1119,","38.1",",0,0716,","","","","","","","","","","","","","","","","","","","","","","","720.0",",0","729",",0","","","","","",""
