"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00230317","1960","39.61667","-94.98333","253.0","ATCHISON RADIO KARE, MO US","","","","","9","6","123","6","","","","","","","-23.3","6,0304,","","","-5.6","6,1020","-5.6","6,1020","-5.6","6,1020","-11.1","6,1110","-11.1","6,1110","-1.7","6,0410","-2.2","6,0409","-6.1","6,0326","-9.4","6,0325","-9.4","6,0325","","","","","","","","","5.31","6"
"USC00230317","1961","39.61667","-94.98333","253.0","ATCHISON RADIO KARE, MO US","581.2","","581.2","6","10","6","127","6","27","6","160","6","31","6","-24.4","6,0127,","35.6","6,0701,+","-1.7","6,1020","-2.2","6,1026","-4.4","6,1103","-13.9","6,1210","-13.9","6,1210","-1.7","6,0502","-2.2","6,0416","-4.4","6,0402","-8.3","6,0225","-11.7","6,0219","2736.3","","2736.3","6","11.40","6","17.72","6","5.09","6"
"USC00230317","1962","39.61667","-94.98333","253.0","ATCHISON RADIO KARE, MO US","747.9","","747.9","6","14","6","127","6","30","6","177","6","43","6","-26.7","6,1226,","38.3","6,0819,","-1.1","6,1024","-3.9","6,1025","-6.7","6,1105","-6.7","6,1105","-10.0","6,1206","-2.2","6,0416","-2.2","6,0416","-6.1","6,0402","-7.8","6,0316","-8.9","6,0315","3174.7","","3174.7","6","11.92","6","18.11","6","5.72","6"
"USC00230317","1963","39.61667","-94.98333","253.0","ATCHISON RADIO KARE, MO US","874.8","","874.8","6","22","6","116","6","39","6","197","6","63","6","-25.6","6,0123,","37.8","6,0701,","-0.6","6,1028","-3.3","6,1029","-6.7","6,1102","-6.7","6,1102","-8.9","6,1202","-2.8","6,0501","-2.8","6,0501","-5.0","6,0314","-7.2","6,0309","-8.9","6,0301","2799.6","","2799.6","6","12.71","6","19.40","6","6.02","6"
"USC00230317","1964","39.61667","-94.98333","253.0","ATCHISON RADIO KARE, MO US","720.1","","720.1","6","6","6","123","6","14","6","191","6","48","6","-23.3","6,0113,","39.4","6,0803,","-0.6","6,1005","-2.2","6,1006","-8.3","6,1120","-8.3","6,1120","-14.4","6,1121","-3.3","6,0409","-3.3","6,0409","-11.7","6,0330","-11.7","6,0330","-11.7","6,0330","2677.8","","2677.8","6","12.72","6","19.38","6","6.06","6"
"USC00230317","1965","39.61667","-94.98333","253.0","ATCHISON RADIO KARE, MO US","680.8","","680.8","6","6","6","121","6","25","6","183","6","27","6","-22.8","6,0130,","35.0","6,0826,+","-1.1","6,1012","-2.2","6,1024","-6.1","6,1109","-7.2","6,1117","-12.2","6,1130","-2.2","6,0428","-2.2","6,0428","-11.7","6,0326","-11.7","6,0326","-11.7","6,0326","2981.5","","2981.5","6","12.45","6","18.80","6","6.10","6"
"USC00230317","1966","39.61667","-94.98333","253.0","ATCHISON RADIO KARE, MO US","","","","","4","6","128","6","","","","","","","-24.4","6,0129,","","","-3.3","6,1016","-3.3","6,1016","-10.0","6,1102","-10.0","6,1102","-10.0","6,1102","-0.6","6,0428","-6.7","6,0421","-6.7","6,0421","-6.7","6,0421","-8.9","6,0324","2673.4","","2673.4","6","","","","","5.06","6"
"USC00230317","1967","39.61667","-94.98333","253.0","ATCHISON RADIO KARE, MO US","","","","","3","6","109","6","","","","","","","-19.4","6,0308,","","","-0.6","6,0929","-2.2","6,1019","-4.4","6,1104","-6.7","6,1107","-12.8","6,1222","0.0","6,0521","-2.2","6,0427","-8.9","6,0318","-8.9","6,0318","-8.9","6,0318","","","","","","","","","5.49","6"
"USC00230317","1968","39.61667","-94.98333","253.0","ATCHISON RADIO KARE, MO US","","","","","10","6","126","6","","","","","","","-25.6","6,0107,","","","-1.7","6,1004","-3.3","6,1029","-4.4","6,1104","-6.7","6,1109","-9.4","6,1112","0.0","6,0521","-6.1","6,0405","-6.1","6,0405","-6.7","6,0401","-8.9","6,0323","","","","","","","","","5.55","6"
"USC00230317","1970","39.61667","-94.98333","253.0","ATCHISON RADIO KARE, MO US","","","","","8","6","123","6","","","","","","","-22.8","6,0121,","","","-3.3","6,1016","-3.3","6,1016","-4.4","6,1101","-7.8","6,1115","-12.8","6,1123","0.0","6,0502","-2.2","6,0405","-8.9","6,0402","-8.9","6,0402","-8.9","6,0402","","","","","","","","","5.44","6"
"USC00230317","1971","39.61667","-94.98333","253.0","ATCHISON RADIO KARE, MO US","","","","","7","6","121","6","","","","","","","-30.0","6,0208,","","","0.0","6,1010","-2.2","6,1104","-5.0","6,1106","-9.4","6,1107","-9.4","6,1107","-5.0","6,0407","-5.0","6,0407","-5.0","6,0407","-14.4","6,0310","-14.4","6,0310","","","","","","","","","5.46","6"
