"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00235050","1990","39.7505","-92.5065","249.9","LONG BRANCH RESERVOR, MO US","","","730.5","","730.5","0","123","0","75","0","0","","0","0","4","0","121","0","15","0","174","0","42","0","-18.9","0,1231,","0","T,0,1231,+","0","T,0,1231,+","103.1",",0,0608,","37.2","0,0828,+","-0.6","0,1019","-2.2","0,1022","-4.4","0,1129","-7.2","0,1204","-11.7","0,1221","0.0","0,0417","-3.9","0,0412","-6.1","0,0407","-7.8","0,0326","-8.9","0,0226","3147.6","","3147.6","0","1124.3",",0","0","T,0","12.74","0","18.69","0","6.80","0","",""
"USC00235050","1991","39.7505","-92.5065","249.9","LONG BRANCH RESERVOR, MO US","","","836.3","","836.3","0","109","0","70","0","","","","","3","0","124","0","32","0","177","0","56","0","-18.3","0,1108,+","","","","","109.2",",0,0711,","38.3","0,0803,","0.0","0,1006","-7.2","0,1102","-7.2","0,1102","-7.2","0,1102","-12.2","0,1103","0.0","0,0424","-2.8","0,0331","-4.4","0,0330","-6.7","0,0307","-14.4","0,0216","2762.6","","2762.6","0","1127.2",",0","","","12.48","0","18.71","0","6.24","0","",""
"USC00235050","1992","39.7505","-92.5065","249.9","LONG BRANCH RESERVOR, MO US","","","438.0","","438.0","0","119","0","74","0","0","","0","0","0","0","113","0","13","0","169","0","20","0","-15.6","0,1224,+","0",",0,1231,+","0","T,0,1207,+","54.1",",0,1101,","35.0","0,0702,","-3.3","0,1017","-3.3","0,1017","-5.6","0,1115","-7.2","0,1128","-11.7","0,1205","0.0","0,0422","-4.4","0,0402","-4.4","0,0402","-8.9","0,0313","-8.9","0,0313","2813.1","","2813.1","0","997.5",",0","0","T,0","11.46","0","17.73","0","5.18","0","",""
"USC00235050","1993","39.7505","-92.5065","249.9","LONG BRANCH RESERVOR, MO US","","","","","","","125","0","88","0","","","","","","","","","","","","","","","","","","","","","67.6",",0,0701,","","","","","","","","","","","","","","","","","","","","","","","","","","","1476.7",",0","","","","","","","","","",""
"USC00235050","1994","39.7505","-92.5065","249.9","LONG BRANCH RESERVOR, MO US","","","","","","","97","0","57","0","","","","","","","","","","","","","","","","","","","","","45.7",",0,0905,","","","","","","","","","","","","","","","","","","","","","","","","","","","818.1",",0","","","","","","","","","",""
"USC00235050","1995","39.7505","-92.5065","249.9","LONG BRANCH RESERVOR, MO US","","","646.7","","646.7","0","118","0","70","0","","","0","0","5","0","134","0","36","0","168","0","51","0","-20.6","0,1210,","","","0","T,0,0301,+","73.7",",0,0517,","37.8","0,0714,","-1.1","0,0922","-2.2","0,1029","-7.2","0,1103","-7.2","0,1103","-10.6","0,1104","-0.6","0,0413","-4.4","0,0405","-4.4","0,0405","-8.9","0,0310","-8.9","0,0310","3031.2","","3031.2","0","1154.7",",0","0","T,0","10.97","0","17.50","0","4.45","0","",""
"USC00235050","1996","39.7505","-92.5065","249.9","LONG BRANCH RESERVOR, MO US","","","650.1","","650.1","0","103","0","57","0","","","","","14","0","135","0","41","0","160","0","35","0","-27.2","0,0203,","","","","","128.5",",0,0507,","36.7","0,0720,+","0.0","0,1019","-3.9","0,1101","-6.7","0,1102","-6.7","0,1102","-12.2","0,1126","0.0","0,0430","-3.3","0,0406","-6.1","0,0327","-10.0","0,0326","-10.0","0,0326","3441.7","","3441.7","0","992.6",",0","","","10.64","0","16.88","0","4.41","0","",""
"USC00235050","1997","39.7505","-92.5065","249.9","LONG BRANCH RESERVOR, MO US","","","613.4","","613.4","0","106","0","71","0","","","10","0","11","0","133","0","32","0","161","0","44","0","-28.3","0,0128,","","","140",",0,0128,","82.6",",0,0221,","39.4","0,0727,","-2.8","0,1022","-2.8","0,1022","-5.0","0,1111","-7.2","0,1112","-9.4","0,1117","-0.6","0,0418","-2.8","0,0417","-5.0","0,0414","-8.3","0,0316","-9.4","0,0315","3280.0","","3280.0","0","973.8",",0","743",",0","10.94","0","17.43","0","4.45","0","",""
"USC00235050","1998","39.7505","-92.5065","249.9","LONG BRANCH RESERVOR, MO US","","","738.3","","738.3","0","127","0","80","0","","","4","0","5","0","115","0","21","0","178","0","47","0","-20.6","0,0312,","","","64",",0,1231,+","132.1",",0,1005,","37.2","0,0825,+","0.0","0,1023","-2.8","0,1105","-4.4","0,1106","-7.2","0,1211","-9.4","0,1221","0.0","0,0406","-2.2","0,0325","-4.4","0,0324","-7.2","0,0315","-20.0","0,0313","2992.6","","2992.6","0","1426.6",",0","198",",0","12.59","0","19.02","0","6.17","0","",""
"USC00235050","1999","39.7505","-92.5065","249.9","LONG BRANCH RESERVOR, MO US","","","650.7","","650.7","0","98","0","55","0","","","3","0","7","0","126","0","18","0","185","0","61","0","-26.1","0,0109,","","","140",",0,0102,","104.1",",0,0928,","39.4","0,0730,+","-1.1","0,1018","-2.8","0,1024","-5.6","0,1103","-7.2","0,1206","-10.0","0,1216","-0.6","0,0425","-3.3","0,0327","-5.6","0,0316","-7.8","0,0315","-9.4","0,0307","2841.6","","2841.6","0","829.3",",0","317",",0","12.18","0","19.47","0","4.90","0","",""
