"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00244193","1921","46.9997","-109.8704","1293.6","HOBSON, MT US","75","6","40","6","","","","","","","","","","","","","","","50.8",",6,0508,","","","","","","","","","","","","","","","","","","","","","","","","","396.9",",6","","","",""
"USC00244193","1922","46.9997","-109.8704","1293.6","HOBSON, MT US","85","6","46","6","","","21","6","","","","","","","","","305",",6,1102,","24.9",",6,0430,","","","","","","","","","","","","","","","","","","","","","","","","","386.5",",6","1493",",6","",""
"USC00244193","1923","46.9997","-109.8704","1293.6","HOBSON, MT US","89","6","44","6","","","","","","","","","","","","","","","37.3",",6,0619,","","","","","","","","","","","","","","","","","","","","","","","","","438.4",",6","","","",""
"USC00244193","1925","46.9997","-109.8704","1293.6","HOBSON, MT US","93","6","49","6","","","","","","","","","","","","","","","23.4",",6,0622,","","","","","","","","","","","","","","","","","","","","","","","","","464.4",",6","","","",""
"USC00244193","1926","46.9997","-109.8704","1293.6","HOBSON, MT US","79","6","47","6","","","","","","","","","","","","","","","77.5",",6,0708,","","","","","","","","","","","","","","","","","","","","","","","","","412.0",",6","","","",""
"USC00244193","1953","46.9997","-109.8704","1293.6","HOBSON, MT US","63","0","42","0","","","","","","","","","","","","","","","34.3",",0,0528,","","","","","","","","","","","","","","","","","","","","","","","","","318.3",",0","","","",""
"USC00244193","1954","46.9997","-109.8704","1293.6","HOBSON, MT US","67","0","39","0","","","","","","","","","","","","","","","24.6",",0,0601,","","","","","","","","","","","","","","","","","","","","","","","","","303.1",",0","","","",""
"USC00244193","1957","46.9997","-109.8704","1293.6","HOBSON, MT US","88","0","39","0","","","26","0","","","","","","","","","152",",0,1004,","33.5",",0,0616,","","","","","","","","","","","","","","","","","","","","","","","","","338.5",",0","1203",",0","",""
"USC00244193","1958","46.9997","-109.8704","1293.6","HOBSON, MT US","87","0","33","0","","","19","0","","","","","","","","","127",",0,0322,","23.6",",0,0607,","","","","","","","","","","","","","","","","","","","","","","","","","283.4",",0","1156",",0","",""
"USC00244193","1959","46.9997","-109.8704","1293.6","HOBSON, MT US","81","0","42","0","","","21","0","","","","","","","","","279",",0,1111,","27.9",",0,0707,","","","","","","","","","","","","","","","","","","","","","","","","","390.3",",0","1611",",0","",""
"USC00244193","1960","46.9997","-109.8704","1293.6","HOBSON, MT US","72","0","29","0","66","","22","0","","","","","","","229",",0,0304,","203",",0,0424,","14.0",",0,0523,","","","","","","","","","","","","","","","","","","","","","","","","","228.2",",0","1140",",0","",""
"USC00244193","1961","46.9997","-109.8704","1293.6","HOBSON, MT US","86","0","32","0","31","","19","0","","","","","","","178",",0,1126,","152",",0,1126,","31.5",",0,0530,","","","","","","","","","","","","","","","","","","","","","","","","","279.9",",0","936",",0","",""
"USC00244193","1962","46.9997","-109.8704","1293.6","HOBSON, MT US","88","0","46","0","","","19","0","","","","","","","","","127",",0,0107,","52.8",",0,0522,","","","","","","","","","","","","","","","","","","","","","","","","","445.8",",0","962",",0","",""
"USC00244193","1963","46.9997","-109.8704","1293.6","HOBSON, MT US","75","0","37","0","50","","19","0","","","","","","","305",",0,1221,+","102",",0,1216,+","23.4",",0,0511,","","","","","","","","","","","","","","","","","","","","","","","","","309.9",",0","900",",0","",""
"USC00244193","1964","46.9997","-109.8704","1293.6","HOBSON, MT US","82","0","44","0","","","26","0","","","","","","","","","127",",0,0406,","65.0",",0,0608,","","","","","","","","","","","","","","","","","","","","","","","","","429.9",",0","1267",",0","",""
"USC00244193","1965","46.9997","-109.8704","1293.6","HOBSON, MT US","89","0","43","0","67","","21","0","","","","","","","229",",0,0416,+","229",",0,0416,","21.6",",0,0625,","","","","","","","","","","","","","","","","","","","","","","","","","367.5",",0","1269",",0","",""
"USC00244193","1966","46.9997","-109.8704","1293.6","HOBSON, MT US","68","0","37","0","76","","26","0","","","","","","","254",",0,0303,","178",",0,1221,","17.8",",0,0426,","","","","","","","","","","","","","","","","","","","","","","","","","299.5",",0","1456",",0","",""
"USC00244193","1967","46.9997","-109.8704","1293.6","HOBSON, MT US","96","0","61","0","84","","38","0","","","","","","","330",",0,0316,","178",",0,0310,","42.2",",0,0607,","","","","","","","","","","","","","","","","","","","","","","","","","516.7",",0","1899",",0","",""
"USC00244193","1968","46.9997","-109.8704","1293.6","HOBSON, MT US","82","0","51","0","49","","19","0","","","","","","","432",",0,0111,+","127",",0,0318,","38.4",",0,0609,","","","","","","","","","","","","","","","","","","","","","","","","","433.7",",0","810",",0","",""
"USC00244193","1969","46.9997","-109.8704","1293.6","HOBSON, MT US","71","0","38","0","94","","20","0","","","","","","","508",",0,0202,+","152",",0,0122,","32.0",",0,0625,","","","","","","","","","","","","","","","","","","","","","","","","","335.5",",0","1215",",0","",""
"USC00244193","1970","46.9997","-109.8704","1293.6","HOBSON, MT US","76","0","47","0","79","","25","0","","","","","","","279",",0,0429,","203",",0,0428,","25.9",",0,0530,+","","","","","","","","","","","","","","","","","","","","","","","","","413.3",",0","1419",",0","",""
"USC00244193","1971","46.9997","-109.8704","1293.6","HOBSON, MT US","81","0","44","0","","","21","0","","","","","","","","","152",",0,0331,","20.8",",0,0830,","","","","","","","","","","","","","","","","","","","","","","","","","370.2",",0","1813",",0","",""
"USC00244193","1972","46.9997","-109.8704","1293.6","HOBSON, MT US","72","0","54","0","100","","30","0","","","","","","","965",",0,0113,+","127",",0,0307,+","34.3",",0,0802,","","","","","","","","","","","","","","","","","","","","","","","","","440.2",",0","1431",",0","",""
"USC00244193","1973","46.9997","-109.8704","1293.6","HOBSON, MT US","63","0","44","0","","","22","0","","","","","","","","","203",",0,1031,","30.0",",0,0901,","","","","","","","","","","","","","","","","","","","","","","","","","392.8",",0","1788",",0","",""
"USC00244193","1974","46.9997","-109.8704","1293.6","HOBSON, MT US","65","0","37","0","52","","18","0","","","","","","","152",",0,0110,+","102",",0,1101,","36.8",",0,0814,","","","","","","","","","","","","","","","","","","","","","","","","","400.7",",0","859",",0","",""
"USC00244193","1975","46.9997","-109.8704","1293.6","HOBSON, MT US","89","0","52","0","","","32","0","","","","","","","","","254",",0,1013,","49.0",",0,0630,","","","","","","","","","","","","","","","","","","","","","","","","","514.9",",0","1721",",0","",""
"USC00244193","1977","46.9997","-109.8704","1293.6","HOBSON, MT US","97","0","42","0","","","","","","","","","","","","","","","21.6",",0,0706,","","","","","","","","","","","","","","","","","","","","","","","","","387.5",",0","","","",""
"USC00244193","1978","46.9997","-109.8704","1293.6","HOBSON, MT US","86","0","46","0","","","","","","","","","","","","","","","30.2",",0,0912,","","","","","","","","","","","","","","","","","","","","","","","","","459.6",",0","","","",""
"USC00244193","1979","46.9997","-109.8704","1293.6","HOBSON, MT US","47","0","31","0","","","","","","","","","","","","","","","39.4",",0,0619,","","","","","","","","","","","","","","","","","","","","","","","","","220.4",",0","","","",""
"USC00244193","1980","46.9997","-109.8704","1293.6","HOBSON, MT US","54","0","38","0","","","","","","","","","","","","","","","49.5",",0,0525,","","","","","","","","","","","","","","","","","","","","","","","","","329.8",",0","","","",""
"USC00244193","1981","46.9997","-109.8704","1293.6","HOBSON, MT US","56","0","41","0","","","","","","","","","","","","","","","31.8",",0,0531,","","","","","","","","","","","","","","","","","","","","","","","","","394.7",",0","","","",""
"USC00244193","1983","46.9997","-109.8704","1293.6","HOBSON, MT US","41","0","34","0","","","","","","","","","","","","","","","26.9",",0,0710,","","","","","","","","","","","","","","","","","","","","","","","","","264.2",",0","","","",""
"USC00244193","2006","46.9997","-109.8704","1293.6","HOBSON, MT US","95","0","52","0","","","2","0","7","0","145","0","-36.1","0,0217,","","","25",",0,0116,+","43.7",",0,1007,","0.0","0,0916","-3.9","0,1010","-5.0","0,1017","-6.7","0,1022","-15.6","0,1030","-0.6","0,0511","-2.8","0,0501","-6.1","0,0424","-10.0","0,0322","-10.0","0,0322","","","","","447.9",",0","50",",0","1.08","0"
"USC00244193","2010","46.9997","-109.8704","1293.6","HOBSON, MT US","102","0","53","0","","","","","","","","","","","","","","","34.8",",0,0830,","","","","","","","","","","","","","","","","","","","","","4000.9","","4000.9","","533.0",",0","","","",""
