"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00250810","1910","40.5283","-99.6352","768.1","BERTRAND, NE US","55","6","41","6","","","","","","","","","82.0",",6,0817,","491.4",",6","",""
"USC00250810","1911","40.5283","-99.6352","768.1","BERTRAND, NE US","64","6","40","6","","","","","","","","","42.2",",6,1006,","592.7",",6","",""
"USC00250810","1912","40.5283","-99.6352","768.1","BERTRAND, NE US","69","6","43","6","","","","","","","","","57.7",",6,0702,","512.5",",6","",""
"USC00250810","1913","40.5283","-99.6352","768.1","BERTRAND, NE US","58","6","38","6","","","","","","","","","39.1",",6,0502,","454.1",",6","",""
"USC00250810","1914","40.5283","-99.6352","768.1","BERTRAND, NE US","59","6","36","6","","","","","","","","","70.1",",6,0706,","558.3",",6","",""
"USC00250810","1916","40.5283","-99.6352","768.1","BERTRAND, NE US","60","6","43","6","","","","","","","","","45.2",",6,0613,","596.1",",6","",""
"USC00250810","1917","40.5283","-99.6352","768.1","BERTRAND, NE US","61","6","39","6","","","","","","","","","50.0",",6,0925,","406.7",",6","",""
"USC00250810","1918","40.5283","-99.6352","768.1","BERTRAND, NE US","56","6","45","6","","","","","","","","","49.0",",6,0717,","461.2",",6","",""
"USC00250810","1920","40.5283","-99.6352","768.1","BERTRAND, NE US","57","6","39","6","","","5","6","","","152",",6,1221,","66.5",",6,1015,","552.1",",6","339",",6"
"USC00250810","1921","40.5283","-99.6352","768.1","BERTRAND, NE US","51","6","38","6","","","5","6","","","102",",6,0206,+","38.6",",6,0730,","512.3",",6","369",",6"
"USC00250810","1922","40.5283","-99.6352","768.1","BERTRAND, NE US","46","6","35","6","","","7","6","","","102",",6,0411,","37.8",",6,1104,","405.0",",6","431",",6"
"USC00250810","1923","40.5283","-99.6352","768.1","BERTRAND, NE US","70","6","55","6","","","10","6","","","152",",6,1030,","78.5",",6,0917,","700.1",",6","621",",6"
"USC00250810","1924","40.5283","-99.6352","768.1","BERTRAND, NE US","55","6","38","6","","","","","","","","","54.1",",6,0718,","531.1",",6","",""
"USC00250810","1925","40.5283","-99.6352","768.1","BERTRAND, NE US","","","","","","","12","6","","","152",",6,1029,+","","","","","939",",6"
"USC00250810","1926","40.5283","-99.6352","768.1","BERTRAND, NE US","72","6","48","6","","","14","6","","","152",",6,0409,","56.4",",6,0811,","476.8",",6","736",",6"
"USC00250810","1927","40.5283","-99.6352","768.1","BERTRAND, NE US","75","6","47","6","","","","","","","","","42.9",",6,0414,","574.0",",6","",""
"USC00250810","1928","40.5283","-99.6352","768.1","BERTRAND, NE US","61","6","41","6","","","9","6","","","178",",6,1128,","43.4",",6,1012,","487.6",",6","674",",6"
"USC00250810","1929","40.5283","-99.6352","768.1","BERTRAND, NE US","59","6","39","6","","","10","6","","","127",",6,1108,","40.9",",6,0529,","382.4",",6","685",",6"
"USC00250810","1930","40.5283","-99.6352","768.1","BERTRAND, NE US","68","6","53","6","","","9","6","","","127",",6,0117,","63.0",",6,1012,","749.8",",6","674",",6"
"USC00250810","1931","40.5283","-99.6352","768.1","BERTRAND, NE US","62","6","44","6","","","13","6","","","254",",6,0327,","44.5",",6,0704,","540.4",",6","1228",",6"
"USC00250810","1932","40.5283","-99.6352","768.1","BERTRAND, NE US","66","6","50","6","","","","","","","","","59.2",",6,0602,","557.3",",6","",""
"USC00250810","1933","40.5283","-99.6352","768.1","BERTRAND, NE US","51","6","41","6","","","","","","","","","61.0",",6,0912,","581.1",",6","",""
"USC00250810","1934","40.5283","-99.6352","768.1","BERTRAND, NE US","42","6","33","6","","","","","","","","","28.7",",6,0818,","331.0",",6","",""
"USC00250810","1935","40.5283","-99.6352","768.1","BERTRAND, NE US","53","6","36","6","","","","","","","","","41.1",",6,0531,","460.0",",6","",""
"USC00250810","1936","40.5283","-99.6352","768.1","BERTRAND, NE US","38","6","24","6","","","","","","","","","57.2",",6,0508,","285.8",",6","",""
"USC00250810","1938","40.5283","-99.6352","768.1","BERTRAND, NE US","45","6","34","6","","","","","","","","","55.1",",6,0529,","453.2",",6","",""
"USC00250810","1940","40.5283","-99.6352","768.1","BERTRAND, NE US","54","6","37","6","","","","","","","","","29.2",",6,1028,","339.3",",6","",""
"USC00250810","1942","40.5283","-99.6352","768.1","BERTRAND, NE US","56","6","45","6","","","","","","","","","86.9",",6,0602,","893.2",",6","",""
"USC00250810","1943","40.5283","-99.6352","768.1","BERTRAND, NE US","41","6","33","6","","","","","","","","","98.3",",6,0703,","551.8",",6","",""
