"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00252037","1989","42.7363","-97.4969","426.7","CROFTON, NE US","","","550.0","","550.0","0","84","0","45","0","","","9","0","33","0","158","0","53","0","162","0","29","0","-33.3","0,1222,","","","173",",0,1210,","62.0",",0,0715,","40.0","0,0710,","-3.3","0,0923","-3.3","0,0923","-7.2","0,1018","-7.2","0,1018","-8.9","0,1019","-0.6","0,0507","-6.7","0,0412","-6.7","0,0412","-6.7","0,0412","-11.1","0,0321","","","","","474.3",",0","866",",0","8.52","0","15.22","0","1.81","0","","","",""
"USC00252037","1990","42.7363","-97.4969","426.7","CROFTON, NE US","","","576.2","","576.2","0","96","0","56","0","46","","12","0","10","0","156","0","37","0","147","0","41","0","-28.9","0,1230,","203",",0,1203,","206",",0,1203,","75.7",",0,0519,","39.4","0,0703,","0.0","0,1010","-2.8","0,1018","-4.4","0,1103","-9.4","0,1104","-9.4","0,1104","0.0","0,0501","-2.2","0,0428","-5.0","0,0417","-7.8","0,0412","-8.9","0,0411","3801.9","","3801.9","0","658.5",",0","973",",0","9.97","0","16.39","0","3.55","0","","","",""
"USC00252037","1991","42.7363","-97.4969","426.7","CROFTON, NE US","","","652.0","","652.0","0","78","0","50","0","55","","11","0","19","0","151","0","53","0","160","0","35","0","-26.7","0,1107,","178",",0,1130,","165",",0,1130,+","64.3",",0,0601,","37.8","0,0718,","-1.1","0,0918","-3.3","0,0919","-7.2","0,1025","-7.2","0,1025","-10.0","0,1030","0.0","0,0505","-7.2","0,0330","-7.2","0,0330","-7.2","0,0330","-8.9","0,0329","3600.8","","3600.8","0","574.6",",0","995",",0","9.89","0","16.07","0","3.71","0","","","",""
"USC00252037","1992","42.7363","-97.4969","426.7","CROFTON, NE US","","","241.7","","241.7","0","87","0","51","0","40","","10","0","6","0","158","0","38","0","139","0","5","0","-22.8","0,0115,","254",",0,0309,","246",",0,0309,","58.7",",0,0825,","34.4","0,0430,","-1.7","0,1016","-2.8","0,1017","-6.7","0,1018","-6.7","0,1018","-13.3","0,1204","0.0","0,0526","-3.9","0,0423","-6.1","0,0412","-8.9","0,0402","-8.9","0,0402","3596.1","","3596.1","0","844.1",",0","793",",0","9.06","0","14.79","0","3.33","0","","","",""
"USC00252037","1993","42.7363","-97.4969","426.7","CROFTON, NE US","","","316.5","","316.5","0","107","0","72","0","87","","15","0","24","0","162","0","67","0","124","0","7","0","-27.8","0,0224,","356",",0,0225,","178",",0,1125,","42.2",",0,0813,","33.3","0,0616,","-2.8","0,1009","-2.8","0,1009","-5.0","0,1027","-10.6","0,1030","-10.6","0,1030","-0.6","0,0421","-3.3","0,0405","-5.6","0,0404","-7.8","0,0402","-15.0","0,0317","4301.1","","4301.1","0","948.5",",0","1192",",0","7.32","0","12.82","0","1.82","0","","","",""
"USC00252037","1994","42.7363","-97.4969","426.7","CROFTON, NE US","","","424.4","","424.4","0","86","0","47","0","87","","15","0","31","0","156","0","62","0","155","0","6","0","-32.8","0,0209,","203",",0,0225,","188",",0,0429,","42.2",",0,0618,","36.1","0,0614,","0.0","0,1024","-3.3","0,1025","-7.2","0,1115","-7.2","0,1115","-10.6","0,1128","-0.6","0,0430","-2.2","0,0429","-10.6","0,0406","-10.6","0,0406","-10.6","0,0406","4153.9","","4153.9","0","612.8",",0","1503",",0","8.55","0","14.65","0","2.46","0","","","",""
"USC00252037","1995","42.7363","-97.4969","426.7","CROFTON, NE US","","","496.9","","496.9","0","104","0","65","0","55","","11","0","10","0","158","0","66","0","125","0","30","0","-24.4","0,0104,","152",",0,0412,","79",",0,0117,","90.2",",0,0823,","40.6","0,0712,","-1.7","0,0922","-3.9","0,1021","-7.8","0,1102","-7.8","0,1102","-12.2","0,1103","0.0","0,0502","-2.8","0,0411","-6.7","0,0404","-6.7","0,0404","-16.1","0,0309","3889.6","","3889.6","0","924.2",",0","610",",0","8.47","0","14.20","0","2.74","0","","","",""
"USC00252037","1996","42.7363","-97.4969","426.7","CROFTON, NE US","","","355.4","","355.4","0","93","0","47","0","85","","13","0","37","0","173","0","76","0","126","0","11","0","-31.1","0,0202,","178",",0,1228,+","132",",0,1226,","123.4",",0,0717,","33.9","0,0701,+","0.0","0,1002","-2.8","0,1027","-6.1","0,1030","-7.2","0,1031","-9.4","0,1102","-4.4","0,0430","-4.4","0,0430","-4.4","0,0430","-7.2","0,0413","-16.7","0,0326","4170.6","","4170.6","0","882.9",",0","892",",0","6.95","0","12.75","0","1.16","0","","","",""
"USC00252037","1997","42.7363","-97.4969","426.7","CROFTON, NE US","","","467.0","","467.0","0","86","0","49","0","72","","17","0","22","0","168","0","53","0","143","0","21","0","-26.7","0,0110,","279",",0,0204,","282",",0,0204,","43.4",",0,1013,","37.2","0,0725,","-0.6","0,1013","-2.8","0,1021","-7.8","0,1026","-7.8","0,1026","-9.4","0,1110","0.0","0,0520","-2.2","0,0513","-6.1","0,0417","-7.8","0,0413","-10.0","0,0409","4433.5","","4433.5","0","587.2",",0","1051",",0","8.48","0","14.55","0","2.40","0","","","",""
"USC00252037","1998","42.7363","-97.4969","426.7","CROFTON, NE US","","","518.1","","518.1","0","99","0","62","0","","","16","0","10","0","136","0","51","0","150","0","25","0","-25.0","0,0113,","","","185",",0,1110,","49.8",",0,0408,","35.6","0,0720,","-0.6","0,1001","-5.6","0,1105","-5.6","0,1105","-7.2","0,1106","-15.0","0,1219","0.0","0,0429","-2.8","0,0417","-6.7","0,0321","-6.7","0,0321","-12.8","0,0314","3705.5","","3705.5","0","711.6",",0","1169",",0","10.07","0","15.76","0","4.39","0","","","",""
"USC00252037","1999","42.7363","-97.4969","426.7","CROFTON, NE US","","","454.7","","454.7","0","89","0","54","0","47","","9","0","12","0","149","0","34","0","140","0","22","0","-26.1","0,0104,","178",",0,0223,","119",",0,0223,","56.9",",0,0615,","36.1","0,0729,","0.0","0,0929","-3.9","0,1002","-5.0","0,1124","-10.0","0,1205","-10.0","0,1205","-3.9","0,0418","-3.9","0,0418","-9.4","0,0325","-9.4","0,0325","-9.4","0,0325","3459.6","","3459.6","0","798.7",",0","723",",0","10.07","0","16.42","0","3.73","0","","","",""
"USC00252037","2000","42.7363","-97.4969","426.7","CROFTON, NE US","","","500.4","","500.4","0","101","0","52","0","","","8","0","16","0","148","0","66","0","154","0","25","0","-27.2","0,1224,","","","229",",0,1112,","54.1",",0,0518,","36.7","0,0608,","-1.7","0,0925","-3.3","0,1006","-5.0","0,1007","-8.9","0,1008","-8.9","0,1008","-2.2","0,0421","-2.2","0,0421","-4.4","0,0408","-7.2","0,0404","-11.1","0,0316","3236.0","","3236.0","0","605.4",",0","712",",0","9.21","0","15.47","0","2.95","0","","","",""
"USC00252037","2001","42.7363","-97.4969","426.7","CROFTON, NE US","","","513.7","","513.7","0","76","0","48","0","88","","10","0","14","0","141","0","57","0","150","0","19","0","-27.2","0,0202,","305",",0,1127,","234",",0,1127,","68.6",",0,0423,","35.6","0,0624,","-2.8","0,1006","-2.8","0,1006","-6.7","0,1026","-6.7","0,1026","-16.1","0,1128","-1.1","0,0423","-4.4","0,0417","-4.4","0,0417","-12.2","0,0326","-12.2","0,0326","4302.8","","4302.8","0","825.3",",0","1030",",0","9.34","0","15.24","0","3.43","0","","","",""
"USC00252037","2002","42.7363","-97.4969","426.7","CROFTON, NE US","","","614.3","","614.3","0","80","0","52","0","37","","10","0","7","0","170","0","41","0","139","0","38","0","-20.6","0,1205,+","76",",0,1102,+","74",",0,0302,","40.9",",0,0822,","38.3","0,0720,","-0.6","0,0927","-2.2","0,1013","-7.2","0,1030","-7.2","0,1030","-10.0","0,1031","-0.6","0,0520","-2.2","0,0502","-8.3","0,0404","-8.3","0,0404","-10.6","0,0326","3541.4","","3541.4","0","553.1",",0","665",",0","9.48","0","15.81","0","3.14","0","","","",""
"USC00252037","2003","42.7363","-97.4969","426.7","CROFTON, NE US","","","459.9","","459.9","0","85","0","42","0","47","","7","0","16","0","145","0","54","0","141","0","22","0","-26.7","0,0117,","178",",0,0408,+","178",",0,0407,","64.8",",0,0911,","37.2","0,0824,","0.0","0,0929","-2.2","0,1001","-5.6","0,1026","-10.0","0,1105","-10.0","0,1105","-1.1","0,0422","-7.8","0,0409","-7.8","0,0409","-7.8","0,0409","-10.6","0,0408","3925.1","","3925.1","0","642.1",",0","911",",0","9.05","0","15.15","0","2.94","0","","","",""
"USC00252037","2004","42.7363","-97.4969","426.7","CROFTON, NE US","","","347.1","","347.1","0","93","0","62","0","45","","9","0","21","0","148","0","39","0","149","0","12","0","-26.1","0,0203,","330",",0,0207,+","231",",0,0315,","69.1",",0,0530,","35.0","0,0505,","-0.6","0,1001","-2.2","0,1002","-9.4","0,1111","-9.4","0,1111","-9.4","0,1111","-1.1","0,0514","-5.0","0,0413","-5.0","0,0413","-7.2","0,0321","-10.0","0,0312","3743.3","","3743.3","0","722.6",",0","975",",0","9.23","0","15.41","0","3.05","0","","","",""
"USC00252037","2005","42.7363","-97.4969","426.7","CROFTON, NE US","","","562.0","","562.0","0","84","0","55","0","48","","7","0","18","0","149","0","47","0","162","0","30","0","-25.0","0,0115,","381",",0,1201,","178",",0,1129,","64.8",",0,0621,","37.2","0,0723,","-2.2","0,1006","-2.2","0,1006","-5.0","0,1007","-7.8","0,1115","-12.8","0,1116","-3.3","0,0503","-3.3","0,0503","-4.4","0,0327","-7.2","0,0323","-11.1","0,0319","3507.1","","3507.1","0","891.9",",0","766",",0","9.94","0","16.08","0","3.80","0","","","",""
"USC00252037","2006","42.7363","-97.4969","426.7","CROFTON, NE US","","","547.1","","547.1","0","81","0","55","0","27","","8","0","4","0","156","0","31","0","142","0","24","0","-25.6","0,0218,","254",",0,0320,","152",",0,0320,","60.5",",0,0416,","40.0","0,0719,","0.0","0,1011","-3.9","0,1012","-4.4","0,1014","-10.0","0,1031","-10.0","0,1031","-0.6","0,0426","-3.3","0,0408","-5.0","0,0326","-11.7","0,0325","-11.7","0,0325","3436.1","","3436.1","0","729.4",",0","631",",0","10.21","0","16.53","0","3.90","0","","","",""
"USC00252037","2007","42.7363","-97.4969","426.7","CROFTON, NE US","","","564.2","","564.2","0","84","0","57","0","88","","10","0","18","0","142","0","66","0","160","0","27","0","-28.9","0,0116,","279",",0,0302,+","279",",0,0225,","71.1",",0,1015,","37.2","0,0707,","-1.7","0,1011","-2.8","0,1028","-7.2","0,1106","-7.2","0,1106","-8.9","0,1121","-1.7","0,0414","-2.2","0,0413","-7.8","0,0409","-7.8","0,0409","-10.0","0,0408","3774.3","","3774.3","0","797.6",",0","999",",0","9.50","0","15.50","0","3.50","0","","","",""
"USC00252037","2008","42.7363","-97.4969","426.7","CROFTON, NE US","","","411.8","","411.8","0","96","0","50","0","93","","16","0","31","0","171","0","60","0","147","0","10","0","-30.0","0,0124,","229",",0,1220,+","165",",0,0121,","66.8",",0,1007,","37.2","0,0803,","0.0","0,1014","-5.6","0,1027","-5.6","0,1027","-8.3","0,1109","-10.6","0,1120","0.0","0,0503","-3.9","0,0428","-5.0","0,0414","-6.7","0,0316","-10.6","0,0310","4071.7","","4071.7","0","767.3",",0","1475",",0","7.83","0","14.07","0","1.59","0","","","",""
"USC00252037","2009","42.7363","-97.4969","426.7","CROFTON, NE US","","","276.7","","276.7","0","107","0","64","0","68","","13","0","25","0","151","0","59","0","132","0","12","0","-29.4","0,0115,","432",",0,1226,","229",",0,0405,","49.3",",0,0405,","33.9","0,0622,+","0.0","0,0929","-3.9","0,1009","-7.2","0,1010","-7.2","0,1010","-9.4","0,1118","-3.3","0,0411","-3.3","0,0411","-10.0","0,0407","-10.0","0,0407","-10.0","0,0407","4025.0","","4025.0","0","768.8",",0","1323",",0","7.89","0","14.00","0","1.78","0","","","",""
