"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00282130","1907","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","135","6","92","6","","","","","","","","","","","61.0",",6,1028,","","","","","","","","","","","","","","","","","","","","","1338.2",",6","","","",""
"USC00282130","1908","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","","","","","","","7","","131","6","-23.9","6,0205,","","","","","-0.6","6,1013","-6.1","6,1105","-6.1","6,1105","-8.9","6,1116","-8.9","6,1116","-1.7","6,0421","-4.4","6,0417","-4.4","6,0417","-7.8","6,0405","-8.9","6,0321","","","","","4.75","6"
"USC00282130","1909","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","","","","","","","3","","136","6","-21.1","6,0119,","","","","","0.0","6,1013","-2.2","6,1020","-4.4","6,1119","-6.7","6,1201","-11.1","6,1209","0.0","6,0430","-3.3","6,0412","-7.8","6,0411","-7.8","6,0411","-11.1","6,0306","","","","","4.40","6"
"USC00282130","1911","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","","","","","","","1","","162","6","-21.1","6,0216,","","","","","-0.6","6,1008","-2.2","6,1028","-5.6","6,1103","-9.4","6,1113","-9.4","6,1113","-1.7","6,0505","-3.9","6,0504","-4.4","6,0418","-7.8","6,0403","-10.0","6,0402","","","","","2.73","6"
"USC00282130","1912","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","126","6","82","6","","","","","","","","","","","74.7",",6,1023,","","","","","","","","","","","","","","","","","","","","","1171.6",",6","","","",""
"USC00282130","1913","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","124","6","74","6","","","8","","147","6","-20.0","6,0213,","","","63.8",",6,1001,","-1.7","6,1022","-5.0","6,1101","-5.0","6,1101","-7.2","6,1111","-9.4","6,1208","0.0","6,0512","-2.8","6,0511","-5.0","6,0420","-7.8","6,0329","-10.0","6,0318","1203.5",",6","","","2.78","6"
"USC00282130","1914","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","","","","","","","19","","165","6","-27.8","6,0114,","","","","","0.0","6,0928","-4.4","6,1027","-4.4","6,1027","-9.4","6,1110","-9.4","6,1110","-1.1","6,0501","-2.8","6,0424","-6.7","6,0414","-6.7","6,0414","-8.9","6,0406","","","","","0.74","6"
"USC00282130","1915","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","129","6","83","6","","","1","","167","6","-20.6","6,0130,","","","56.4",",6,0804,","0.0","6,0923","-4.4","6,1011","-4.4","6,1011","-7.2","6,1107","-8.9","6,1118","-1.1","6,0527","-2.8","6,0417","-6.7","6,0405","-6.7","6,0405","-13.3","6,0330","1181.9",",6","","","1.46","6"
"USC00282130","1916","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","140","6","79","6","","","14","","171","6","-26.7","6,0215,","","","77.5",",6,0915,","-2.8","6,1001","-2.8","6,1001","-4.4","6,1010","-8.9","6,1115","-8.9","6,1115","0.0","6,0519","-2.2","6,0416","-6.7","6,0411","-6.7","6,0411","-16.1","6,0324","1068.6",",6","","","0.32","6"
"USC00282130","1917","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","","","","","","","27","","198","6","-33.9","6,1231,","","","","","-3.9","6,0911","-3.9","6,0911","-7.2","6,1013","-7.2","6,1013","-9.4","6,1101","0.0","6,0524","-3.9","6,0506","-5.6","6,0504","-9.4","6,0410","-9.4","6,0410","","","","","-1.44","6"
