"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00316001","1888","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","151","6","106","6","","","","","","","","","","","","","","","","","","","","","79.5",",6,1109,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1695.9",",6","","","","","","","","","",""
"USC00316001","1889","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","115","6","96","6","","","","","","","","","","","","","","","","","","","","","81.3",",6,0216,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1376.0",",6","","","","","","","","","",""
"USC00316001","1890","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","127","6","110","6","","","","","","","","","","","","","","","","","","","","","63.5",",6,0929,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1710.9",",6","","","","","","","","","",""
"USC00316001","1891","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","121","6","97","6","","","","","","","","","","","","","","","","","","","","","67.3",",6,0308,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1715.1",",6","","","","","","","","","",""
"USC00316001","1893","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","128","6","92","6","","","","","","","","","","","","","","","","","","","","","49.5",",6,0211,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1161.3",",6","","","","","","","","","",""
"USC00316001","1894","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","107","6","96","6","","","3","6","","","","","","","","","","","","","","","76",",6,0225,","52.1",",6,1212,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1159.7",",6","165",",6","","","","","","","",""
"USC00316001","1895","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","110","6","95","6","","","","","","","","","","","","","","","","","","","","","49.8",",6,0319,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1214.9",",6","","","","","","","","","",""
"USC00316001","1896","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","109","6","89","6","","","1","6","","","","","","","","","","","","","","","76",",6,0320,","89.4",",6,1112,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1260.2",",6","89",",6","","","","","","","",""
"USC00316001","1897","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","103","6","92","6","","","1","6","","","","","","","","","","","","","","","89",",6,0127,","99.1",",6,0725,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1488.3",",6","97",",6","","","","","","","",""
"USC00316001","1898","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","113","6","90","6","","","4","6","","","","","","","","","","","","","","","38",",6,0227,","80.8",",6,0903,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1456.1",",6","142",",6","","","","","","","",""
"USC00316001","1899","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","124","6","102","6","","","8","6","","","","","","","","","","","","","","","152",",6,0213,","101.6",",6,0319,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1476.3",",6","464",",6","","","","","","","",""
"USC00316001","1900","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","122","6","109","6","","","4","6","","","","","","","","","","","","","","","51",",6,0316,","72.1",",6,0213,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1494.1",",6","178",",6","","","","","","","",""
"USC00316001","1901","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","103","6","93","6","","","2","6","","","","","","","","","","","","","","","46",",6,1206,","101.6",",6,0111,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1637.9",",6","82",",6","","","","","","","",""
"USC00316001","1902","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","126","6","84","6","","","3","6","","","","","","","","","","","","","","","64",",6,0122,","75.7",",6,0228,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1191.3",",6","127",",6","","","","","","","",""
"USC00316001","1903","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","114","6","93","6","","","","","","","","","","","","","","","","","","","","","79.8",",6,0228,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1270.8",",6","","","","","","","","","",""
"USC00316001","1905","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","97","6","97","6","","","","","","","","","","","","","","","","","","","","","63.5",",6,1203,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1452.7",",6","","","","","","","","","",""
"USC00316001","1906","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","119","6","115","6","","","","","","","","","","","","","","","","","","","","","203.2",",6,1119,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1754.0",",6","","","","","","","","","",""
