"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00319675","1942","36.1306","-80.5481","266.7","YADKINVILLE 6 E, NC US","","","","","","","113","0","71","0","","","","","","","","","","","","","","","","","","","","","73.4",",0,0906,","","","","","","","","","","","","","","","","","","","","","","","","","","","1160.6",",0","","","","","","","",""
"USC00319675","1943","36.1306","-80.5481","266.7","YADKINVILLE 6 E, NC US","","","","","","","95","0","70","0","","","","","","","","","","","","","","","","","","","","","54.6",",0,0629,","","","","","","","","","","","","","","","","","","","","","","","","","","","929.9",",0","","","","","","","",""
"USC00319675","1944","36.1306","-80.5481","266.7","YADKINVILLE 6 E, NC US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1328.4",",0","","","","","","","",""
"USC00319675","1945","36.1306","-80.5481","266.7","YADKINVILLE 6 E, NC US","","","","","","","114","0","77","0","","","","","","","","","","","","","","","","","","","","","96.3",",0,0916,","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.6",",0","","","","","","","",""
"USC00319675","1946","36.1306","-80.5481","266.7","YADKINVILLE 6 E, NC US","","","","","","","102","0","70","0","","","","","","","","","","","","","","","","","","","","","56.9",",0,1025,","","","","","","","","","","","","","","","","","","","","","","","","","","","989.8",",0","","","","","","","",""
"USC00319675","1947","36.1306","-80.5481","266.7","YADKINVILLE 6 E, NC US","","","","","","","110","0","84","0","","","","","","","","","","","","","","","","","","","","","74.9",",0,0924,","","","","","","","","","","","","","","","","","","","","","","","","","","","1119.6",",0","","","","","","","",""
"USC00319675","1948","36.1306","-80.5481","266.7","YADKINVILLE 6 E, NC US","","","","","","","108","0","87","0","","","","","","","","","","","","","","","","","","","","","67.6",",0,0512,","","","","","","","","","","","","","","","","","","","","","","","","","","","1236.0",",0","","","","","","","",""
"USC00319675","1949","36.1306","-80.5481","266.7","YADKINVILLE 6 E, NC US","","","","","","","112","0","81","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","55.9",",0,1030,","","","","","","","","","","","","","","","","","","","","","","","","","","","1009.4",",0","0",",0","","","","","",""
"USC00319675","1950","36.1306","-80.5481","266.7","YADKINVILLE 6 E, NC US","","","","","","","119","0","78","0","","","","","","","","","","","","","","","","","","","","","45.7",",0,1023,","","","","","","","","","","","","","","","","","","","","","","","","","","","1030.7",",0","","","","","","","",""
"USC00319675","1958","36.1306","-80.5481","266.7","YADKINVILLE 6 E, NC US","","","701.8","","701.8","0","111","0","68","0","9","","3","0","1","0","93","0","4","0","192","0","50","0","-18.3","0,0218,","178",",0,0215,","178",",0,0215,","99.3",",0,1228,","35.6","0,0613,","-0.6","0,1030","-2.2","0,1108","-7.8","0,1201","-7.8","0,1201","-15.0","0,1212","-0.6","0,0413","-4.4","0,0323","-4.4","0,0323","-10.0","0,0221","-10.0","0,0221","","","","","1131.3",",0","290",",0","13.81","0","20.67","0","6.94","0"
