"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00355142","1953","44.6634","-121.146","744.6","MADRAS 2 N, OR US","95.6","","95.6","0","83","0","41","0","1","","1","0","0","0","134","0","0","0","111","0","16","0","-10.0","0,0219,","51",",0,0217,","58",",0,0217,","35.8",",0,1122,","35.6","0,0814,","0.0","0,0924","-3.9","0,1021","-7.8","0,1102","-7.8","0,1102","","","0.0","0,0605","-3.3","0,0511","-4.4","0,0415","-6.7","0,0410","-8.9","0,0314","3410.5","","3410.5","0","338.4",",0","66",",0","9.56","0","16.91","0","2.21","0","",""
"USC00355142","1954","44.6634","-121.146","744.6","MADRAS 2 N, OR US","37.3","","37.3","0","48","0","23","0","","","0","0","0","0","173","0","3","0","110","0","7","0","-16.7","0,0120,","","","5",",0,1202,","24.1",",0,0529,","34.4","0,0801,","-1.1","0,0928","-2.2","0,0929","-4.4","0,1013","-6.7","0,1025","-12.8","0,1130","-0.6","0,0617","-2.2","0,0527","-7.8","0,0501","-7.8","0,0501","-10.6","0,0328","3290.2","","3290.2","0","184.7",",0","5",",0","8.48","0","16.41","0","0.56","0","37306","0"
"USC00355142","1955","44.6634","-121.146","744.6","MADRAS 2 N, OR US","110.7","","110.7","0","58","0","28","0","","","10","0","4","0","183","0","12","0","118","0","21","0","-24.4","0,1115,","","","102",",0,1218,","30.0",",0,1221,","36.7","0,0714,","-1.7","0,0921","-3.3","0,1006","-6.1","0,1111","-9.4","0,1112","-9.4","0,1112","-1.1","0,0616","-2.2","0,0601","-4.4","0,0513","-6.7","0,0418","-12.2","0,0320","3802.9","","3802.9","0","219.0",",0","521",",0","8.06","0","16.04","0","0.08","0","33961","0"
"USC00355142","1956","44.6634","-121.146","744.6","MADRAS 2 N, OR US","132.7","","132.7","0","41","0","28","0","","","5","0","4","0","144","0","15","0","148","0","23","0","-21.7","0,0202,","","","89",",0,0114,","35.6",",0,0221,","37.2","0,0719,","0.0","0,0903","-3.3","0,1014","-6.1","0,1022","-12.2","0,1119","-12.2","0,1119","-0.6","0,0527","-2.2","0,0513","-5.6","0,0409","-6.7","0,0403","-12.2","0,0312","3461.7","","3461.7","0","248.8",",0","249",",0","9.38","0","17.22","0","1.55","0","31573","0"
"USC00355142","1957","44.6634","-121.146","744.6","MADRAS 2 N, OR US","58.1","","58.1","0","63","0","44","0","","","5","0","11","0","160","0","16","0","132","0","10","0","-32.2","0,0126,","","","89",",0,0222,","25.9",",0,1220,","35.0","0,0531,","-1.7","0,0917","-2.8","0,1015","-5.0","0,1101","-6.7","0,1103","-8.9","0,1121","-0.6","0,0503","-2.2","0,0426","-4.4","0,0408","-7.2","0,0223","-8.9","0,0222","3515.1","","3515.1","0","356.5",",0","246",",0","8.55","0","16.31","0","0.81","0","33072","0"
"USC00355142","1975","44.6634","-121.146","744.6","MADRAS 2 N, OR US","122.5","","122.5","0","90","0","32","0","","","12","0","0","0","149","0","15","0","120","0","16","0","-14.4","0,0130,","","","152",",0,0208,","15.5",",0,0818,","37.2","0,0706,","0.0","0,0918","-2.2","0,1025","-4.4","0,1031","-10.6","0,1118","-10.6","0,1118","0.0","0,0608","-3.3","0,0525","-6.1","0,0429","-6.7","0,0406","-8.9","0,0328","3410.7","","3410.7","0","253.1",",0","761",",0","8.71","0","16.02","0","1.41","0","",""
"USC00355142","1976","44.6634","-121.146","744.6","MADRAS 2 N, OR US","96.8","","96.8","0","76","0","31","0","0","","3","0","0","0","170","0","7","0","120","0","12","0","-17.2","0,0206,","0",",0,1231,+","64",",0,0219,","13.5",",0,0806,","35.0","0,0726,+","-1.7","0,1004","-2.2","0,1016","-4.4","0,1017","-12.2","0,1127","-12.2","0,1127","0.0","0,0614","-5.0","0,0426","-5.0","0,0426","-7.8","0,0402","-10.0","0,0305","3570.3","","3570.3","0","214.0",",0","187",",0","8.68","0","16.26","0","1.11","0","",""
"USC00355142","1977","44.6634","-121.146","744.6","MADRAS 2 N, OR US","216.5","","216.5","0","59","0","27","0","","","6","0","8","0","164","0","29","0","117","0","28","0","-20.6","0,1120,","","","216",",0,1122,","24.6",",0,1125,","39.4","0,0818,","-1.1","0,1003","-6.1","0,1103","-6.1","0,1103","-8.9","0,1108","-8.9","0,1108","-0.6","0,0531","-5.0","0,0506","-5.0","0,0506","-6.7","0,0418","-9.4","0,0201","3519.0","","3519.0","0","222.5",",0","533",",0","8.96","0","16.40","0","1.52","0","",""
"USC00355142","1978","44.6634","-121.146","744.6","MADRAS 2 N, OR US","135.4","","135.4","0","82","0","41","0","","","7","0","3","0","160","0","22","0","112","0","22","0","-18.3","0,1112,","","","127",",0,0103,","33.0",",0,0426,","39.4","0,0726,","0.0","0,0916","-4.4","0,1022","-4.4","0,1022","-6.7","0,1031","-13.9","0,1111","-0.6","0,0530","-2.2","0,0522","-5.0","0,0505","-6.7","0,0301","-10.0","0,0104","3518.8","","3518.8","0","340.8",",0","533",",0","8.45","0","15.61","0","1.30","0","",""
"USC00355142","1979","44.6634","-121.146","744.6","MADRAS 2 N, OR US","134.0","","134.0","0","77","0","37","0","","","10","0","10","0","141","0","30","0","140","0","15","0","-25.6","0,0107,","","","89",",0,0114,","19.1",",0,0820,","38.3","0,0720,+","-1.7","0,1021","-2.2","0,1029","-6.7","0,1120","-6.7","0,1120","-9.4","0,1127","0.0","0,0607","-3.3","0,0420","-4.4","0,0321","-22.8","0,0203","-22.8","0,0203","3995.1","","3995.1","0","280.9",",0","546",",0","8.70","0","15.67","0","1.73","0","",""
