"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00361572","1943","40.83333","-75.93333","313.9","GREENWOOD RESERVOIR, PA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3235.8","","3235.8","6","","","","","","","","","",""
"USC00361572","1944","40.83333","-75.93333","313.9","GREENWOOD RESERVOIR, PA US","126","6","80","6","","","","","","","","","","","","","","","","","","","","","58.2",",6,0914,","","","","","","","","","","","","","","","","","","","","","","","","","","","1035.8",",6","","","","","","","",""
"USC00361572","1945","40.83333","-75.93333","313.9","GREENWOOD RESERVOIR, PA US","165","6","114","6","","","","","10","6","111","6","10","6","184","6","46","6","-20.0","6,0126,+","","","","","57.9",",6,0919,","36.7","6,0901,+","-1.1","6,1004","-2.2","6,1104","-4.4","6,1105","-6.7","6,1123","-10.0","6,1202","-1.1","6,0424","-2.2","6,0408","-5.6","6,0309","-8.9","6,0222","-8.9","6,0222","","","","","1494.1",",6","","","11.58","6","19.32","6","3.84","6"
"USC00361572","1946","40.83333","-75.93333","313.9","GREENWOOD RESERVOIR, PA US","130","6","82","6","","","","","","","","","5","6","191","6","45","6","","","","","","","61.7",",6,0925,","37.8","6,0720,","","","","","","","","","","","","","","","","","","","","","","","","","1181.0",",6","","","","","20.44","6","",""
"USC00361572","1947","40.83333","-75.93333","313.9","GREENWOOD RESERVOIR, PA US","140","6","97","6","","","","","","","","","9","6","177","6","46","6","","","","","","","96.5",",6,0708,","37.8","6,0813,","","","","","","","","","","","","","","","","","","","","","","","","","1561.1",",6","","","","","19.23","6","",""
"USC00361572","1948","40.83333","-75.93333","313.9","GREENWOOD RESERVOIR, PA US","156","0","87","0","","","","","","","","","","","","","","","","","","","","","56.4",",0,1230,","","","","","","","","","","","","","","","","","","","","","","","","","","","1266.1",",0","","","","","","","",""
"USC00361572","1950","40.83333","-75.93333","313.9","GREENWOOD RESERVOIR, PA US","156","0","81","0","","","","","","","","","","","","","","","","","","","","","98.6",",0,1126,","","","","","","","","","","","","","","","","","","","","","","","","","","","1381.8",",0","","","","","","","",""
"USC00361572","1951","40.83333","-75.93333","313.9","GREENWOOD RESERVOIR, PA US","126","0","99","0","59","","13","0","","","","","","","","","","","","","305",",0,1220,+","229",",0,1219,","72.4",",0,0729,","","","","","","","","","","","","","","","","","","","","","","","","","","","1553.9",",0","1117",",0","","","","","",""
"USC00361572","1952","40.83333","-75.93333","313.9","GREENWOOD RESERVOIR, PA US","125","0","89","0","28","","9","0","","","","","","","","","","","","","203",",0,1203,","178",",0,1203,","94.5",",0,1122,","","","","","","","","","","","","","","","","","","","","","","","","","","","1731.7",",0","609",",0","","","","","",""
"USC00361572","1953","40.83333","-75.93333","313.9","GREENWOOD RESERVOIR, PA US","119","0","90","0","32","","8","0","","","","","","","","","","","","","254",",0,1107,","254",",0,1107,","66.0",",0,0523,","","","","","","","","","","","","","","","","","","","","","","","","","","","1320.3",",0","730",",0","","","","","",""
"USC00361572","1954","40.83333","-75.93333","313.9","GREENWOOD RESERVOIR, PA US","130","0","75","0","26","","7","0","","","","","","","","","","","","","229",",0,0118,+","178",",0,0111,","48.3",",0,0417,+","","","","","","","","","","","","","","","","","","","","","","","","","","","1022.5",",0","655",",0","","","","","",""
"USC00361572","1955","40.83333","-75.93333","313.9","GREENWOOD RESERVOIR, PA US","120","0","73","0","45","","10","0","","","","","","","","","","","","","102",",0,1224,+","97",",0,1120,","195.1",",0,0819,","","","","","","","","","","","","","","","","","","","","","","","","","","","1410.5",",0","639",",0","","","","","",""
"USC00361572","1956","40.83333","-75.93333","313.9","GREENWOOD RESERVOIR, PA US","157","0","104","0","50","","14","0","","","","","","","","","","","","","254",",0,0320,+","152",",0,0317,","87.4",",0,0705,","","","","","","","","","","","","","","","","","","","","","","","","","","","1313.2",",0","1086",",0","","","","","",""
