"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00382757","1893","34.0627","-79.7555","32.3","EFFINGHAM, SC US","105","6","75","6","","","","","","","","","","","","","","","","","","","","","148.6",",6,0828,","","","","","","","","","","","","","","","","","","","","","","","1367.3",",6","","","","","","","",""
"USC00382757","1894","34.0627","-79.7555","32.3","EFFINGHAM, SC US","119","6","89","6","","","","","","","","","","","","","","","","","","","","","76.7",",6,0806,","","","","","","","","","","","","","","","","","","","","","","","1324.5",",6","","","","","","","",""
"USC00382757","1895","34.0627","-79.7555","32.3","EFFINGHAM, SC US","106","6","69","6","","","","","","","","","","","","","","","","","","","","","68.6",",6,0408,","","","","","","","","","","","","","","","","","","","","","","","1209.9",",6","","","","","","","",""
"USC00382757","1896","34.0627","-79.7555","32.3","EFFINGHAM, SC US","102","6","72","6","","","","","","","","","","","","","","","","","","","","","68.8",",6,0206,","","","","","","","","","","","","","","","","","","","","","","","1088.5",",6","","","","","","","",""
"USC00382757","1897","34.0627","-79.7555","32.3","EFFINGHAM, SC US","112","6","74","6","","","","","","","","","","","","","","","","","","","","","55.9",",6,1101,","","","","","","","","","","","","","","","","","","","","","","","1050.3",",6","","","","","","","",""
"USC00382757","1898","34.0627","-79.7555","32.3","EFFINGHAM, SC US","115","6","79","6","","","","","","","","","","","","","","","","","","","","","57.7",",6,0806,","","","","","","","","","","","","","","","","","","","","","","","1154.5",",6","","","","","","","",""
"USC00382757","1899","34.0627","-79.7555","32.3","EFFINGHAM, SC US","85","6","70","6","","","","","","","","","","","","","","","","","","","","","66.5",",6,1031,","","","","","","","","","","","","","","","","","","","","","","","872.1",",6","","","","","","","",""
"USC00382757","1900","34.0627","-79.7555","32.3","EFFINGHAM, SC US","81","6","69","6","","","","","","","","","","","","","","","","","","","","","55.1",",6,1103,","","","","","","","","","","","","","","","","","","","","","","","1168.2",",6","","","","","","","",""
"USC00382757","1901","34.0627","-79.7555","32.3","EFFINGHAM, SC US","93","6","83","6","","","","","","","","","","","","","","","","","","","","","78.7",",6,0522,","","","","","","","","","","","","","","","","","","","","","","","1315.7",",6","","","","","","","",""
"USC00382757","1902","34.0627","-79.7555","32.3","EFFINGHAM, SC US","87","6","78","6","","","","","","","","","","","","","","","","","","","","","51.3",",6,1005,","","","","","","","","","","","","","","","","","","","","","","","1239.0",",6","","","","","","","",""
"USC00382757","1904","34.0627","-79.7555","32.3","EFFINGHAM, SC US","88","6","78","6","","","","","","","","","","","","","","","","","","","","","119.4",",6,0915,","","","","","","","","","","","","","","","","","","","","","","","1426.1",",6","","","","","","","",""
"USC00382757","1906","34.0627","-79.7555","32.3","EFFINGHAM, SC US","79","6","79","6","","","","","","","","","","","","","","","","","","","","","88.9",",6,0614,","","","","","","","","","","","","","","","","","","","","","","","1598.5",",6","","","","","","","",""
"USC00382757","1907","34.0627","-79.7555","32.3","EFFINGHAM, SC US","85","6","84","6","","","","","","","","","","","","","","","","","","","","","81.3",",6,0818,","","","","","","","","","","","","","","","","","","","","","","","1401.3",",6","","","","","","","",""
"USC00382757","1908","34.0627","-79.7555","32.3","EFFINGHAM, SC US","91","6","91","6","","","","","","","","","","","","","","","","","","","","","63.5",",6,0612,+","","","","","","","","","","","","","","","","","","","","","","","1780.6",",6","","","","","","","",""
"USC00382757","1909","34.0627","-79.7555","32.3","EFFINGHAM, SC US","72","6","72","6","","","","","","","","","","","","","","","","","","","","","56.9",",6,0520,","","","","","","","","","","","","","","","","","","","","","","","1471.8",",6","","","","","","","",""
"USC00382757","1910","34.0627","-79.7555","32.3","EFFINGHAM, SC US","70","6","70","6","","","","","","","","","","","","","","","","","","","","","53.3",",6,0609,","","","","","","","","","","","","","","","","","","","","","","","1278.2",",6","","","","","","","",""
"USC00382757","1911","34.0627","-79.7555","32.3","EFFINGHAM, SC US","65","6","64","6","","","","","","","","","","","","","","","","","","","","","52.1",",6,1028,","","","","","","","","","","","","","","","","","","","","","","","964.3",",6","","","","","","","",""
"USC00382757","1912","34.0627","-79.7555","32.3","EFFINGHAM, SC US","82","6","81","6","","","","","","","","","","","","","","","","","","","","","61.0",",6,0109,","","","","","","","","","","","","","","","","","","","","","","","1244.8",",6","","","","","","","",""
"USC00382757","1915","34.0627","-79.7555","32.3","EFFINGHAM, SC US","72","6","66","6","","","","","","","","","","","","","","","","","","","","","61.0",",6,0828,","","","","","","","","","","","","","","","","","","","","","","","1243.9",",6","","","","","","","",""
"USC00382757","1919","34.0627","-79.7555","32.3","EFFINGHAM, SC US","75","6","68","6","","","","","","","","","","","","","","","","","","","","","74.9",",6,0721,","","","","","","","","","","","","","","","","","","","","","","","986.5",",6","","","","","","","",""
"USC00382757","1920","34.0627","-79.7555","32.3","EFFINGHAM, SC US","87","6","75","6","","","","","","","","","","","","","","","","","","","","","88.9",",6,0930,","","","","","","","","","","","","","","","","","","","","","","","1446.5",",6","","","","","","","",""
"USC00382757","1921","34.0627","-79.7555","32.3","EFFINGHAM, SC US","90","6","83","6","","","","","","","","","","","","","","","","","","","","","112.5",",6,0713,","","","","","","","","","","","","","","","","","","","","","","","1168.0",",6","","","","","","","",""
"USC00382757","1922","34.0627","-79.7555","32.3","EFFINGHAM, SC US","96","6","83","6","","","","","","","","","","","","","","","","","","","","","114.3",",6,1010,","","","","","","","","","","","","","","","","","","","","","","","1617.1",",6","","","","","","","",""
"USC00382757","1923","34.0627","-79.7555","32.3","EFFINGHAM, SC US","90","6","73","6","","","","","","","","","","","","","","","","","","","","","48.3",",6,0914,","","","","","","","","","","","","","","","","","","","","","","","942.7",",6","","","","","","","",""
"USC00382757","1924","34.0627","-79.7555","32.3","EFFINGHAM, SC US","88","6","76","6","","","","","","","","","","","","","","","","","","","","","103.9",",6,0930,","","","","","","","","","","","","","","","","","","","","","","","1509.0",",6","","","","","","","",""
"USC00382757","1925","34.0627","-79.7555","32.3","EFFINGHAM, SC US","70","6","65","6","","","","","","","","","","","","","","","","","","","","","55.9",",6,0716,","","","","","","","","","","","","","","","","","","","","","","","993.6",",6","","","","","","","",""
"USC00382757","1926","34.0627","-79.7555","32.3","EFFINGHAM, SC US","77","6","67","6","","","","","","","","","","","","","","","","","","","","","61.2",",6,1116,","","","","","","","","","","","","","","","","","","","","","","","992.2",",6","","","","","","","",""
"USC00382757","1927","34.0627","-79.7555","32.3","EFFINGHAM, SC US","89","6","77","6","","","","","","","","","","","","","","","","","","","","","69.9",",6,0703,","","","","","","","","","","","","","","","","","","","","","","","1097.3",",6","","","","","","","",""
"USC00382757","1928","34.0627","-79.7555","32.3","EFFINGHAM, SC US","103","6","86","6","","","","","","","","","","","","","","","","","","","","","190.5",",6,0919,","","","","","","","","","","","","","","","","","","","","","","","2099.2",",6","","","","","","","",""
"USC00382757","1930","34.0627","-79.7555","32.3","EFFINGHAM, SC US","91","0","77","0","0","","0","0","","","","","","","","","","","","","0","T,0,0131,","13",",0,0131,","51.3",",0,1015,","","","","","","","","","","","","","","","","","","","","","","","1072.2",",0","13",",0","","","","","",""
"USC00382757","1931","34.0627","-79.7555","32.3","EFFINGHAM, SC US","81","0","63","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","45.0",",0,0508,","","","","","","","","","","","","","","","","","","","","","","","731.7",",0","0",",0","","","","","",""
"USC00382757","1932","34.0627","-79.7555","32.3","EFFINGHAM, SC US","101","0","89","0","0","","0","0","","","","","","","","","","","","","0","T,0,0309,","0","T,0,0310,+","102.6",",0,1017,","","","","","","","","","","","","","","","","","","","","","","","1385.5",",0","0","T,0","","","","","",""
"USC00382757","1933","34.0627","-79.7555","32.3","EFFINGHAM, SC US","71","0","60","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","55.1",",0,0801,","","","","","","","","","","","","","","","","","","","","","","","899.3",",0","0",",0","","","","","",""
"USC00382757","1934","34.0627","-79.7555","32.3","EFFINGHAM, SC US","75","0","59","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0","T,0,0217,","45.7",",0,1129,","","","","","","","","","","","","","","","","","","","","","","","782.9",",0","0","T,0","","","","","",""
"USC00382757","1935","34.0627","-79.7555","32.3","EFFINGHAM, SC US","85","0","63","0","3","","1","0","","","","","","","","","","","","","76",",0,1223,","64",",0,1223,","118.1",",0,0830,","","","","","","","","","","","","","","","","","","","","","","","978.6",",0","79",",0","","","","","",""
"USC00382757","1936","34.0627","-79.7555","32.3","EFFINGHAM, SC US","97","0","80","0","5","","3","0","","","","","","","","","","","","","152",",0,0131,","114",",0,0130,","47.8",",0,1216,","","","","","","","","","","","","","","","","","","","","","","","1224.4",",0","177",",0","","","","","",""
"USC00382757","1937","34.0627","-79.7555","32.3","EFFINGHAM, SC US","96","0","76","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","56.9",",0,0720,","","","","","","","","","","","","","","","","","","","","","","","1091.6",",0","0",",0","","","","","",""
