"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00391102","1912","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","65","6","41","6","","","","","","","","","","","","","","","86.4",",6,0413,","","","","","","","","","","","","","","","","","","","","","476.6",",6","","","",""
"USC00391102","1913","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","","","","","","","","","35","6","160","6","-28.9","6,0302,+","","","","","","","0.0","6,0921","-4.4","6,0922","-4.4","6,0922","-8.3","6,1020","-11.1","6,1021","-3.9","6,0426","-3.9","6,0426","-5.0","6,0404","-7.8","6,0328","-18.3","6,0327","","","","","0.80","6"
"USC00391102","1916","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","81","6","57","6","","","","","","","","","","","","","","","58.4",",6,0629,","","","","","","","","","","","","","","","","","","","","","622.7",",6","","","",""
"USC00391102","1953","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","79","0","58","0","","","14","0","","","","","","","","","241",",0,1203,","82.3",",0,0728,","","","","","","","","","","","","","","","","","","","","","905.5",",0","1411",",0","",""
"USC00391102","1956","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","64","0","37","0","","","8","0","","","","","","","","","127",",0,0327,","76.7",",0,0615,","","","","","","","","","","","","","","","","","","","","","732.6",",0","592",",0","",""
"USC00391102","1957","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","81","0","47","0","","","","","","","","","","","","","","","49.0",",0,0919,","","","","","","","","","","","","","","","","","","","","","607.7",",0","","","",""
"USC00391102","1958","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","76","0","42","0","","","","","","","","","","","","","","","37.6",",0,0603,","","","","","","","","","","","","","","","","","","","","","425.9",",0","","","",""
"USC00391102","1959","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","71","0","50","0","","","","","","","","","","","","","","","44.7",",0,0530,","","","","","","","","","","","","","","","","","","","","","509.1",",0","","","",""
"USC00391102","1960","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","76","0","50","0","","","","","","","","","","","","","","","41.9",",0,0823,","","","","","","","","","","","","","","","","","","","","","576.7",",0","","","",""
"USC00391102","1961","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","65","0","39","0","","","","","","","","","","","","","","","40.1",",0,0514,","","","","","","","","","","","","","","","","","","","","","488.7",",0","","","",""
