"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00414185","1917","30.233333","-97.683333","144.8","HILL S RANCH, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1108.8","","1108.8","6","","","","","","","","","",""
"USC00414185","1918","30.233333","-97.683333","144.8","HILL S RANCH, TX US","1608.2","","1608.2","6","","","","","0","6","43","6","4","6","266","6","129","6","-15.0","6,0113,+","","","41.1","6,0719,","-2.2","6,1124","-2.2","6,1124","-4.4","6,1226","","","","","-0.6","6,0222","-3.9","6,0204","-5.0","6,0203","-8.3","6,0202","-9.4","6,0122","","","","","","","19.49","6","26.40","6","12.58","6","36626","6"
"USC00414185","1919","30.233333","-97.683333","144.8","HILL S RANCH, TX US","1272.3","","1272.3","6","","","","","0","6","35","6","1","6","245","6","68","6","-7.8","6,0104,","","","36.1","6,0810,+","-0.6","6,1113","-6.1","6,1210","-6.1","6,1210","","","","","-1.1","6,0309","-2.8","6,0226","-4.4","6,0106","-7.8","6,0104","","","1183.8","","1183.8","6","","","18.55","6","24.39","6","12.71","6","24488","6"
"USC00414185","1920","30.233333","-97.683333","144.8","HILL S RANCH, TX US","1428.4","","1428.4","6","","","","","0","6","39","6","0","6","266","6","112","6","-6.7","6,1228,","","","36.7","6,0924,+","0.0","6,1114","-3.9","6,1116","-4.4","6,1117","-6.7","6,1228","","","-1.7","6,0405","-3.3","6,0308","-5.6","6,0301","","","","","1075.3","","1075.3","6","","","18.95","6","25.53","6","12.36","6","",""
"USC00414185","1921","30.233333","-97.683333","144.8","HILL S RANCH, TX US","1430.5","","1430.5","6","","","","","0","6","18","6","0","6","304","6","101","6","-5.6","6,1218,","","","36.7","6,0825,+","-0.6","6,1120","-2.2","6,1205","-5.6","6,1218","","","","","-1.7","6,0221","-2.2","6,0110","","","","","","","957.8","","957.8","6","","","20.05","6","26.80","6","13.31","6","",""
"USC00414185","1923","30.233333","-97.683333","144.8","HILL S RANCH, TX US","1523.3","","1523.3","6","92","6","59","6","0","6","17","6","0","6","260","6","117","6","-8.3","6,0206,","131.1",",6,1014,","38.9","6,0804,","-0.6","6,1214","","","","","","","","","-2.2","6,0321","-2.2","6,0321","-5.6","6,0320","-8.3","6,0206","","","","","","","1019.7",",6","19.77","6","25.73","6","13.81","6","",""
"USC00414185","1924","30.233333","-97.683333","144.8","HILL S RANCH, TX US","","","","","75","6","43","6","","","","","","","","","","","","","72.6",",6,0602,","","","","","","","","","","","","","","","","","","","","","","","1301.8","","1301.8","","762.7",",6","","","","","","","",""
"USC00414185","1925","30.233333","-97.683333","144.8","HILL S RANCH, TX US","","","","","70","6","42","6","0","6","46","6","0","6","263","6","139","6","-8.9","6,1228,","93.2",",6,1014,","41.7","6,0715,","-0.6","6,1116","-2.2","6,1123","-6.1","6,1223","-8.9","6,1228","-8.9","6,1228","0.0","6,0218","-4.4","6,0212","-4.4","6,0212","-7.8","6,0128","","","","","","","703.8",",6","20.28","6","27.29","6","13.28","6","33229","6"
"USC00414185","1927","30.233333","-97.683333","144.8","HILL S RANCH, TX US","1614.8","","1614.8","6","78","6","53","6","0","6","29","6","0","6","293","6","119","6","-6.1","6,1216,+","59.2",",6,0614,","39.4","6,0901,","-1.1","6,1117","-3.3","6,1203","-6.1","6,1208","","","","","-1.1","6,0322","-2.2","6,0302","-4.4","6,0116","","","","","991.9","","991.9","6","879.9",",6","20.39","6","27.15","6","13.64","6","22773","6"
"USC00414185","1928","30.233333","-97.683333","144.8","HILL S RANCH, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1033.8","","1033.8","6","","","","","","","","","",""
"USC00414185","1929","30.233333","-97.683333","144.8","HILL S RANCH, TX US","1454.0","","1454.0","6","","","","","0","6","56","6","1","6","262","6","110","6","-11.7","6,1223,","","","38.3","6,0815,","-0.6","6,1114","-2.8","6,1123","-7.2","6,1203","-7.2","6,1203","-11.1","6,1222","-3.3","6,0302","-3.3","6,0302","-6.7","6,0212","-6.7","6,0212","","","","","","","","","18.83","6","25.62","6","12.03","6","24844","6"
