"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00414278","1954","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","","","","","51","0","30","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","65.3",",0,0412,","","","","","","","","","","","","","","","","","","","","","","","","","1324.5","","1324.5","0","423.8",",0","51",",0","","","","","","","61661","0"
"USC00414278","1955","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1430.5","","1430.5","0","53","0","33","0","0","","0","0","0","0","63","0","0","0","256","0","113","0","-7.8","0,0212,+","0",",0,1231,+","0",",0,1231,+","63.5",",0,0718,","40.0","0,0810,","","","0.0","0,1103","-2.2","0,1116","-6.7","0,1128","-6.7","0,1128","","","-2.2","0,0328","-2.2","0,0328","-6.7","0,0327","-6.7","0,0327","","","","","","","516.7",",0","0",",0","18.35","0","25.36","0","11.35","0","",""
"USC00414278","1956","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1570.7","","1570.7","0","46","0","28","0","","","0","0","0","0","51","0","4","0","256","0","143","0","-9.4","0,0204,","","","0",",0,1231,+","153.9",",0,0501,","40.0","0,0616,","","","-2.2","0,1109","-2.2","0,1109","-5.6","0,1129","","","","","-1.7","0,0317","-3.9","0,0316","-5.0","0,0313","-8.9","0,0205","-8.9","0,0205","1448.3","","1448.3","0","506.9",",0","0",",0","18.78","0","26.03","0","11.52","0","",""
"USC00414278","1957","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1168.2","","1168.2","0","82","0","53","0","2","","0","0","0","0","42","0","3","0","222","0","93","0","-10.0","0,0117,","102",",0,1124,","0",",0,1231,+","55.9",",0,0513,","41.1","0,0731,","","","-0.6","0,1026","-3.3","0,1027","-4.4","0,1130","-6.7","0,1211","","","-2.2","0,0414","-2.2","0,0414","-6.1","0,0128","-6.7","0,0127","-10.0","0,0117","1320.0","","1320.0","0","871.4",",0","0",",0","17.52","0","23.75","0","11.28","0","61675","0"
"USC00414278","1958","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1236.2","","1236.2","0","84","0","55","0","0","","0","0","0","0","66","0","2","0","215","0","96","0","-11.7","0,1231,","0",",0,1231,+","0","T,0,1127,","88.9",",0,0916,","39.4","0,0612,+","","","0.0","0,1102","-2.2","0,1119","-6.7","0,1129","-6.7","0,1129","-8.9","0,1213","-0.6","0,0326","-2.8","0,0319","-7.2","0,0216","-7.2","0,0216","","","1739.9","","1739.9","0","782.7",",0","0","T,0","16.82","0","23.19","0","10.44","0","",""
"USC00414278","1959","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1192.8","","1192.8","0","60","0","40","0","0","","0","0","0","0","65","0","4","0","236","0","100","0","-15.6","0,0105,+","0",",0,1231,+","0",",0,1231,+","75.9",",0,0719,","39.4","0,0831,","","","-5.6","0,1106","-5.6","0,1106","-5.6","0,1106","-6.7","0,1114","-9.4","0,1117","-0.6","0,0413","-3.3","0,0322","-5.0","0,0207","-6.7","0,0206","-11.7","0,0122","1661.6","","1661.6","0","864.3",",0","0",",0","16.92","0","24.06","0","9.78","0","",""
"USC00414278","1960","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1276.9","","1276.9","0","64","0","46","0","0","","0","0","0","0","68","0","2","0","244","0","111","0","-12.8","0,0225,","0",",0,1231,+","0",",0,1231,+","99.1",",0,0811,","40.6","0,0730,","","","-4.4","0,1110","-4.4","0,1110","-4.4","0,1110","-7.8","0,1221","","","-1.1","0,0318","-2.2","0,0316","-4.4","0,0307","-8.3","0,0304","-12.8","0,0225","1717.3","","1717.3","0","588.5",",0","0",",0","17.24","0","24.31","0","10.19","0","63978","0"
"USC00414278","1961","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1011.6","","1011.6","0","61","0","49","0","0","","0","0","0","0","46","0","5","0","241","0","82","0","-11.1","0,0125,","0",",0,1231,+","0",",0,1231,+","71.1",",0,0519,","37.2","0,0805,","","","0.0","0,1117","-3.3","0,1211","-8.9","0,1212","-8.9","0,1212","-8.9","0,1212","-0.6","0,0320","-3.9","0,0228","-5.0","0,0207","-6.7","0,0130","-9.4","0,0129","1512.7","","1512.7","0","899.0",",0","0",",0","16.77","0","23.46","0","10.08","0","64325","0"
"USC00414278","1962","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1298.8","","1298.8","0","62","0","42","0","0","","0","0","0","0","57","0","4","0","248","0","101","0","-13.9","0,0111,+","0",",0,1231,+","0",",0,1231,+","53.3",",0,0908,","39.4","0,0811,+","","","-0.6","0,1119","-8.9","0,1212","-8.9","0,1212","-8.9","0,1212","-8.9","0,1212","0.0","0,0402","-5.0","0,0316","-5.0","0,0316","-8.9","0,0302","-8.9","0,0302","1624.4","","1624.4","0","702.3",",0","0",",0","17.77","0","24.70","0","10.84","0","65117","0"
"USC00414278","1963","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1418.3","","1418.3","0","50","0","33","0","0","","0","0","0","0","69","0","11","0","256","0","110","0","-15.0","0,0113,+","0",",0,1231,+","0","T,0,1223,+","65.5",",0,0506,","38.9","0,0718,","","","-0.6","0,1124","-2.8","0,1208","-5.0","0,1212","-7.8","0,1222","-9.4","0,1223","0.0","0,0306","-5.6","0,0223","-5.6","0,0223","-6.7","0,0214","-9.4","0,0129","1488.4","","1488.4","0","562.5",",0","0","T,0","17.86","0","24.86","0","10.86","0","60350","0"
