"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00414597","1985","32.6405","-96.9747","180.1","JOE POOL LAKE, TX US","","","","","78","0","49","0","","","","","","","","","","","","","","","","","","","","","105.2",",0,0428,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","791.2",",0","","","","","","","","","",""
"USC00414597","1986","32.6405","-96.9747","180.1","JOE POOL LAKE, TX US","","","","","77","0","51","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","101.6",",0,0902,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1038.3",",0","0",",0","","","","","","","",""
"USC00414597","1987","32.6405","-96.9747","180.1","JOE POOL LAKE, TX US","","","","","84","0","56","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0","T,0,0330,+","55.6",",0,0529,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","823.0",",0","0","T,0","","","","","","","",""
"USC00414597","1988","32.6405","-96.9747","180.1","JOE POOL LAKE, TX US","","","","","70","0","47","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","43.4",",0,0601,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","568.4",",0","0",",0","","","","","","","",""
"USC00414597","1989","32.6405","-96.9747","180.1","JOE POOL LAKE, TX US","","","","","67","0","49","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","171.5",",0,0517,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1143.6",",0","0",",0","","","","","","","",""
"USC00414597","1990","32.6405","-96.9747","180.1","JOE POOL LAKE, TX US","","","","","95","0","66","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","80.5",",0,0502,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1248.3",",0","0",",0","","","","","","","",""
"USC00414597","1992","32.6405","-96.9747","180.1","JOE POOL LAKE, TX US","926.7","","926.7","0","121","0","80","0","0","","0","0","0","0","71","0","0","0","246","0","91","0","-13.9","0,0116,","0",",0,1231,+","0",",0,1231,+","54.4",",0,0629,","37.2","0,0731,+","0.0","0,1104","-5.6","0,1105","-5.6","0,1105","-8.9","0,1127","-8.9","0,1127","-1.7","0,0403","-3.9","0,0312","-6.1","0,0311","-6.7","0,0120","-11.7","0,0117","","","","","     23.20","0,P,N","1280.8",",0","0",",0","16.87","0","24.83","0","8.90","0","33830","0"
"USC00414597","1993","32.6405","-96.9747","180.1","JOE POOL LAKE, TX US","1342.4","","1342.4","0","101","0","59","0","0","","0","0","0","0","49","0","1","0","229","0","106","0","-8.3","0,1229,","0",",0,1231,+","0","T,0,1223,+","88.9",",0,1018,","40.6","0,0603,","-1.7","0,1030","-6.1","0,1031","-6.1","0,1031","-7.2","0,1126","","","-0.6","0,0315","-2.8","0,0314","-4.4","0,0219","","","","","1531.8","","1531.8","0","","","1115.1",",0","0","T,0","17.75","0","24.42","0","11.09","0","",""
"USC00414597","1994","32.6405","-96.9747","180.1","JOE POOL LAKE, TX US","1301.3","","1301.3","0","110","0","69","0","0","","0","0","0","0","47","0","0","0","237","0","104","0","-10.0","0,0201,","0",",0,1231,+","0",",0,1231,+","52.1",",0,1105,","40.0","0,0819,","-0.6","0,1128","-2.2","0,1130","","","","","","","0.0","0,0407","-3.3","0,0310","-5.0","0,0226","-6.7","0,0211","-8.9","0,0202","1568.7","","1568.7","0","","","1072.3",",0","0",",0","18.01","0","24.83","0","11.19","0","",""
"USC00414597","1995","32.6405","-96.9747","180.1","JOE POOL LAKE, TX US","","","","","91","0","54","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","111.8",",0,0313,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1124.8",",0","0",",0","","","","","","","",""
"USC00414597","1996","32.6405","-96.9747","180.1","JOE POOL LAKE, TX US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","943.2",",0","0",",0","","","","","","","",""
"USC00414597","1997","32.6405","-96.9747","180.1","JOE POOL LAKE, TX US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1222.6",",0","0",",0","","","","","","","",""
"USC00414597","1998","32.6405","-96.9747","180.1","JOE POOL LAKE, TX US","","","","","","","","","","","0","0","","","","","","","","","","","","","","","0",",0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",0","","","","","","","",""
"USC00414597","1999","32.6405","-96.9747","180.1","JOE POOL LAKE, TX US","","","","","","","","","","","0","0","","","","","","","","","","","","","","","0",",0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",0","","","","","","","",""
"USC00414597","2000","32.6405","-96.9747","180.1","JOE POOL LAKE, TX US","","","","","","","","","","","0","0","","","","","","","","","","","","","","","0",",0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",0","","","","","","","",""
