"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00418059","1988","26.2655","-97.8713","15.2","SANTA ROSA 3 WNW, TX US","2073.5","","2073.5","0","60","0","33","0","0","","0","0","0","0","1","0","0","0","313","0","141","0","0.0","0,0212,","0",",0,1231,+","0",",0,1231,+","101.6",",0,0917,","38.3","0,0811,+","","","","","","","","","","","","","0.0","0,0212","","","501.7","","501.7","0","590.0",",0","0",",0","22.66","0","28.47","0","16.84","0"
"USC00418059","1989","26.2655","-97.8713","15.2","SANTA ROSA 3 WNW, TX US","2242.1","","2242.1","0","58","0","23","0","0","","0","0","0","0","17","0","3","0","310","0","169","0","-8.9","0,1223,","0",",0,1231,+","0",",0,1231,+","49.0",",0,0809,","38.9","0,0331,","","","-1.7","0,1213","-3.3","0,1222","-8.9","0,1223","-8.9","0,1223","-8.9","0,1223","0.0","0,0308","","","390.7","","390.7","0","382.9",",0","0",",0","22.93","0","28.85","0","17.00","0"
"USC00418059","1990","26.2655","-97.8713","15.2","SANTA ROSA 3 WNW, TX US","2276.0","","2276.0","0","69","0","34","0","0","","0","0","0","0","4","0","0","0","331","0","155","0","-2.2","0,1225,+","0",",0,1231,+","0",",0,1231,+","37.8",",0,1022,","38.3","0,0828,","","","0.0","0,1208","-2.2","0,1224","","","","","","","","","","","400.8","","400.8","0","338.6",",0","0",",0","23.79","0","29.59","0","17.98","0"
"USC00418059","1991","26.2655","-97.8713","15.2","SANTA ROSA 3 WNW, TX US","2196.5","","2196.5","0","92","0","45","0","0","","0","0","0","0","0","0","0","0","314","0","150","0","1.1","0,0101,","0",",0,1231,+","0",",0,1231,+","58.4",",0,0630,","38.9","0,0731,","","","","","","","","","","","","","","","","","372.6","","372.6","0","819.9",",0","0",",0","23.27","0","28.69","0","17.86","0"
"USC00418059","1992","26.2655","-97.8713","15.2","SANTA ROSA 3 WNW, TX US","2018.5","","2018.5","0","89","0","49","0","0","","0","0","0","0","0","0","0","0","302","0","124","0","2.2","0,1128,","0",",0,1231,+","0",",0,1231,+","109.5",",0,0923,","37.8","0,0812,","","","","","","","","","","","","","","","","","425.9","","425.9","0","857.9",",0","0",",0","22.92","0","28.26","0","17.58","0"
"USC00418059","1993","26.2655","-97.8713","15.2","SANTA ROSA 3 WNW, TX US","2027.2","","2027.2","0","75","0","45","0","","","","","0","0","2","0","0","0","311","0","128","0","0.0","0,1128,+","","","","","115.1",",0,0621,","37.2","0,0905,+","","","0.0","0,1031","","","","","","","","","","","","","341.2","","341.2","0","672.5",",0","","","22.81","0","28.55","0","17.08","0"
"USC00418059","1994","26.2655","-97.8713","15.2","SANTA ROSA 3 WNW, TX US","2260.3","","2260.3","0","80","0","42","0","0","","0","0","0","0","0","0","0","0","328","0","159","0","1.1","0,0109,","0",",0,1231,+","0",",0,1231,+","53.6",",0,1008,","38.3","0,0728,","","","","","","","","","","","","","","","","","410.7","","410.7","0","575.1",",0","0",",0","23.69","0","29.36","0","18.02","0"
"USC00418059","1995","26.2655","-97.8713","15.2","SANTA ROSA 3 WNW, TX US","2194.7","","2194.7","0","73","0","41","0","0","","0","0","0","0","0","0","0","0","313","0","157","0","3.9","0,0106,+","0",",0,1231,+","0",",0,1231,+","98.3",",0,0530,","40.0","0,0801,","","","","","","","","","","","","","","","","","294.8","","294.8","0","658.8",",0","0",",0","23.32","0","28.99","0","17.66","0"
"USC00418059","1996","26.2655","-97.8713","15.2","SANTA ROSA 3 WNW, TX US","2363.7","","2363.7","0","48","0","28","0","0","","0","0","0","0","8","0","0","0","330","0","183","0","-4.4","0,1220,+","0",",0,1231,+","0",",0,1231,+","45.2",",0,0825,+","38.3","0,0815,+","","","-4.4","0,1219","-4.4","0,1219","-4.4","0,1219","","","","","-1.1","0,0205","","","474.0","","474.0","0","418.0",",0","0",",0","23.62","0","29.82","0","17.42","0"
"USC00418059","1997","26.2655","-97.8713","15.2","SANTA ROSA 3 WNW, TX US","","","","","86","0","43","0","0","","0","0","","","","","0","0","312","0","142","0","","","0",",0,1231,+","0",",0,1231,+","74.9",",0,0312,","39.4","0,0823,","","","","","","","","","","","","","","","","","412.7","","412.7","0","735.4",",0","0",",0","","","28.57","0","",""
