"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00419754","1993","30.5347","-94.4455","61.0","WILDWOOD, TX US","","","","","122","0","85","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","86.4",",0,1117,","","","","","","","","","","","","","","","","","","","","","","","1308.0",",0","0",",0","","","","","","","","","",""
"USC00419754","1994","30.5347","-94.4455","61.0","WILDWOOD, TX US","","","","","110","0","71","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","161.3",",0,1017,","","","","","","","","","","","","","","","","","","","","","","","1609.4",",0","0",",0","","","","","","","","","",""
"USC00419754","1995","30.5347","-94.4455","61.0","WILDWOOD, TX US","","","","","111","0","79","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","129.5",",0,0127,","","","","","","","","","","","","","","","","","","","","","","","1540.2",",0","0",",0","","","","","","","","","",""
"USC00419754","1996","30.5347","-94.4455","61.0","WILDWOOD, TX US","","","","","99","0","64","0","0","","0","0","","","","","","","","","","","","","0","T,0,1217,+","0","T,0,1217,+","70.9",",0,1216,","","","","","","","","","","","","","","","","","","","","","","","1108.9",",0","0","T,0","","","","","","","","","",""
"USC00419754","1997","30.5347","-94.4455","61.0","WILDWOOD, TX US","","","","","117","0","82","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","141.7",",0,1221,","","","","","","","","","","","","","","","","","","","","","","","1764.7",",0","0",",0","","","","","","","","","",""
"USC00419754","1998","30.5347","-94.4455","61.0","WILDWOOD, TX US","","","","","100","0","66","0","","","0","0","","","","","","","","","","","","","","","0",",0,1231,+","138.9",",0,1019,","","","","","","","","","","","","","","","","","","","","","","","1704.3",",0","0",",0","","","","","","","","","",""
"USC00419754","1999","30.5347","-94.4455","61.0","WILDWOOD, TX US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",0","","","","","","","","","",""
"USC00419754","2000","30.5347","-94.4455","61.0","WILDWOOD, TX US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",0","","","","","","","","","",""
"USC00419754","2001","30.5347","-94.4455","61.0","WILDWOOD, TX US","","","","","113","0","77","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","113.8",",0,1127,","","","","","","","","","","","","","","","","","","","","","","","1837.9",",0","0",",0","","","","","","","","","",""
"USC00419754","2002","30.5347","-94.4455","61.0","WILDWOOD, TX US","1409.0","","1409.0","0","106","0","75","0","0","","0","0","0","0","41","0","0","0","265","0","98","0","-8.3","0,0104,","0",",0,1231,+","0",",0,1231,+","160.0",",0,1103,","36.7","0,0804,+","-1.1","0,1128","","","","","-3.3","0,0306","-3.3","0,0306","-6.7","0,0305","-6.7","0,0305","","","","","","","1664.3",",0","0",",0","19.07","0","25.41","0","12.74","0","","","",""
"USC00419754","2003","30.5347","-94.4455","61.0","WILDWOOD, TX US","1366.6","","1366.6","0","95","0","64","0","0","","0","0","0","0","41","0","0","0","268","0","89","0","-5.0","0,0123,","0",",0,1231,+","0",",0,1231,+","172.7",",0,1118,","38.9","0,0807,","-2.2","0,1125","-2.2","0,1125","","","-0.6","0,0331","-3.3","0,0125","-5.0","0,0123","","","","","1122.6","","1122.6","0","1339.5",",0","0",",0","19.16","0","25.70","0","12.62","0","","","",""
"USC00419754","2006","30.5347","-94.4455","61.0","WILDWOOD, TX US","1440.6","","1440.6","0","96","0","68","0","","","0","0","0","0","30","0","0","0","292","0","107","0","-5.0","0,1205,","","","0",",0,1231,+","177.5",",0,1019,","36.7","0,0818,+","-2.2","0,1121","-2.2","0,1121","-5.0","0,1205","0.0","0,0220","-2.2","0,0213","","","","","","","","","","","2026.0",",0","0",",0","20.14","0","26.77","0","13.51","0","","","",""
"USC00419754","2007","30.5347","-94.4455","61.0","WILDWOOD, TX US","1556.5","","1556.5","0","118","0","87","0","0","","0","0","0","0","37","0","0","0","294","0","100","0","-5.6","0,0217,+","0",",0,1231,+","0","T,0,0605,+","80.3",",0,0728,","38.9","0,0815,+","-2.2","0,1204","-2.2","0,1204","","","-2.2","0,0306","-2.2","0,0306","-5.6","0,0217","","","","","984.7","","984.7","0","1371.9",",0","0","T,0","20.00","0","26.43","0","13.58","0","","","",""
"USC00419754","2008","30.5347","-94.4455","61.0","WILDWOOD, TX US","1462.9","","1462.9","0","111","0","65","0","1","","1","0","0","0","34","0","0","0","298","0","103","0","-5.0","0,0104,+","51",",0,1211,","56",",0,1211,","95.8",",0,0914,","38.9","0,0803,","-0.6","0,1116","-2.8","0,1202","","","-0.6","0,0309","-2.2","0,0202","-5.0","0,0104","","","","","876.6","","876.6","0","1305.9",",0","56",",0","19.68","0","26.65","0","12.70","0","","","",""
"USC00419754","2009","30.5347","-94.4455","61.0","WILDWOOD, TX US","1550.2","","1550.2","0","104","0","72","0","1","","1","0","0","0","41","0","0","0","275","0","112","0","-5.6","0,1206,+","25",",0,1205,","30",",0,1205,","102.9",",0,0214,","39.4","0,0716,+","-5.6","0,1205","-5.6","0,1205","-5.6","0,1205","0.0","0,0408","-2.2","0,0303","","","","","","","935.9","","935.9","0","1414.3",",0","30",",0","19.79","0","26.46","0","13.13","0","","","",""
"USC00419754","2010","30.5347","-94.4455","61.0","WILDWOOD, TX US","1627.2","","1627.2","0","98","0","62","0","0","","0","0","0","0","54","0","1","0","266","0","123","0","-10.0","0,0110,","0",",0,1231,+","0","T,0,0224,+","47.0",",0,0817,","38.9","0,0622,","0.0","0,1106","-2.8","0,1127","","","0.0","0,0305","-3.3","0,0226","-9.4","0,0112","-9.4","0,0112","-9.4","0,0112","1283.5","","1283.5","0","861.0",",0","0","T,0","19.35","0","26.25","0","12.46","0","","","",""
"USC00419754","2011","30.5347","-94.4455","61.0","WILDWOOD, TX US","1786.0","","1786.0","K","82","K","51","K","0","","0","K","0","K","38","K","1","K","290","K","138","K","-7.8","K,0212,+","0","T,K,0205,+","0","T,K,0205,+","171.5",",K,1109,","41.1","K,0829,+","0.0","K,1104","-3.9","K,1208","","","0.0","K,0312","-3.3","K,0214","-5.6","K,0213","-7.8","K,0212","","","1024.6","","1024.6","K","948.2",",K","0","T,K","20.41","K","27.90","K","12.92","K","","","",""
"USC00419754","2012","30.5347","-94.4455","61.0","WILDWOOD, TX US","1696.7","","1696.7","7","102","7","60","7","0","","0","7","0","7","26","7","0","7","304","7","121","7","-3.3","7,1222,+","0",",7,1231,+","0",",7,1231,+","85.6",",7,0819,","40.0","7,0627,","-0.6","7,1115","-2.2","7,1211","","","-1.1","7,0213","-2.2","K,0115","","","","","","","766.7","","766.7","7","1351.4",",7","0",",7","21.00","7","27.81","7","14.19","7","","","",""
"USC00419754","2013","30.5347","-94.4455","61.0","WILDWOOD, TX US","1573.1","","1573.1","7","104","7","60","7","0","","0","7","0","7","41","7","0","7","283","7","111","7","-3.3","7,1225,+","0",",7,1231,+","0","T,7,0212,","161.8",",7,1031,","38.9","7,0830,+","-1.1","7,1113","-2.8","7,1129","","","-0.6","7,0328","-2.8","7,0304","","","","","","","952.2","","952.2","7","1283.8",",7","0","T,7","19.69","7","26.41","7","12.97","7","290","7","13.9","7"
"USC00419754","2014","30.5347","-94.4455","61.0","WILDWOOD, TX US","1455.1","","1455.1","7","116","7","75","7","1","","0","7","0","7","43","7","1","7","268","7","96","7","-8.9","7,0107,","25",",7,0124,","5",",7,0124,","132.3",",7,0718,","36.7","7,0826,+","-2.2","7,1114","-2.2","7,1114","","","0.0","7,0308","-3.3","7,0304","-6.1","7,0131","-6.7","7,0130","-8.9","7,0107","1231.3","","1231.3","7","1384.9",",7","8",",7","19.11","7","25.55","7","12.66","7","","","",""
