"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00420900","1992","37.6933","-112.8469","2977.9","BRIAN HEAD, UT US","127","0","85","0","205","","62","0","","","","","84","0","15","0","0","0","","","1880",",0,0401,+","622",",0,1213,","48.8",",0,1031,","23.3","0,0729,","","","","","","","","","","","","","","","","","","","","","896.3",",0","8440",",0","7.58","0","",""
"USC00420900","1993","37.6933","-112.8469","2977.9","BRIAN HEAD, UT US","112","0","71","0","262","","78","0","","","","","83","0","21","0","0","0","","","2946",",0,0228,","559",",0,0220,+","58.4",",0,0220,","25.0","0,0803,","","","","","","","","","","","","","","","","","","","","","1001.8",",0","10371",",0","7.88","0","",""
"USC00420900","1994","37.6933","-112.8469","2977.9","BRIAN HEAD, UT US","122","0","68","0","246","","72","0","","","","","","","","","","","","","2108",",0,0411,","737",",0,0212,","40.1",",0,1015,+","","","","","","","","","","","","","","","","","","","","","","","921.1",",0","10249",",0","","","",""
"USC00420900","1995","37.6933","-112.8469","2977.9","BRIAN HEAD, UT US","132","0","74","0","222","","76","0","","","","","76","0","36","0","0","0","","","3404",",0,0423,","737",",0,0116,","61.5",",0,0312,","24.4","0,0728,","","","","","","","","","","","","","","","","","","","","","1013.4",",0","11418",",0","8.28","0","",""
"USC00420900","1996","37.6933","-112.8469","2977.9","BRIAN HEAD, UT US","111","0","75","0","223","","67","0","","","","","","","","","","","","","1778",",0,0226,","483",",0,0226,","41.4",",0,0221,","","","","","","","","","","","","","","","","","","","","","","","836.7",",0","9030",",0","","","",""
"USC00420900","1997","37.6933","-112.8469","2977.9","BRIAN HEAD, UT US","130","0","83","0","230","","68","0","21","0","245","0","","","","","","","-23.3","0,0301,","2616",",0,0413,","559",",0,0228,","38.9",",0,1127,","","","-3.3","0,0921","-3.3","0,0921","-8.9","0,1008","-8.9","0,1008","-8.9","0,1008","-0.6","0,0706","-2.8","0,0701","-5.0","0,0615","-12.2","0,0501","-12.2","0,0501","987.0",",0","9282",",0","","","-4.83","0"
"USC00420900","1998","37.6933","-112.8469","2977.9","BRIAN HEAD, UT US","131","0","95","0","","","89","0","25","0","255","0","","","","","","","-24.4","0,1221,","","","610",",0,0105,","38.6",",0,0306,","","","-0.6","0,0913","-3.3","0,1001","-5.6","0,1004","-8.3","0,1005","-8.9","0,1016","-1.1","0,0623","-6.7","0,0617","-6.7","0,0617","-6.7","0,0617","-8.9","0,0514","1063.5",",0","12288",",0","","","-4.77","0"
"USC00420900","1999","37.6933","-112.8469","2977.9","BRIAN HEAD, UT US","114","0","74","0","199","","59","0","16","0","264","0","","","","","","","-22.8","0,0211,","2413",",0,0410,","533",",0,0409,","36.1",",0,0728,","","","-1.1","0,0904","-2.2","0,0905","-6.1","0,0929","-10.6","0,1016","-10.6","0,1016","-1.1","0,0613","-2.8","0,0612","-5.6","0,0611","-6.7","0,0516","-12.8","0,0505","743.9",",0","7311",",0","","","-5.17","0"
"USC00420900","2000","37.6933","-112.8469","2977.9","BRIAN HEAD, UT US","100","0","63","0","229","","71","0","13","0","234","0","","","","","","","-23.3","0,1117,","2362",",0,0321,","660",",0,0224,","38.4",",0,0818,","","","-1.1","0,0908","-5.6","0,0923","-5.6","0,0923","-8.3","0,0924","-9.4","0,1012","-0.6","0,0617","-2.2","0,0611","-4.4","0,0519","-6.7","0,0514","-10.0","0,0513","823.9",",0","9268",",0","","","-4.16","0"
"USC00420900","2001","37.6933","-112.8469","2977.9","BRIAN HEAD, UT US","127","0","74","0","207","","82","0","20","0","249","0","","","","","","","-23.9","0,0209,","2489",",0,0408,","686",",0,1125,","41.4",",0,1125,","","","-3.3","0,0906","-3.3","0,0906","-4.4","0,1010","-7.2","0,1011","-9.4","0,1012","-1.7","0,0617","-2.8","0,0616","-5.0","0,0615","-8.9","0,0505","-8.9","0,0505","804.7",",0","9773",",0","","","-4.47","0"
