"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00444350","1905","36.833333","-80.95","596.2","IVANHOE, VA US","138","6","83","6","","","","","","","","","","","","","62.5",",6,0712,","","","","","","","","","","","","","","","","","","","","","","","1180.5",",6","","","","","",""
"USC00444350","1907","36.833333","-80.95","596.2","IVANHOE, VA US","147","6","78","6","","","","","","","","","","","","","116.8",",6,0923,","","","","","","","","","","","","","","","","","","","","","","","1155.9",",6","","","","","",""
"USC00444350","1909","36.833333","-80.95","596.2","IVANHOE, VA US","","","","","","","","","13","6","127","6","0","6","","","","","29.4","6,0828,","","","","","","","","","","","","","","","","","","","","","","","","","15.85","6","",""
"USC00444350","1910","36.833333","-80.95","596.2","IVANHOE, VA US","","","","","0","6","106","6","24","6","137","6","0","6","-15.6","6,0111,","","","28.9","6,0701,","0.0","6,1024","-2.2","6,1030","-4.4","6,1117","-6.7","6,1120","-11.1","6,1214","0.0","6,0319","-3.3","6,0318","-4.4","6,0315","-7.8","6,0225","-13.3","6,0219","","","10.90","6","15.05","6","6.74","6"
"USC00444350","1912","36.833333","-80.95","596.2","IVANHOE, VA US","","","","","0","6","116","6","28","6","132","6","0","6","-16.7","6,0116,+","","","30.0","6,0901,","0.0","6,1027","-2.2","6,1103","-4.4","6,1104","-6.7","6,1127","-13.3","6,1129","0.0","6,0409","-2.2","6,0326","-6.7","6,0310","-6.7","6,0310","-8.9","6,0223","","","10.39","6","14.85","6","5.93","6"
"USC00444350","1917","36.833333","-80.95","596.2","IVANHOE, VA US","94","6","70","6","","","","","","","","","","","","","76.2",",6,0327,","","","","","","","","","","","","","","","","","","","","","","","727.3",",6","","","","","",""
"USC00444350","1918","36.833333","-80.95","596.2","IVANHOE, VA US","114","6","87","6","","","","","","","","","","","","","64.3",",6,1026,","","","","","","","","","","","","","","","","","","","","","","","1059.6",",6","","","","","",""
"USC00444350","1920","36.833333","-80.95","596.2","IVANHOE, VA US","108","6","86","6","","","","","","","","","","","","","41.9",",6,1128,","","","","","","","","","","","","","","","","","","","","","","","999.7",",6","","","","","",""
"USC00444350","1921","36.833333","-80.95","596.2","IVANHOE, VA US","109","6","80","6","","","","","","","","","","","","","54.6",",6,0605,","","","","","","","","","","","","","","","","","","","","","","","913.9",",6","","","","","",""
"USC00444350","1923","36.833333","-80.95","596.2","IVANHOE, VA US","111","6","76","6","","","","","","","","","","","","","54.6",",6,0908,","","","","","","","","","","","","","","","","","","","","","","","992.7",",6","","","","","",""
"USC00444350","1924","36.833333","-80.95","596.2","IVANHOE, VA US","120","6","96","6","","","","","","","","","","","","","50.5",",6,0812,","","","","","","","","","","","","","","","","","","","","","","","1098.8",",6","","","","","",""
"USC00444350","1925","36.833333","-80.95","596.2","IVANHOE, VA US","98","6","69","6","","","","","","","","","","","","","66.0",",6,0512,","","","","","","","","","","","","","","","","","","","","","","","674.3",",6","","","","","",""
"USC00444350","1926","36.833333","-80.95","596.2","IVANHOE, VA US","107","6","81","6","","","","","","","","","","","","","63.0",",6,1116,","","","","","","","","","","","","","","","","","","","","","","","942.0",",6","","","","","",""
"USC00444350","1928","36.833333","-80.95","596.2","IVANHOE, VA US","106","6","76","6","","","","","","","","","","","","","66.3",",6,0812,","","","","","","","","","","","","","","","","","","","","","","","950.1",",6","","","","","",""
"USC00444350","1930","36.833333","-80.95","596.2","IVANHOE, VA US","80","6","60","6","","","","","","","","","","","","","30.5",",6,1206,","","","","","","","","","","","","","","","","","","","","","","","582.7",",6","","","","","",""
"USC00444350","1931","36.833333","-80.95","596.2","IVANHOE, VA US","78","6","62","6","","","","","","","","","","","","","57.2",",6,0704,","","","","","","","","","","","","","","","","","","","","","","","890.9",",6","","","","","",""
"USC00444350","1932","36.833333","-80.95","596.2","IVANHOE, VA US","99","6","76","6","","","","","","","","","","","","","69.6",",6,0614,","","","","","","","","","","","","","","","","","","","","","","","1026.2",",6","","","","","",""
"USC00444350","1933","36.833333","-80.95","596.2","IVANHOE, VA US","73","6","67","6","","","","","","","","","","","","","32.5",",6,0208,","","","","","","","","","","","","","","","","","","","","","","","726.2",",6","","","","","",""
"USC00444350","1934","36.833333","-80.95","596.2","IVANHOE, VA US","85","6","75","6","","","","","","","","","","","","","98.0",",6,0916,","","","","","","","","","","","","","","","","","","","","","","","1138.0",",6","","","","","",""
"USC00444350","1936","36.833333","-80.95","596.2","IVANHOE, VA US","85","6","73","6","","","","","","","","","","","","","61.2",",6,0317,","","","","","","","","","","","","","","","","","","","","","","","1039.8",",6","","","","","",""
"USC00444350","1937","36.833333","-80.95","596.2","IVANHOE, VA US","94","6","87","6","","","","","","","","","","","","","140.2",",6,0131,","","","","","","","","","","","","","","","","","","","","","","","1198.0",",6","","","","","",""
"USC00444350","1938","36.833333","-80.95","596.2","IVANHOE, VA US","88","6","79","6","","","","","","","","","","","","","44.5",",6,1105,","","","","","","","","","","","","","","","","","","","","","","","1009.3",",6","","","","","",""
"USC00444350","1939","36.833333","-80.95","596.2","IVANHOE, VA US","78","6","70","6","","","","","","","","","","","","","49.0",",6,0630,","","","","","","","","","","","","","","","","","","","","","","","876.0",",6","","","","","",""
"USC00444350","1940","36.833333","-80.95","596.2","IVANHOE, VA US","87","6","80","6","","","","","","","","","","","","","97.8",",6,0814,","","","","","","","","","","","","","","","","","","","","","","","1074.1",",6","","","","","",""
"USC00444350","1941","36.833333","-80.95","596.2","IVANHOE, VA US","72","6","66","6","","","","","","","","","","","","","44.5",",6,0705,","","","","","","","","","","","","","","","","","","","","","","","708.7",",6","","","","","",""
"USC00444350","1942","36.833333","-80.95","596.2","IVANHOE, VA US","80","6","72","6","","","","","","","","","","","","","54.1",",6,0620,","","","","","","","","","","","","","","","","","","","","","","","1126.8",",6","","","","","",""
"USC00444350","1947","36.833333","-80.95","596.2","IVANHOE, VA US","123","6","83","6","","","","","","","","","","","","","59.9",",6,0805,","","","","","","","","","","","","","","","","","","","","","","","896.8",",6","","","","","",""
