"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00459012","1893","47.6497","-120.0801","812.0","WATERVILLE, WA US","","","","","49","6","42","6","","","","","","","","","44","6","97","6","11","6","","","","","","","43.2",",6,0520,","36.1","6,0801,+","","","","","","","","","","","","","","","","","","","","","","","","","389.4",",6","","","","","12.35","6","","","","","",""
"USC00459012","1894","47.6497","-120.0801","812.0","WATERVILLE, WA US","","","","","","","","","","","","","","","","","60","6","104","6","23","6","","","","","","","","","36.7","6,0823,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.03","6","","","","","",""
"USC00459012","1896","47.6497","-120.0801","812.0","WATERVILLE, WA US","176.0","","176.0","6","","","","","","","","","9","6","187","6","46","6","103","6","25","6","-29.4","6,1128,+","","","","","","","38.3","6,0628,","-1.1","6,0903","-2.2","6,0914","-4.4","6,1029","-8.3","6,1111","-12.8","6,1117","0.0","6,0729","-5.0","6,0517","-5.0","6,0517","-8.3","6,0401","-12.8","6,0307","4147.4","","4147.4","6","","","","","6.55","6","13.36","6","-0.26","6","","","",""
"USC00459012","1897","47.6497","-120.0801","812.0","WATERVILLE, WA US","","","","","","","","","","","","","13","6","172","6","65","6","121","6","19","6","-26.1","6,0126,","","","","","","","38.9","6,0819,","-2.8","6,0915","-2.8","6,0915","-6.1","6,1014","-9.4","6,1107","-9.4","6,1107","-1.1","6,0610","-2.8","6,0405","-7.8","6,0331","-7.8","6,0331","-11.1","6,0330","","","","","","","","","6.19","6","13.34","6","-0.96","6","","","",""
"USC00459012","1899","47.6497","-120.0801","812.0","WATERVILLE, WA US","123.3","","123.3","6","50","6","37","6","","","","","13","6","165","6","30","6","108","6","16","6","-27.8","6,0104,","","","","","26.7",",6,1017,","39.4","6,0715,","-2.2","6,0930","-2.2","6,0930","-7.8","6,1014","-7.8","6,1014","-9.4","6,1205","-1.7","6,0531","-2.2","6,0522","-6.1","6,0515","-8.9","6,0501","-8.9","6,0501","","","","","322.7",",6","","","7.04","6","13.64","6","0.44","6","","","",""
"USC00459012","1900","47.6497","-120.0801","812.0","WATERVILLE, WA US","142.9","","142.9","6","43","6","37","6","","","","","4","6","166","6","27","6","120","6","17","6","-23.9","6,1121,","","","","","27.4",",6,1219,","38.9","6,0731,+","-1.7","6,0826","-2.2","6,0926","-5.0","6,1102","-12.2","6,1117","-12.2","6,1117","-0.6","6,0529","-4.4","6,0408","-4.4","6,0408","-7.2","6,0306","-18.9","6,0216","3768.4","","3768.4","6","334.0",",6","","","7.97","6","14.57","6","1.38","6","","","",""
"USC00459012","1901","47.6497","-120.0801","812.0","WATERVILLE, WA US","172.8","","172.8","6","45","6","37","6","","","","","4","6","168","6","38","6","105","6","24","6","-25.0","6,0110,","","","","","25.4",",6,1122,","37.8","6,0815,","0.0","6,0930","-2.2","6,1028","-5.0","6,1104","-6.7","6,1108","-8.9","6,1125","0.0","6,0625","-2.2","6,0415","-4.4","6,0324","-6.7","6,0314","-15.0","6,0221","4322.8","","4322.8","6","330.8",",6","","","7.34","6","13.97","6","0.70","6","","","",""
"USC00459012","1902","47.6497","-120.0801","812.0","WATERVILLE, WA US","116.4","","116.4","6","52","6","41","6","","","19","6","8","6","160","6","38","6","107","6","12","6","-25.0","6,0125,","","","305",",6,1223,","30.5",",6,1223,","39.4","6,0806,","0.0","6,0925","-3.3","6,1023","-5.6","6,1028","-7.8","6,1105","-12.2","6,1107","-0.6","6,0605","-6.7","6,0429","-6.7","6,0429","-6.7","6,0429","-12.2","6,0204","3780.6","","3780.6","6","409.6",",6","2011",",6","6.89","6","13.45","6","0.33","6","","","",""
"USC00459012","1903","47.6497","-120.0801","812.0","WATERVILLE, WA US","140.0","","140.0","6","","","","","","","","","5","6","171","6","67","6","110","6","17","6","-20.6","6,0206,","","","","","","","36.7","6,0721,","0.0","6,0930","-3.9","6,1003","-4.4","6,1030","-6.7","6,1110","-11.7","6,1112","0.0","6,0508","-3.3","6,0502","-4.4","6,0411","-7.2","6,0323","-10.0","6,0320","4305.0","","4305.0","6","","","","","6.40","6","12.91","6","-0.11","6","","","",""
"USC00459012","1904","47.6497","-120.0801","812.0","WATERVILLE, WA US","201.7","","201.7","6","","","","","","","","","3","6","152","6","36","6","114","6","22","6","-23.3","6,0209,","","","","","","","37.8","6,0805,","-0.6","6,1018","-4.4","6,1106","-4.4","6,1106","-7.8","6,1210","-9.4","6,1216","0.0","6,0508","-2.2","6,0506","-5.0","6,0407","-6.7","6,0401","-11.1","6,0327","4378.7","","4378.7","6","","","","","7.43","6","13.64","6","1.21","6","","","",""
