"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00480324","1950","43.18333","-107.26667","1836.1","ARMINTO, WY US","24","0","19","0","","","","","","","","","","","19.3",",0,0909,","","","","","","","","","","","","","","","","","","","","","","","","","131.7",",0","","","",""
"USC00480324","1951","43.18333","-107.26667","1836.1","ARMINTO, WY US","36","0","24","0","3","0","","","","","","","127",",0,0122,","18.3",",0,0623,","","","","","","","","","","","","","","","","","","","","","","","","","147.4",",0","190",",0","",""
"USC00480324","1952","43.18333","-107.26667","1836.1","ARMINTO, WY US","23","0","17","0","5","0","","","","","","","152",",0,0522,","26.7",",0,0509,","","","","","","","","","","","","","","","","","","","","","","","","","172.9",",0","477",",0","",""
"USC00480324","1953","43.18333","-107.26667","1836.1","ARMINTO, WY US","38","0","23","0","3","0","","","","","","","152",",0,1118,","20.8",",0,0715,","","","","","","","","","","","","","","","","","","","","","","","","","197.5",",0","279",",0","",""
"USC00480324","1954","43.18333","-107.26667","1836.1","ARMINTO, WY US","35","0","22","0","5","0","","","","","","","203",",0,0318,","20.8",",0,0715,","","","","","","","","","","","","","","","","","","","","","","","","","182.8",",0","541",",0","",""
"USC00480324","1955","43.18333","-107.26667","1836.1","ARMINTO, WY US","54","0","33","0","16","0","","","","","","","254",",0,0411,","27.9",",0,0722,","","","","","","","","","","","","","","","","","","","","","","","","","257.8",",0","1555",",0","",""
"USC00480324","1956","43.18333","-107.26667","1836.1","ARMINTO, WY US","35","0","16","0","10","0","","","","","","","102",",0,0224,","14.5",",0,1024,","","","","","","","","","","","","","","","","","","","","","","","","","114.3",",0","494",",0","",""
"USC00480324","1957","43.18333","-107.26667","1836.1","ARMINTO, WY US","49","0","30","0","","","","","","","","","","","21.3",",0,1014,","","","","","","","","","","","","","","","","","","","","","","","","","267.8",",0","","","",""
"USC00480324","1958","43.18333","-107.26667","1836.1","ARMINTO, WY US","38","0","22","0","","","","","","","","","","","12.2",",0,0515,","","","","","","","","","","","","","","","","","","","","","","","","","163.5",",0","","","",""
"USC00480324","1960","43.18333","-107.26667","1836.1","ARMINTO, WY US","29","0","14","0","6","0","","","","","","","127",",0,1108,+","15.2",",0,0608,","","","","","","","","","","","","","","","","","","","","","","","","","103.1",",0","590",",0","",""
"USC00480324","1961","43.18333","-107.26667","1836.1","ARMINTO, WY US","49","0","23","0","8","0","","","","","","","203",",0,1029,","12.2",",0,0919,","","","","","","","","","","","","","","","","","","","","","","","","","165.0",",0","596",",0","",""
"USC00480324","1962","43.18333","-107.26667","1836.1","ARMINTO, WY US","47","0","23","0","5","0","","","","","","","229",",0,0108,","68.6",",0,0521,","","","","","","","","","","","","","","","","","","","","","","","","","301.8",",0","457",",0","",""
"USC00480324","1963","43.18333","-107.26667","1836.1","ARMINTO, WY US","44","0","25","0","","","31","0","185","0","-40.0","0,0112,","","","33.0",",0,0831,","-0.6","0,1017","-2.2","0,1026","-7.2","0,1027","-7.2","0,1027","-9.4","0,1101","0.0","0,0522","-3.9","0,0513","-5.6","0,0425","-6.7","0,0424","-12.2","0,0422","","","","","202.1",",0","","","-1.75","0"
"USC00480324","1964","43.18333","-107.26667","1836.1","ARMINTO, WY US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4637.4","","4637.4","0","","","","","",""
