"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00501716","1928","56.3","-158.4","9.1","CHIGNIK, AK US","","","","","","","","","","","0","6","183","6","","","","","","","-15.0","6,0321,","","","","","","","-2.2","6,0914","-2.2","6,0914","-6.1","6,1007","-7.2","6,1120","-12.2","6,1122","0.0","6,0627","-3.3","6,0530","-5.6","6,0417","-7.8","6,0416","-12.2","6,0401","5512.6","","5512.6","6","","","","","","","","","-0.71","6"
"USC00501716","1929","56.3","-158.4","9.1","CHIGNIK, AK US","","","","","","","","","","","0","6","156","6","","","","","","","-14.4","6,1230,","","","","","","","0.0","6,0917","-2.2","6,1008","-4.4","6,1103","-7.8","6,1204","-8.9","6,1213","-0.6","6,0731","-2.2","6,0531","-5.6","6,0416","-6.7","6,0415","-12.2","6,0403","","","","","","","","","","","","","0.55","6"
"USC00501716","1930","56.3","-158.4","9.1","CHIGNIK, AK US","0.0","","0.0","6","138","6","106","6","","","11","6","202","6","68","6","2","6","0","6","-20.6","6,0224,+","","","186.2",",6,0512,","23.9","6,0904,","0.0","6,0904","-2.8","6,0929","-4.4","6,1007","-6.7","6,1102","-11.1","6,1110","0.0","6,0630","-3.3","6,0530","-6.7","6,0519","-6.7","6,0519","-9.4","6,0409","5670.8","","5670.8","6","3536.0",",6","","","2.08","6","5.67","6","-1.50","6"
"USC00501716","1969","56.3","-158.4","9.1","CHIGNIK, AK US","0.0","","0.0","0","117","0","113","0","16","0","3","0","132","0","28","0","2","0","0","0","-19.4","0,0104,","203",",0,0301,+","157.5",",0,0915,","22.2","0,0806,","-0.6","0,1002","-6.7","0,1102","-6.7","0,1102","-6.7","0,1102","-11.1","0,1215","-1.7","0,0511","-2.2","0,0507","-6.7","0,0417","-6.7","0,0417","-11.1","0,0403","","","","","3491.0",",0","1822",",0","4.45","0","7.78","0","1.12","0"
"USC00501716","1970","56.3","-158.4","9.1","CHIGNIK, AK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4995.8","","4995.8","","","","","","","","","","",""
"USC00501716","1971","56.3","-158.4","9.1","CHIGNIK, AK US","0.0","","0.0","0","82","0","76","0","11","0","17","0","177","0","59","0","5","0","0","0","-24.4","0,0128,+","193",",0,0326,","127.8",",0,0828,","24.4","0,0712,","-0.6","0,0908","-3.3","0,1007","-5.6","0,1103","-6.7","0,1116","-12.8","0,1126","-6.1","0,0522","-6.1","0,0522","-6.1","0,0522","-7.2","0,0511","-12.8","0,0422","","","","","2105.1",",0","1292",",0","2.12","0","5.82","0","-1.57","0"
"USC00501716","1972","56.3","-158.4","9.1","CHIGNIK, AK US","0.0","","0.0","0","95","0","91","0","16","0","7","0","156","0","63","0","0","0","0","0","-19.4","0,0302,+","198",",0,0422,","73.2",",0,1127,","20.0","0,0708,","-0.6","0,0922","-2.8","0,1002","-5.6","0,1103","-7.8","0,1125","-14.4","0,1214","-1.1","0,0520","-2.8","0,0516","-4.4","0,0512","-10.0","0,0426","-10.0","0,0426","5607.3","","5607.3","0","2048.3",",0","1610",",0","2.73","0","6.40","0","-0.95","0"
"USC00501716","1973","56.3","-158.4","9.1","CHIGNIK, AK US","0.0","","0.0","0","83","0","79","0","12","0","10","0","152","0","42","0","0","0","0","0","-20.6","0,0122,+","231",",0,0212,","97.8",",0,1225,","20.0","0,0820,+","-2.8","0,1013","-2.8","0,1013","-6.1","0,1021","-7.8","0,1130","-9.4","0,1207","0.0","0,0608","-9.4","0,0522","-9.4","0,0522","-9.4","0,0522","-9.4","0,0522","5204.3","","5204.3","0","1999.8",",0","1216",",0","3.28","0","6.62","0","-0.06","0"
"USC00501716","1974","56.3","-158.4","9.1","CHIGNIK, AK US","0.0","","0.0","0","","","","","","","9","0","138","0","67","0","9","0","0","0","-22.8","0,0219,","","","","","23.9","0,0707,","-1.1","0,1010","-3.9","0,1031","-11.7","0,1119","-11.7","0,1119","-11.7","0,1119","-1.7","0,0509","-3.9","0,0416","-6.1","0,0414","-6.7","0,0407","-11.1","0,0313","5287.0","","5287.0","0","","","","","3.72","0","7.15","0","0.30","0"
"USC00501716","1975","56.3","-158.4","9.1","CHIGNIK, AK US","0.0","","0.0","0","","","","","","","6","0","137","0","75","0","0","0","0","0","-23.3","0,0322,","","","","","20.6","0,0807,","0.0","0,1015","-2.2","0,1021","-5.6","0,1028","-6.7","0,1029","-10.0","0,1030","-2.8","0,0521","-2.8","0,0521","-9.4","0,0403","-9.4","0,0403","-9.4","0,0403","5382.5","","5382.5","0","","","","","2.55","0","5.39","0","-0.29","0"
