"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00503765","1942","66.06667","-154.23333","166.1","HUGHES, AK US","","","","","","","","","","","","","","","160","6","47","6","0","6","","","","","","","31.7","6,0621,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.39","6","",""
"USC00503765","1944","66.06667","-154.23333","166.1","HUGHES, AK US","5.0","","5.0","6","","","","","","","101","6","243","6","154","6","41","6","0","6","-48.9","6,1204,","","","","","28.3","6,0710,","-1.1","6,0803","-2.2","6,0808","-5.6","6,0920","-7.2","6,1006","-11.1","6,1024","-0.6","6,0528","-7.8","6,0510","-7.8","6,0510","-7.8","6,0510","-8.9","6,0502","","","","","","","-3.61","6","2.09","6","-9.31","6"
"USC00503765","1946","66.06667","-154.23333","166.1","HUGHES, AK US","21.8","","21.8","6","70","6","34","6","","","123","6","229","6","168","6","49","6","0","6","-50.0","6,1214,","","","17.0",",6,1029,","31.1","6,0712,","0.0","6,0805","-2.8","6,0806","-6.7","6,0921","-6.7","6,0921","-8.9","6,0923","-1.7","6,0515","-6.7","6,0508","-6.7","6,0508","-6.7","6,0508","-8.9","6,0426","7902.4","","7902.4","6","245.9",",6","-5.03","6","0.26","6","-10.32","6"
"USC00503765","1947","66.06667","-154.23333","166.1","HUGHES, AK US","10.8","","10.8","6","52","6","25","6","","","107","6","248","6","167","6","41","6","0","6","-55.6","6,0125,+","","","23.9",",6,0801,","29.4","6,0722,+","-1.1","6,0805","-2.2","6,0817","-4.4","6,0913","-7.8","6,0919","-11.1","6,0920","0.0","6,0601","-2.2","6,0518","-18.9","6,0503","-18.9","6,0503","-18.9","6,0503","8474.9","","8474.9","6","205.4",",6","-4.85","6","0.81","6","-10.51","6"
"USC00503765","1948","66.06667","-154.23333","166.1","HUGHES, AK US","8.6","","8.6","6","","","","","","","126","6","257","6","185","6","22","6","0","6","-49.4","6,1201,+","","","","","28.9","6,0618,","-1.1","6,0820","-2.8","6,0823","-9.4","6,0918","-9.4","6,0918","-9.4","6,0918","0.0","6,0622","-2.8","6,0516","-5.0","6,0512","-7.8","6,0509","-17.8","6,0508","8148.0","","8148.0","6","","","-6.71","6","-1.28","6","-12.14","6"
"USC00503765","1949","66.06667","-154.23333","166.1","HUGHES, AK US","11.1","","11.1","0","","","","","","","119","0","240","0","166","0","35","0","0","0","-48.3","0,0209,","","","","","28.3","0,0711,","0.0","6,0814","-2.2","0,0920","-9.4","0,1005","-9.4","0,1005","-9.4","0,1005","-3.3","6,0630","-3.3","6,0630","-13.9","6,0507","-13.9","6,0507","-13.9","6,0507","9099.5","","9099.5","0","","","-4.66","0","1.14","0","-10.46","0"
"USC00503765","1950","66.06667","-154.23333","166.1","HUGHES, AK US","36.0","","36.0","0","70","0","41","0","","","128","0","232","0","164","0","53","0","0","0","-49.4","0,0211,","","","24.1",",0,0929,","29.4","0,0816,","0.0","0,0831","-3.9","0,0923","-6.7","0,1009","-6.7","0,1009","-11.1","0,1010","0.0","0,0601","-2.2","0,0522","-7.2","0,0507","-7.2","0,0507","-10.0","0,0506","8114.4","","8114.4","0","334.7",",0","-4.31","0","1.66","0","-10.28","0"
"USC00503765","1951","66.06667","-154.23333","166.1","HUGHES, AK US","9.8","","9.8","0","85","0","58","0","212","","116","0","242","0","171","0","34","0","0","0","-53.9","0,0114,","813",",0,0303,+","47.0",",0,0827,","29.4","0,0715,","-1.1","0,0825","-2.2","0,0916","-11.1","0,0928","-11.1","0,0928","-11.1","0,0928","-1.1","0,0624","-2.8","0,0515","-5.0","0,0514","-7.2","0,0501","-10.6","0,0426","8539.0","","8539.0","0","526.2",",0","-5.16","0","0.61","0","-10.93","0"
"USC00503765","1952","66.06667","-154.23333","166.1","HUGHES, AK US","5.9","","5.9","0","49","0","25","0","220","","111","0","253","0","182","0","40","0","0","0","-53.9","0,0110,","813",",0,0312,+","36.6",",0,0728,","27.8","0,0722,","0.0","0,0816","-5.6","0,0904","-5.6","0,0904","-8.9","0,0906","-8.9","0,0906","-1.1","0,0613","-2.2","0,0523","-5.6","0,0513","-6.7","0,0512","-11.7","0,0511","8514.0","","8514.0","0","314.3",",0","-4.33","0","1.20","0","-9.87","0"
"USC00503765","1953","66.06667","-154.23333","166.1","HUGHES, AK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7793.3","","7793.3","0","","","","","","","",""
"USC00503765","1954","66.06667","-154.23333","166.1","HUGHES, AK US","13.4","","13.4","0","","","","","188","","131","0","239","0","156","0","42","0","0","0","-51.1","0,1226,","787",",0,0322,+","","","30.0","0,0718,+","-6.1","0,0912","-6.1","0,0912","-6.1","0,0912","-7.8","0,0919","-9.4","0,0920","-0.6","0,0614","-2.2","0,0523","-4.4","0,0515","-6.7","0,0501","-14.4","0,0423","","","","","","","-5.85","0","0.34","0","-12.04","0"
"USC00503765","1956","66.06667","-154.23333","166.1","HUGHES, AK US","5.5","","5.5","0","","","","","","","155","0","240","0","178","0","36","0","0","0","-54.4","0,0229,","","","","","26.1","0,0713,","0.0","0,0901","-12.8","0,0918","-12.8","0,0918","-12.8","0,0918","-12.8","0,0918","0.0","0,0624","-3.3","0,0509","-5.0","0,0504","-9.4","0,0503","-9.4","0,0503","","","","","","","-8.34","0","-2.14","0","-14.54","0"
"USC00503765","1957","66.06667","-154.23333","166.1","HUGHES, AK US","39.4","","39.4","0","30","0","22","0","210","","94","0","229","0","155","0","57","0","1","0","-50.6","0,0214,","940",",0,0323,+","25.4",",0,0913,","32.2","0,0713,","0.0","0,0821","-2.2","0,0920","-7.2","0,0921","-7.2","0,0921","-9.4","0,0924","-1.1","0,0518","-7.2","0,0517","-7.2","0,0517","-7.2","0,0517","-12.2","0,0430","8841.2","","8841.2","0","182.4",",0","-2.54","0","2.85","0","-7.94","0"
"USC00503765","1958","66.06667","-154.23333","166.1","HUGHES, AK US","28.6","","28.6","0","54","0","36","0","200","","116","0","239","0","182","0","51","0","1","0","-51.1","0,0101,","508",",0,0409,+","34.3",",0,0819,","32.2","0,0705,","-1.1","0,0901","-2.8","0,0916","-5.6","0,0929","-15.0","0,1004","-15.0","0,1004","-0.6","0,0519","-2.2","0,0514","-5.6","0,0513","-6.7","0,0505","-10.0","0,0504","7341.1","","7341.1","0","331.4",",0","-3.56","0","1.70","0","-8.83","0"
"USC00503765","1959","66.06667","-154.23333","166.1","HUGHES, AK US","4.8","","4.8","0","45","0","33","0","193","","133","0","240","0","181","0","35","0","0","0","-47.2","0,0306,+","483",",0,0323,+","45.7",",0,0818,","28.9","0,0621,","0.0","0,0906","-2.8","0,0907","-5.6","0,0927","-6.7","0,1005","-10.0","0,1009","-1.1","0,0728","-3.3","0,0512","-6.7","0,0502","-6.7","0,0502","-12.2","0,0501","8605.3","","8605.3","0","363.4",",0","-5.41","0","0.46","0","-11.28","0"
"USC00503765","1960","66.06667","-154.23333","166.1","HUGHES, AK US","20.4","","20.4","0","33","0","26","0","208","","108","0","231","0","191","0","40","0","0","0","-50.0","0,0114,+","432",",0,0302,+","50.8",",0,0703,","31.1","0,0714,+","0.0","0,0822","-3.9","0,0907","-4.4","0,0917","-6.7","0,0918","-15.6","0,1008","0.0","0,0602","-5.6","0,0428","-5.6","0,0428","-11.1","0,0427","-11.1","0,0427","8323.9","","8323.9","0","248.0",",0","-3.36","0","2.22","0","-8.95","0"
"USC00503765","1961","66.06667","-154.23333","166.1","HUGHES, AK US","","","","","","","","","209","","","","","","","","","","","","","","305",",0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","7977.4","","7977.4","0","","","","","","","",""
"USC00503765","1963","66.06667","-154.23333","166.1","HUGHES, AK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7518.5","","7518.5","0","","","","","","","",""
"USC00503765","1965","66.06667","-154.23333","166.1","HUGHES, AK US","","","","","","","","","216","","","","","","","","","","","","","","864",",0,0414,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
