"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00511075","1964","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","852.3",",0","0",",0"
"USC00511075","1965","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","","","0",",0"
"USC00511075","1966","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","674.7",",0","0",",0"
"USC00511075","1967","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1318.0",",0","0",",0"
"USC00511075","1968","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1251.6",",0","0",",0"
"USC00511075","1969","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1475.8",",0","0",",0"
"USC00511075","1970","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1106.3",",0","0",",0"
"USC00511075","1971","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","907.1",",","0",",0"
"USC00511075","1972","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","762.8",",","0",",0"
"USC00511075","1973","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","764.9",",0","0",",0"
"USC00511075","1974","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1097.2",",0","0",",0"
"USC00511075","1975","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","586.5",",0","0",",0"
"USC00511075","1978","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1274.6",",","0",",0"
"USC00511075","1980","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1648.3",",0","0",",0"
"USC00511075","1981","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","","","0",",0"
"USC00511075","1982","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","","","0",",0"
"USC00511075","1983","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","750.5",",","0",",0"
"USC00511075","1984","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","","","0","0","","","0",",0,1231,+","692.0",",0","0",",0"
"USC00511075","1985","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1328.3",",0","0",",0"
"USC00511075","1986","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","","","0","0","","","0",",0,1231,+","","","0",",0"
"USC00511075","1987","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1849.7",",0","0",",0"
"USC00511075","1988","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1416.9",",","0",",0"
"USC00511075","1989","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","2147.4",",","0",",0"
"USC00511075","1990","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1970.1",",0","0",",0"
"USC00511075","1991","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1093.9",",0","0",",0"
"USC00511075","1992","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","","","0",",0"
"USC00511075","1993","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","972.9",",","0",",0"
"USC00511075","1994","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1185.1",",","0",",0"
"USC00511075","1995","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","744.8",",","0",",0"
"USC00511075","1996","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1247.0",",0","0",",0"
"USC00511075","1997","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1856.6",",0","0",",0"
"USC00511075","1998","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","","","0","0","","","0",",0,1231,+","980.3",",0","0",",0"
"USC00511075","1999","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","1059.9",",","0",",0"
"USC00511075","2000","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","815.0",",","0",",0"
"USC00511075","2001","20.8659","-156.3436","329.2","HALIIMAILE 423, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","710.7",",0","0",",0"
