"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00514620","1916","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","","","","","183","6","100","6","","","","","","","","","","","","","","","","","165.1",",6,0117,","","","","","","","1914.3",",6","","","","","","","",""
"USC00514620","1917","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","","","","","143","6","88","6","","","","","","","","","","","","","","","","","208.3",",6,0126,","","","7.1","","7.1","","1394.3",",6","","","","","","","",""
"USC00514620","1918","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","1231.6","","1231.6","6","175","6","100","6","","","0","6","0","6","0","6","361","6","0","6","11.7","6,0329,+","","","152.4",",6,1127,","30.0","6,0709,","","","","","1891.1",",6","","","21.69","6","25.92","6","17.45","6"
"USC00514620","1919","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","1171.4","","1171.4","6","163","6","89","6","","","0","6","0","6","0","6","364","6","0","6","10.0","6,0105,","","","71.1",",6,1204,","30.6","6,1004,","5.6","","5.6","6","1011.2",",6","","","21.52","6","26.19","6","16.86","6"
"USC00514620","1921","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","1138.8","","1138.8","6","174","6","109","6","","","0","6","0","6","0","6","359","6","0","6","11.1","6,0304,","","","89.7",",6,0121,","31.1","6,0815,","","","","","1238.2",",6","","","21.44","6","25.94","6","16.94","6"
"USC00514620","1922","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","1253.9","","1253.9","6","154","6","91","6","","","0","6","0","6","0","6","362","6","0","6","10.0","6,0208,","","","109.2",",6,0201,","31.1","6,0727,","5.2","","5.2","6","1143.6",",6","","","21.74","6","26.53","6","16.96","6"
"USC00514620","1923","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","","2.5","6","","","","","","","","","",""
"USC00514620","1924","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","1175.0","","1175.0","6","159","6","107","6","","","0","6","0","6","0","6","364","6","0","6","10.0","6,0318,+","","","76.2",",6,0415,+","29.4","6,1127,+","","","","","1344.2",",6","","","21.54","6","26.25","6","16.83","6"
"USC00514620","1925","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","1301.8","","1301.8","6","146","6","92","6","","","0","6","0","6","0","6","365","6","1","6","11.7","6,0316,+","","","65.5",",6,0307,","32.8","6,0629,","0.0","","0.0","6","944.9",",6","","","21.89","6","26.84","6","16.96","6"
"USC00514620","1926","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","1449.8","","1449.8","6","","","","","","","0","6","0","6","0","6","359","6","2","6","11.1","6,0403,+","","","","","32.8","6,0820,","0.0","","0.0","6","","","","","22.34","6","27.43","6","17.26","6"
"USC00514620","1927","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","1237.5","","1237.5","6","158","6","118","6","","","0","6","0","6","0","6","357","6","0","6","10.6","6,0213,","","","162.6",",6,1225,","29.4","6,1017,+","0.5","","0.5","6","1919.8",",6","","","21.72","6","25.98","6","17.46","6"
"USC00514620","1928","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","1148.9","","1148.9","6","","","","","","","0","6","0","6","0","6","365","6","0","6","12.2","6,1125,+","","","","","30.0","6,0630,","1.1","","1.1","6","","","","","21.46","6","26.08","6","16.85","6"
"USC00514620","1929","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","1295.8","","1295.8","6","","","","","","","0","6","0","6","0","6","360","6","1","6","11.7","6,0110,","","","","","32.2","6,0825,","3.3","","3.3","6","","","","","21.87","6","26.40","6","17.34","6"
"USC00514620","1930","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","1263.7","","1263.7","6","","","","","","","0","6","0","6","0","6","365","6","0","6","12.2","6,0114,+","","","","","30.6","6,0220,","1.3","","1.3","6","","","","","21.79","6","26.23","6","17.36","6"
"USC00514620","1931","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","1272.8","","1272.8","6","","","","","","","0","6","0","6","0","6","364","6","1","6","10.6","6,1211,","","","","","32.2","6,0427,","0.0","","0.0","6","","","","","21.81","6","26.52","6","17.11","6"
"USC00514620","1932","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","1054.9","","1054.9","6","","","","","","","0","6","0","6","0","6","357","6","0","6","11.1","6,1225,","","","","","31.1","6,0816,","5.0","","5.0","6","","","","","21.28","6","25.49","6","17.08","6"
"USC00514620","1933","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","862.7","","862.7","6","138","6","96","6","","","0","6","0","6","0","6","362","6","0","6","11.1","6,0405,","","","63.5",",6,0131,","30.6","6,1226,","2.1","","2.1","6","1152.0",",6","","","20.69","6","24.91","6","16.47","6"
"USC00514620","1934","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","1275.4","","1275.4","6","","","","","","","0","6","0","6","0","6","364","6","0","6","11.7","6,0411,+","","","","","31.1","6,1016,","0.9","","0.9","6","","","","","21.82","6","26.33","6","17.31","6"
"USC00514620","1935","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","1113.9","","1113.9","6","","","","","","","0","6","0","6","0","6","361","6","0","6","10.0","6,0218,+","","","","","30.6","6,1026,+","2.2","","2.2","6","","","","","21.42","6","25.82","6","17.02","6"
"USC00514620","1937","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","","","","","","","","","","","","","","","0","6","352","6","0","6","","","","","","","31.7","6,0607,","","","","","","","","","","","25.80","6","",""
"USC00514620","1938","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","1271.9","","1271.9","6","120","6","95","6","","","0","6","0","6","0","6","362","6","1","6","12.8","6,1126,+","","","149.9",",6,0213,","32.8","6,0818,","0.0","","0.0","6","1412.0",",6","","","21.81","6","26.02","6","17.61","6"
"USC00514620","1939","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1","","1.1","6","","","","","","","","","",""
"USC00514620","1940","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","","","","","","","","","0","6","0","6","0","6","","","","","","","11.1","6,1227,","0",",6,1231,+","","","","","","","","","","","0",",6","","","","","17.62","6"
"USC00514620","1941","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","1302.8","","1302.8","6","","","","","","","0","6","0","6","0","6","363","6","0","6","11.1","6,0211,","","","","","31.1","6,0912,+","","","","","","","","","21.93","6","26.27","6","17.58","6"
"USC00514620","1942","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","","","","","","","","","0","6","0","6","0","6","0","6","361","6","0","6","11.1","6,0420,+","0",",6,1231,+","","","30.6","6,0914,+","8.4","","8.4","6","","","0",",6","22.35","6","27.00","6","17.70","6"
"USC00514620","1943","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","1215.1","","1215.1","6","160","6","113","6","","","0","6","0","6","0","6","359","6","0","6","11.1","6,0226,","","","124.5",",6,0103,","30.6","6,0227,","","","","","1492.2",",6","","","21.70","6","26.10","6","17.30","6"
"USC00514620","1944","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","1082.5","","1082.5","6","155","6","111","6","","","0","6","0","6","0","6","362","6","0","6","11.1","6,0325,","","","106.7",",6,1226,","30.6","6,0326,","0.5","","0.5","6","1350.3",",6","","","21.29","6","25.54","6","17.05","6"
"USC00514620","1945","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","1112.2","","1112.2","6","","","","","","","0","6","0","6","0","6","363","6","0","6","11.1","6,0121,","","","","","29.4","6,1028,+","2.2","","2.2","6","","","","","21.38","6","25.57","6","17.19","6"
"USC00514620","1946","19.06667","-155.61667","320.0","KIOLAKAA 7, HI US","1214.8","","1214.8","6","129","6","106","6","","","0","6","0","6","0","6","361","6","0","6","11.7","6,0120,","","","342.9",",6,0131,","30.6","6,1104,","1.4","","1.4","6","1810.7",",6","","","21.65","6","25.93","6","17.36","6"
