"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00517421","1905","19.1987","-155.4778","256.0","PAHALA 21, HI US","1422.5","","1422.5","6","88","6","53","6","","","","","0","6","0","6","0","6","365","6","12","6","11.1","6,1224,","","","","","126.2",",6,1122,","35.6","6,0808,","","","","","","","678.8",",6","","","22.23","6","28.22","6","16.24","6","",""
"USC00517421","1906","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","","","","","","","","","0","6","0","6","","","","","","","10.6","6,0329,","","","","","","","","","","","0.3","","0.3","6","","","","","","","","","16.56","6","",""
"USC00517421","1907","19.1987","-155.4778","256.0","PAHALA 21, HI US","1278.9","","1278.9","6","102","6","66","6","","","","","0","6","0","6","0","6","364","6","1","6","11.7","6,0318,+","","","","","152.4",",6,1013,","32.2","6,0729,","","","","","","","1396.6",",6","","","21.85","6","27.32","6","16.37","6","",""
"USC00517421","1908","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","59","6","36","6","","","","","","","","","0","6","363","6","3","6","","","","","","","99.1",",6,0210,","32.8","6,1208,","","","1.1","","1.1","6","596.6",",6","","","","","27.36","6","","","",""
"USC00517421","1909","19.1987","-155.4778","256.0","PAHALA 21, HI US","1096.4","","1096.4","6","66","6","39","6","","","","","0","6","0","6","0","6","364","6","0","6","10.0","6,0106,+","","","","","125.7",",6,1226,","30.6","6,0909,+","","","","","","","973.3",",6","","","21.33","6","27.20","6","15.46","6","",""
"USC00517421","1910","19.1987","-155.4778","256.0","PAHALA 21, HI US","1073.0","","1073.0","6","65","6","43","6","","","","","0","6","0","6","0","6","365","6","0","6","10.6","6,0122,","","","","","121.2",",6,0820,","31.1","6,0819,+","","","2.8","","2.8","6","667.0",",6","","","21.26","6","27.12","6","15.39","6","",""
"USC00517421","1911","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","","1.4","","","","","","","","","","","","",""
"USC00517421","1915","19.1987","-155.4778","256.0","PAHALA 21, HI US","1110.8","","1110.8","6","","","","","","","","","0","6","0","6","0","6","361","6","0","6","10.0","6,0120,","","","","","","","30.6","6,0926,+","","","","","","","","","","","21.35","6","26.67","6","16.03","6","",""
"USC00517421","1916","19.1987","-155.4778","256.0","PAHALA 21, HI US","1272.2","","1272.2","6","91","6","60","6","","","","","0","6","0","6","0","6","366","6","0","6","12.8","6,1218,+","","","","","233.7",",6,1224,","31.1","6,0629,+","","","0.3","","0.3","6","1738.8",",6","","","21.82","6","27.16","6","16.47","6","",""
"USC00517421","1917","19.1987","-155.4778","256.0","PAHALA 21, HI US","936.6","","936.6","6","84","6","49","6","","","","","0","6","0","6","0","6","365","6","0","6","11.1","6,0308,+","","","","","180.3",",6,0515,","30.0","6,1108,+","","","2.6","","2.6","6","1726.0",",6","","","20.89","6","26.60","6","15.17","6","",""
"USC00517421","1918","19.1987","-155.4778","256.0","PAHALA 21, HI US","1146.4","","1146.4","6","120","6","75","6","","","","","0","6","0","6","0","6","364","6","1","6","11.7","6,0306,+","","","","","252.7",",6,0219,","32.2","6,0725,","","","1.2","","1.2","6","2101.0",",6","","","21.46","6","26.87","6","16.06","6","",""
"USC00517421","1919","19.1987","-155.4778","256.0","PAHALA 21, HI US","1059.6","","1059.6","6","80","6","45","6","","","","","0","6","0","6","0","6","365","6","0","6","10.0","6,0123,+","","","","","106.7",",6,0831,","30.6","6,0822,+","","","4.9","","4.9","6","705.6",",6","","","21.22","6","26.70","6","15.73","6","",""
"USC00517421","1920","19.1987","-155.4778","256.0","PAHALA 21, HI US","820.5","","820.5","6","104","6","65","6","","","","","0","6","0","6","0","6","362","6","0","6","12.2","6,0320,+","","","","","112.8",",6,0330,","31.7","6,0723,","","","0.6","","0.6","6","1097.0",",6","","","20.57","6","26.33","6","14.80","6","",""
"USC00517421","1921","19.1987","-155.4778","256.0","PAHALA 21, HI US","1152.5","","1152.5","6","108","6","62","6","","","","","0","6","0","6","0","6","360","6","1","6","12.8","6,0304,","","","","","115.3",",6,0120,","32.8","6,0815,","","","5.9","","5.9","6","1033.0",",6","","","21.47","6","26.39","6","16.56","6","",""
"USC00517421","1922","19.1987","-155.4778","256.0","PAHALA 21, HI US","1146.7","","1146.7","6","111","6","52","6","","","","","0","6","0","6","0","6","364","6","0","6","11.1","6,0823,","","","","","65.5",",6,0201,","30.6","6,1017,+","","","2.6","","2.6","6","771.1",",6","","","21.47","6","26.50","6","16.44","6","",""
"USC00517421","1923","19.1987","-155.4778","256.0","PAHALA 21, HI US","1321.2","","1321.2","6","116","6","71","6","","","","","0","6","0","6","0","6","365","6","1","6","11.1","6,0114,","","","","","151.1",",6,1224,","33.3","6,0817,","","","10.6","","10.6","6","1874.9",",6","","","21.92","6","26.94","6","16.90","6","",""
"USC00517421","1924","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","105","6","69","6","","","","","0","6","0","6","","","","","","","12.2","6,0318,+","","","","","128.3",",6,0414,","","","","","0.1","","0.1","6","1406.1",",6","","","","","","","16.50","6","",""
"USC00517421","1925","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","80","6","47","6","","","","","","","","","0","6","365","6","15","6","","","","","","","57.2",",6,0307,","35.6","6,0629,","","","","","","","652.4",",6","","","","","28.44","6","","","",""
"USC00517421","1926","19.1987","-155.4778","256.0","PAHALA 21, HI US","1687.8","","1687.8","6","105","6","61","6","","","","","0","6","0","6","0","6","365","6","8","6","13.3","6,0302,+","","","","","105.7",",6,0821,","33.3","6,0813,+","","","0.0","","0.0","6","904.9",",6","","","22.95","6","28.70","6","17.19","6","",""
"USC00517421","1927","19.1987","-155.4778","256.0","PAHALA 21, HI US","1583.1","","1583.1","6","104","6","71","6","","","","","0","6","0","6","0","6","365","6","4","6","12.2","6,0214,","","","","","129.0",",6,1226,","34.4","6,0216,","","","0.0","","0.0","6","1800.7",",6","","","22.67","6","27.99","6","17.34","6","",""
"USC00517421","1928","19.1987","-155.4778","256.0","PAHALA 21, HI US","1424.7","","1424.7","6","67","6","44","6","","","","","0","6","0","6","0","6","366","6","4","6","11.7","6,0227,","","","","","57.2",",6,0630,","33.3","6,0911,","","","0.0","","0.0","6","496.6",",6","","","22.22","6","27.59","6","16.84","6","",""
"USC00517421","1929","19.1987","-155.4778","256.0","PAHALA 21, HI US","1364.3","","1364.3","6","113","6","78","6","","","","","0","6","0","6","0","6","365","6","0","6","12.2","6,0109,","","","","","190.5",",6,1124,","31.7","6,0825,","","","0.0","","0.0","6","1260.7",",6","","","22.06","6","26.88","6","17.23","6","",""
"USC00517421","1930","19.1987","-155.4778","256.0","PAHALA 21, HI US","1504.8","","1504.8","6","126","6","73","6","","","","","0","6","0","6","0","6","365","6","0","6","11.1","6,0315,","","","","","74.9",",6,0811,","31.7","6,0721,","","","1.2","","1.2","6","1001.3",",6","","","22.48","6","27.26","6","17.69","6","",""
"USC00517421","1931","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.9","","32.9","6","","","","","","","","","","","",""
"USC00517421","1934","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","144","6","85","6","","","","","","","","","","","","","","","","","","","","","82.8",",6,1104,","","","","","","","","","979.0",",6","","","","","","","","","",""
"USC00517421","1935","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","147","6","89","6","","","","","","","","","","","","","","","","","","","","","111.3",",6,0905,","","","","","","","","","1362.4",",6","","","","","","","","","",""
"USC00517421","1936","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","117","6","71","6","","","","","","","","","","","","","","","","","","","","","76.7",",6,0804,","","","","","","","","","1052.8",",6","","","","","","","","","",""
"USC00517421","1937","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","124","6","79","6","","","","","","","","","","","","","","","","","","","","","162.1",",6,0131,","","","","","","","","","1500.7",",6","","","","","","","","","",""
"USC00517421","1938","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","131","6","67","6","","","","","","","","","","","","","","","","","","","","","160.0",",6,0128,","","","","","","","","","1273.4",",6","","","","","","","","","",""
"USC00517421","1939","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","","","","","","","0","6","","","","","","","","","","","","","","","0",",6,1231,+","","","","","","","","","","","","","0",",6","","","","","","","",""
"USC00517421","1940","19.1987","-155.4778","256.0","PAHALA 21, HI US","1457.2","","1457.2","6","136","6","81","6","","","0","6","0","6","0","6","0","6","362","6","1","6","12.8","6,1227,","","","0",",6,1231,+","94.0",",6,0219,","32.2","6,0824,","14936.0","6","0.5","","0.5","6","1159.5",",6","0",",6","22.37","6","27.17","6","17.57","6","19727","6"
"USC00517421","1941","19.1987","-155.4778","256.0","PAHALA 21, HI US","1381.8","","1381.8","6","115","6","64","6","","","","","0","6","0","6","0","6","363","6","1","6","12.2","6,1203,+","","","","","137.4",",6,0907,","32.2","6,0905,","16516.1","6","0.0","","0.0","6","887.7",",6","","","22.20","6","27.00","6","17.40","6","23728","6"
"USC00517421","1942","19.1987","-155.4778","256.0","PAHALA 21, HI US","1398.7","","1398.7","6","130","6","56","6","","","0","6","0","6","0","6","0","6","351","6","0","6","12.2","6,0306,","","","0",",6,1231,+","48.8",",6,1030,","31.7","6,0907,","16361.1","6","5.3","","5.3","6","633.4",",6","0",",6","22.37","6","27.37","6","17.37","6","21061","6"
"USC00517421","1943","19.1987","-155.4778","256.0","PAHALA 21, HI US","1247.2","","1247.2","6","116","6","60","6","","","","","0","6","0","6","0","6","356","6","2","6","11.7","6,0215,+","","","","","188.5",",6,0103,","32.2","6,0820,+","","","4.0","","4.0","6","1147.8",",6","","","21.86","6","26.73","6","17.00","6","20807","6"
"USC00517421","1944","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","118","6","53","6","","","","","0","6","0","6","0","6","358","6","0","6","13.3","6,1217,+","","","","","157.5",",6,1227,","31.7","6,0324,","16177.9","6","","","","","935.6",",6","","","21.80","6","26.48","6","17.12","6","22907","6"
"USC00517421","1945","19.1987","-155.4778","256.0","PAHALA 21, HI US","1246.2","","1246.2","6","127","6","70","6","","","","","0","6","0","6","0","6","360","6","0","6","12.2","6,0123,","","","","","267.2",",6,0408,","31.7","6,0823,","","","0.0","","0.0","6","1418.9",",6","","","21.86","6","26.44","6","17.29","6","",""
"USC00517421","1946","19.1987","-155.4778","256.0","PAHALA 21, HI US","1310.9","","1310.9","6","127","6","77","6","","","","","0","6","0","6","0","6","363","6","0","6","12.8","6,0120,","","","","","318.5",",6,0201,","30.6","6,0727,+","","","0.0","","0.0","6","1980.6",",6","","","21.93","6","26.66","6","17.19","6","",""
"USC00517421","1947","19.1987","-155.4778","256.0","PAHALA 21, HI US","1197.1","","1197.1","6","125","6","69","6","","","","","0","6","0","6","0","6","363","6","0","6","12.8","6,1225,+","","","","","73.7",",6,0903,","30.6","6,0202,","","","2.1","","2.1","6","746.2",",6","","","21.63","6","26.37","6","16.88","6","",""
"USC00517421","1948","19.1987","-155.4778","256.0","PAHALA 21, HI US","1251.9","","1251.9","6","134","6","68","6","","","","","0","6","0","6","0","6","366","6","0","6","12.2","6,0217,","","","","","151.4",",6,1201,","30.6","6,1102,+","","","0.0","","0.0","6","1133.4",",6","","","21.76","6","26.56","6","16.97","6","",""
"USC00517421","1949","19.1987","-155.4778","256.0","PAHALA 21, HI US","1033.8","","1033.8","0","114","0","63","0","","","","","0","0","0","0","0","0","361","0","0","0","10.6","0,1227,","","","","","188.7",",0,0115,","30.0","0,1125,+","","","3.5","","3.5","0","1514.6",",0","","","21.15","0","26.09","0","16.22","0","",""
"USC00517421","1950","19.1987","-155.4778","256.0","PAHALA 21, HI US","1314.3","","1314.3","0","131","0","73","0","0","","0","0","0","0","0","0","0","0","362","0","0","0","12.2","0,1217,","0",",0,1231,+","0",",0,1231,+","122.4",",0,1116,","31.7","0,0829,","","","0.5","","0.5","0","1438.4",",0","0",",0","21.95","0","26.86","0","17.03","0","",""
"USC00517421","1952","19.1987","-155.4778","256.0","PAHALA 21, HI US","1183.0","","1183.0","0","92","0","51","0","0","","0","0","0","0","0","0","0","0","362","0","0","0","12.2","0,0406,","0",",0,1231,+","0",",0,1231,+","94.7",",0,1121,","31.7","0,1111,","","","","","","","840.3",",0","0",",0","21.61","0","26.49","0","16.72","0","",""
"USC00517421","1953","19.1987","-155.4778","256.0","PAHALA 21, HI US","1242.6","","1242.6","0","87","0","47","0","0","","0","0","0","0","0","0","0","0","362","0","0","0","12.2","0,1227,","0",",0,1231,+","0",",0,1231,+","102.4",",0,0310,","31.7","0,0825,","","","0.0","","0.0","0","775.1",",0","0",",0","21.76","0","26.86","0","16.66","0","",""
"USC00517421","1954","19.1987","-155.4778","256.0","PAHALA 21, HI US","1355.8","","1355.8","0","98","0","52","0","0","","0","0","0","0","0","0","0","0","361","0","1","0","12.8","0,1219,+","0",",0,1231,+","0",",0,1231,+","175.3",",0,1128,","32.8","0,0804,","","","1.0","","1.0","0","1131.3",",0","0",",0","22.09","0","27.12","0","17.05","0","",""
"USC00517421","1955","19.1987","-155.4778","256.0","PAHALA 21, HI US","951.3","","951.3","0","133","0","70","0","0","","0","0","0","0","0","0","0","0","350","0","0","0","11.7","0,0403,+","0",",0,1231,+","0",",0,1231,+","189.5",",0,0225,","31.1","0,0713,","","","5.0","","5.0","0","1537.2",",0","0",",0","21.01","0","25.71","0","16.31","0","",""
"USC00517421","1956","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","161","0","92","0","0","","0","0","0","0","0","0","0","0","355","0","0","0","8.9","0,1225,","0",",0,1231,+","0",",0,1231,+","301.8",",0,1119,","31.1","0,0818,+","","","","","","","1712.5",",0","0",",0","21.56","0","26.46","0","16.66","0","",""
"USC00517421","1957","19.1987","-155.4778","256.0","PAHALA 21, HI US","1258.0","","1258.0","0","127","0","69","0","0","","0","0","0","0","0","0","0","0","360","0","2","0","11.7","0,0308,+","0",",0,1231,+","0",",0,1231,+","114.8",",0,0120,","33.3","0,0824,","","","4.5","","4.5","0","1180.4",",0","0",",0","21.78","0","26.61","0","16.95","0","",""
"USC00517421","1958","19.1987","-155.4778","256.0","PAHALA 21, HI US","1307.9","","1307.9","0","114","0","57","0","0","","0","0","0","0","0","0","0","0","364","0","3","0","11.1","0,0409,+","0",",0,1231,+","0",",0,1231,+","288.8",",0,0808,","32.8","0,0704,","","","2.8","","2.8","0","1022.4",",0","0",",0","21.91","0","27.01","0","16.81","0","",""
"USC00517421","1959","19.1987","-155.4778","256.0","PAHALA 21, HI US","1481.0","","1481.0","0","105","0","60","0","0","","0","0","0","0","0","0","0","0","365","0","3","0","12.2","0,0404,","0",",0,1231,+","0",",0,1231,+","168.4",",0,1102,","33.3","0,0805,","","","0.8","","0.8","0","1486.2",",0","0",",0","22.38","0","27.13","0","17.63","0","",""
"USC00517421","1960","19.1987","-155.4778","256.0","PAHALA 21, HI US","1362.7","","1362.7","0","117","0","60","0","0","","0","0","0","0","0","0","0","0","366","0","2","0","12.8","0,0224,+","0",",0,1231,+","0",",0,1231,+","68.6",",0,0116,","33.3","0,0723,","","","1.7","","1.7","0","721.4",",0","0",",0","22.06","0","26.97","0","17.15","0","",""
"USC00517421","1961","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","127","0","65","0","0","","0","0","0","0","0","0","","","","","","","12.2","0,0125,","0",",0,1231,+","0",",0,1231,+","152.4",",0,1029,","","","","","0.0","","0.0","0","1044.7",",0","0",",0","","","","","17.52","0","",""
"USC00517421","1962","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","132","0","73","0","0","","0","0","","","","","0","0","365","0","0","0","","","0",",0,1231,+","0",",0,1231,+","159.0",",0,0316,","30.6","0,0902,","","","","","","","1075.8",",0","0",",0","","","25.93","0","","","",""
"USC00517421","1963","19.1987","-155.4778","256.0","PAHALA 21, HI US","1340.2","","1340.2","0","148","0","82","0","0","","0","0","0","0","0","0","0","0","365","0","1","0","13.9","0,0215,","0",",0,1231,+","0",",0,1231,+","144.5",",0,0416,","33.9","0,0131,","","","","","","","1404.6",",0","0",",0","22.06","0","26.55","0","17.56","0","",""
"USC00517421","1964","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","0.0","0","","","","","","","","","","","",""
"USC00517421","1965","19.1987","-155.4778","256.0","PAHALA 21, HI US","1100.7","","1100.7","0","170","0","95","0","0","","0","0","0","0","0","0","0","0","362","0","0","0","12.8","0,0302,+","0",",0,1231,+","0",",0,1231,+","128.3",",0,0504,","30.0","0,0907,+","","","","","","","1754.7",",0","0",",0","21.32","0","25.75","0","16.89","0","",""
"USC00517421","1966","19.1987","-155.4778","256.0","PAHALA 21, HI US","1203.2","","1203.2","0","132","0","75","0","0","","0","0","0","0","0","0","0","0","365","0","0","0","11.1","0,0702,","0",",0,1231,+","0",",0,1231,+","120.9",",0,1105,","30.6","0,0911,+","","","0.9","","0.9","0","1375.3",",0","0",",0","21.65","0","26.37","0","16.94","0","",""
"USC00517421","1967","19.1987","-155.4778","256.0","PAHALA 21, HI US","1286.6","","1286.6","0","171","0","97","0","0","","0","0","0","0","0","0","0","0","364","0","0","0","11.7","0,0221,","0",",0,1231,+","0",",0,1231,+","212.1",",0,1126,","31.1","0,1026,","","","0.2","","0.2","0","1845.3",",0","0",",0","21.85","0","26.59","0","17.11","0","",""
"USC00517421","1968","19.1987","-155.4778","256.0","PAHALA 21, HI US","1481.4","","1481.4","0","146","0","81","0","0","","0","0","0","0","0","0","0","0","365","0","0","0","13.3","0,0505,+","0",",0,1231,+","0",",0,1231,+","198.1",",0,0128,","30.6","0,0915,","","","0.0","","0.0","0","2189.3",",0","0",",0","22.38","0","27.00","0","17.76","0","",""
"USC00517421","1969","19.1987","-155.4778","256.0","PAHALA 21, HI US","1234.5","","1234.5","0","138","0","73","0","0","","0","0","0","0","0","0","0","0","365","0","0","0","12.2","0,0227,+","0",",0,1231,+","0",",0,1231,+","159.5",",0,0106,","31.1","0,0714,","","","0.8","","0.8","0","1020.0",",0","0",",0","21.71","0","26.43","0","16.99","0","",""
"USC00517421","1970","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","2.8","","2.8","","932.0",",","0",",0","","","","","","","",""
"USC00517421","1971","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","","","0",",0","","","","","","","",""
"USC00517421","1972","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","1314.5",",","0",",0","","","","","","","",""
"USC00517421","1973","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","88","0","45","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","152.4",",0,1202,","","","","","","","","","1002.4",",0","0",",0","","","","","","","",""
"USC00517421","1974","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","137","0","69","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","107.4",",0,1119,","","","","","","","","","1113.2",",0","0",",0","","","","","","","",""
"USC00517421","1975","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","1349.7",",0","0",",0","","","","","","","",""
"USC00517421","1976","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","1291.8",",0","0",",0","","","","","","","",""
"USC00517421","1977","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","751.3",",0","0",",0","","","","","","","",""
"USC00517421","1978","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","1213.7",",0","0",",0","","","","","","","",""
"USC00517421","1979","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","2057.3",",0","0",",0","","","","","","","",""
"USC00517421","1980","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","105","0","58","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","381.0",",0,0318,","","","","","","","","","1284.6",",0","0",",0","","","","","","","",""
"USC00517421","1981","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","118","0","63","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","302.3",",0,1226,","","","","","","","","","1230.6",",0","0",",0","","","","","","","",""
"USC00517421","1982","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","158","0","89","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","226.1",",0,0122,","","","","","","","","","1835.7",",0","0",",0","","","","","","","",""
"USC00517421","1983","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","103","0","48","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","90.9",",0,1226,","","","","","","","","","560.1",",0","0",",0","","","","","","","",""
"USC00517421","1984","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","125","0","65","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","64.5",",0,1225,","","","","","","","","","828.1",",0","0",",0","","","","","","","",""
"USC00517421","2005","19.1987","-155.4778","256.0","PAHALA 21, HI US","","","","","95","H","39","H","","","","","","","","","","","","","","","","","","","","","143.5",",H,0203,","","","","","","","","","750.0",",H","","","","","","","","","",""
