"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00519738","1906","21.386","-158.007","15.2","WAIPAHU 750, HI US","","","","","77","6","37","6","","","","","","","","","","","","","","","","","","","","","80.0",",6,1129,","","","","","","","519.9",",6","","","","","","","",""
"USC00519738","1907","21.386","-158.007","15.2","WAIPAHU 750, HI US","1978.1","","1978.1","6","107","6","55","6","","","","","0","6","0","6","0","6","354","6","8","6","13.3","6,0312,","","","","","78.7",",6,1222,","32.2","6,0913,+","","","","","731.5",",6","","","23.95","6","28.62","6","19.28","6"
"USC00519738","1908","21.386","-158.007","15.2","WAIPAHU 750, HI US","","","","","","","","","","","","","0","6","0","6","0","6","353","6","0","6","12.8","6,0109,","","","","","","","31.7","6,0727,+","","","","","","","","","23.44","6","28.20","6","18.69","6"
"USC00519738","1909","21.386","-158.007","15.2","WAIPAHU 750, HI US","1720.8","","1720.8","6","90","6","31","6","","","","","0","6","0","6","0","6","352","6","0","6","11.1","6,0106,","","","","","43.9",",6,0112,","31.7","6,0815,+","0.6","","0.6","6","361.2",",6","","","23.29","6","28.17","6","18.41","6"
"USC00519738","1910","21.386","-158.007","15.2","WAIPAHU 750, HI US","1599.3","","1599.3","6","80","6","38","6","","","","","0","6","0","6","0","6","354","6","0","6","12.2","6,1213,+","","","","","36.8",",6,1102,","31.1","6,0922,+","0.5","","0.5","6","423.1",",6","","","22.84","6","27.56","6","18.11","6"
"USC00519738","1911","21.386","-158.007","15.2","WAIPAHU 750, HI US","","","","","74","6","43","6","","","","","0","6","0","6","0","6","357","6","1","6","11.1","6,0401,","","","","","53.3",",6,0224,","32.2","6,0903,","","","","","518.9",",6","","","23.04","6","27.67","6","18.41","6"
"USC00519738","1912","21.386","-158.007","15.2","WAIPAHU 750, HI US","1706.1","","1706.1","6","64","6","22","6","","","","","0","6","0","6","0","6","364","6","1","6","12.2","6,0206,+","","","","","41.9",",6,1204,","32.8","6,0803,","0.3","","0.3","6","320.9",",6","","","23.03","6","27.59","6","18.48","6"
"USC00519738","1913","21.386","-158.007","15.2","WAIPAHU 750, HI US","","","","","88","6","46","6","","","","","0","6","0","6","0","6","357","6","2","6","12.2","6,0203,+","","","","","84.1",",6,0516,","32.2","6,0906,+","","","","","598.2",",6","","","23.32","6","28.18","6","18.45","6"
"USC00519738","1914","21.386","-158.007","15.2","WAIPAHU 750, HI US","1740.1","","1740.1","6","110","6","48","6","","","","","0","6","0","6","0","6","361","6","1","6","11.7","6,0408,","","","","","81.5",",6,0329,","32.2","6,0901,","","","","","518.5",",6","","","23.13","6","27.77","6","18.50","6"
"USC00519738","1915","21.386","-158.007","15.2","WAIPAHU 750, HI US","1805.6","","1805.6","6","113","6","37","6","","","","","0","6","0","6","0","6","362","6","1","6","10.6","6,0125,","","","","","114.0",",6,1110,","32.2","6,0827,","1.7","","1.7","6","717.7",",6","","","23.34","6","28.07","6","18.61","6"
