"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000AFAI","1998","64.8367","-147.615","138.4","FAIRBANKS ALASKA, AK US","15.9","","15.9","U","122","U","256","U","133","U","60","U","2","U","-47.2","U,0104,","32.8","U,0705,","-0.6","U,0807","-3.3","U,0828","-5.0","U,0830","-8.3","U,0929","-10.6","U,1001","0.0","U,0725","-2.2","U,0524","-5.0","U,0517","-6.7","U,0513","-12.2","U,0426","7395.0","","7395.0","U","-2.52","U","4.92","U","-9.97","U"
"USR0000AFAI","1999","64.8367","-147.615","138.4","FAIRBANKS ALASKA, AK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7960.8","","7960.8","U","","","","","",""
"USR0000AFAI","2002","64.8367","-147.615","138.4","FAIRBANKS ALASKA, AK US","12.7","","12.7","U","110","U","257","U","126","U","73","U","3","U","-43.9","U,0126,","36.1","U,0723,","-1.1","U,0814","-2.2","U,0820","-5.0","U,0910","-6.7","U,1004","-11.1","U,1005","-0.6","U,0730","-3.3","U,0622","-5.6","U,0512","-8.9","U,0504","-8.9","U,0504","7813.7","","7813.7","U","-1.38","U","6.25","U","-9.01","U"
"USR0000AFAI","2004","64.8367","-147.615","138.4","FAIRBANKS ALASKA, AK US","","","","","126","U","245","U","143","U","87","U","8","U","-46.7","U,0118,","34.4","U,0620,+","-2.2","U,0825","-2.2","U,0825","-4.4","U,0903","-7.8","U,0905","-10.0","U,0906","0.0","U,0519","-2.8","U,0508","-6.1","U,0426","-6.7","U,0415","-8.9","U,0414","","","","","-2.40","U","5.33","U","-10.12","U"
"USR0000AFAI","2005","64.8367","-147.615","138.4","FAIRBANKS ALASKA, AK US","8.4","","8.4","U","106","U","241","U","135","U","94","U","0","U","-47.8","U,0112,","31.7","U,0813,+","0.0","U,0801","-2.2","U,0818","-4.4","U,0819","-7.2","U,0902","-12.2","U,1011","-1.7","U,0731","-2.8","U,0507","-10.0","U,0421","-10.0","U,0421","-10.0","U,0421","6922.2","","6922.2","U","-2.06","U","5.66","U","-9.78","U"
"USR0000AFAI","2008","64.8367","-147.615","138.4","FAIRBANKS ALASKA, AK US","6.4","","6.4","U","140","U","270","U","155","U","67","U","2","U","-46.1","U,0210,+","32.8","U,0704,","0.0","U,0803","-2.8","U,0825","-5.0","U,0921","-7.2","U,0923","-10.0","U,0929","0.0","U,0614","-3.3","U,0531","-4.4","U,0528","-6.7","U,0501","-10.0","U,0419","7424.4","","7424.4","U","-4.28","U","3.23","U","-11.79","U"
"USR0000AFAI","2009","64.8367","-147.615","138.4","FAIRBANKS ALASKA, AK US","14.8","","14.8","U","133","U","257","U","147","U","85","U","3","U","-46.7","U,0104,","35.6","U,0708,","-1.7","U,0802","-2.8","U,0811","-5.0","U,0820","-7.8","U,0923","-9.4","U,0924","0.0","U,0716","-3.3","U,0519","-4.4","U,0517","-8.9","U,0422","-8.9","U,0422","8047.7","","8047.7","U","-3.72","U","4.05","U","-11.49","U"
"USR0000AFAI","2010","64.8367","-147.615","138.4","FAIRBANKS ALASKA, AK US","32.5","","32.5","U","115","U","244","U","137","U","113","U","9","U","-43.3","U,0112,","37.8","U,0815,","-1.1","U,0821","-3.3","U,0822","-4.4","U,0918","-6.7","U,0923","-10.0","U,0925","0.0","U,0521","-3.3","U,0517","-5.0","U,0509","-9.4","U,0425","-9.4","U,0425","7487.3","","7487.3","U","-2.63","U","5.09","U","-10.36","U"
"USR0000AFAI","2011","64.8367","-147.615","138.4","FAIRBANKS ALASKA, AK US","9.1","","9.1","U","126","U","244","U","140","U","88","U","3","U","-42.2","U,0215,+","33.9","U,0528,","-0.6","U,0808","-3.3","U,0909","-5.0","U,0925","-7.2","U,0926","-10.0","U,1005","-0.6","U,0610","-3.3","U,0515","-5.0","U,0512","-7.2","U,0510","-9.4","U,0508","7487.9","","7487.9","U","-3.03","U","4.89","U","-10.95","U"
"USR0000AFAI","2012","64.8367","-147.615","138.4","FAIRBANKS ALASKA, AK US","9.2","","9.2","U","136","U","252","U","160","U","73","U","1","U","-48.9","U,0129,","32.2","U,0623,","-0.6","U,0806","-3.3","U,0822","-6.1","U,0908","-6.7","U,0910","-10.6","U,1001","0.0","U,0731","-2.2","U,0521","-6.1","U,0516","-11.7","U,0503","-11.7","U,0503","7651.2","","7651.2","U","-4.83","U","2.49","U","-12.16","U"
