"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000AGUT","1987","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","539.1","","539.1","U","0","U","63","U","10","U","167","U","3","U","-10.0","U,1227,+","32.8","U,0723,+","-1.1","U,1115","-8.3","U,1213","-8.3","U,1213","-8.3","U,1213","-9.4","U,1214","-6.7","U,0330","-6.7","U,0330","-6.7","U,0330","-6.7","U,0330","-10.0","U,0118","2320.7","","2320.7","U","13.71","U","18.28","U","9.13","U"
"USR0000AGUT","1988","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","","","","","0","U","58","U","7","U","172","U","6","U","-8.3","U,1227,+","33.3","U,0724,+","-1.1","U,1114","-2.2","U,1118","-4.4","U,1208","-6.7","U,1226","","","0.0","U,0502","-2.2","U,0318","-5.0","U,0206","-6.7","U,0122","","","2065.7","","2065.7","U","14.09","U","18.85","U","9.34","U"
"USR0000AGUT","1989","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","730.4","","730.4","U","0","U","39","U","2","U","183","U","17","U","-8.3","U,0207,","36.7","U,0704,","-0.6","U,1102","-3.3","U,1129","-6.7","U,1212","-6.7","U,1212","","","-1.1","U,0306","-3.9","U,0305","-6.1","U,0304","-8.3","U,0207","","","","","","","15.33","U","20.05","U","10.61","U"
"USR0000AGUT","1990","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","529.4","","529.4","U","0","U","60","U","8","U","169","U","17","U","-12.8","U,1223,","36.7","U,0626,","0.0","U,1104","-2.2","U,1126","-4.4","U,1217","-11.7","U,1222","-11.7","U,1222","0.0","U,0330","-6.7","U,0314","-6.7","U,0314","-6.7","U,0314","-9.4","U,0216","2024.2","","2024.2","U","13.94","U","18.56","U","9.31","U"
"USR0000AGUT","1991","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","537.0","","537.0","U","0","U","59","U","3","U","168","U","4","U","-6.7","U,1202,","33.9","U,0701,","-1.7","U,1030","-3.9","U,1031","-4.4","U,1130","-6.7","U,1202","","","0.0","U,0412","-4.4","U,0328","-4.4","U,0328","","","","","2151.6","","2151.6","U","13.69","U","18.33","U","9.05","U"
"USR0000AGUT","1992","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","576.9","","576.9","U","0","U","66","U","6","U","170","U","4","U","-12.2","U,0122,","33.9","U,0705,","-2.8","U,1104","-2.8","U,1104","-5.0","U,1126","","","","","-0.6","U,0310","-2.8","U,0207","-4.4","U,0130","-8.9","U,0126","-8.9","U,0126","2308.6","","2308.6","U","13.59","U","18.16","U","9.03","U"
"USR0000AGUT","1994","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","771.6","","771.6","U","0","U","45","U","0","U","165","U","27","U","-7.2","U,1120,+","37.2","U,0627,+","0.0","U,1018","-3.3","U,1104","-6.7","U,1119","-6.7","U,1119","","","-1.7","U,0425","-5.0","U,0223","-5.0","U,0223","-7.2","U,0201","","","1992.1","","1992.1","U","14.78","U","19.55","U","10.01","U"
"USR0000AGUT","1995","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","687.5","","687.5","U","0","U","33","U","3","U","171","U","30","U","-5.6","U,0118,","38.3","U,0728,+","-2.8","U,1216","-2.8","U,1216","","","","","","","-1.7","U,0507","-2.2","U,0419","-5.6","U,0118","","","","","2057.6","","2057.6","U","15.12","U","19.80","U","10.45","U"
"USR0000AGUT","1996","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","712.5","","712.5","U","0","U","32","U","0","U","178","U","25","U","-10.0","U,1218,","35.0","U,0720,","0.0","U,1021","-3.9","U,1129","-5.0","U,1130","-6.7","U,1217","-10.0","U,1218","-2.2","U,0406","-2.2","U,0406","-5.0","U,0227","","","","","1582.6","","1582.6","U","15.29","U","20.23","U","10.35","U"
"USR0000AGUT","1997","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","685.8","","685.8","U","0","U","58","U","7","U","171","U","17","U","-8.9","U,0107,","35.6","U,0702,","-1.1","U,1024","-3.3","U,1209","-5.0","U,1210","-7.2","U,1226","","","0.0","U,0411","-3.3","U,0404","-4.4","U,0301","-7.8","U,0113","-8.9","U,0107","1974.7","","1974.7","U","14.38","U","19.23","U","9.53","U"
"USR0000AGUT","1998","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","673.9","","673.9","U","0","U","54","U","2","U","171","U","14","U","-6.7","U,1207,","36.1","U,0715,","0.0","U,1109","-6.1","U,1206","-6.1","U,1206","-6.7","U,1207","","","0.0","U,0417","-2.8","U,0402","","","","","","","2298.5","","2298.5","U","14.27","U","19.26","U","9.27","U"
"USR0000AGUT","1999","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","536.7","","536.7","U","0","U","43","U","0","U","193","U","5","U","-7.2","U,0211,","33.9","U,0701,","-1.1","U,1017","","","","","","","","","-0.6","U,0410","-5.0","U,0405","-5.0","U,0405","-7.2","U,0211","","","1742.9","","1742.9","U","15.16","U","20.45","U","9.88","U"
"USR0000AGUT","2000","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","843.9","","843.9","U","0","U","40","U","0","U","181","U","35","U","-5.6","U,0103,","35.6","U,0804,","0.0","U,1009","-3.9","U,1107","-4.4","U,1108","","","","","-1.1","U,0322","-5.0","U,0321","-5.0","U,0321","","","","","1571.8","","1571.8","U","15.39","U","20.57","U","10.22","U"
"USR0000AGUT","2001","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","743.1","","743.1","U","0","U","64","U","4","U","192","U","20","U","-6.7","U,1213,+","35.6","U,0702,","0.0","U,1126","-2.8","U,1127","-6.1","U,1128","-6.7","U,1213","","","-2.2","U,0422","-2.2","U,0422","-6.7","U,0209","-6.7","U,0209","","","2204.6","","2204.6","U","14.91","U","20.08","U","9.74","U"
"USR0000AGUT","2002","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","809.0","","809.0","U","0","U","46","U","2","U","190","U","41","U","-7.8","U,0131,","36.1","U,0531,","0.0","U,1116","-2.2","U,1218","-4.4","U,1225","","","","","-0.6","U,0317","-2.8","U,0304","-6.1","U,0303","-7.8","U,0131","","","1771.3","","1771.3","U","15.41","U","20.77","U","10.06","U"
"USR0000AGUT","2003","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","928.8","","928.8","U","0","U","42","U","1","U","189","U","42","U","-9.4","U,1228,","37.8","U,0715,","0.0","U,1122","-4.4","U,1123","-4.4","U,1123","-9.4","U,1228","-9.4","U,1228","-0.6","U,0415","-2.8","U,0329","","","","","","","1908.3","","1908.3","U","15.90","U","21.24","U","10.55","U"
"USR0000AGUT","2004","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","589.5","","589.5","U","0","U","53","U","0","U","176","U","13","U","-8.3","U,1224,","33.3","U,0718,+","-0.6","U,1101","-3.3","U,1128","-6.7","U,1129","-6.7","U,1129","","","0.0","U,0306","-2.8","U,0229","-6.7","U,0213","-6.7","U,0213","","","1899.5","","1899.5","U","14.12","U","19.22","U","9.03","U"
"USR0000AGUT","2005","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","770.8","","770.8","U","0","U","27","U","0","U","179","U","37","U","-5.0","U,1208,+","35.6","U,0720,+","-3.3","U,1127","-3.3","U,1127","-5.0","U,1128","","","","","-0.6","U,0401","-3.9","U,0316","","","","","","","2138.9","","2138.9","U","15.34","U","20.48","U","10.19","U"
"USR0000AGUT","2006","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","674.0","","674.0","U","0","U","37","U","0","U","177","U","32","U","-10.0","U,1130,","35.6","U,0718,+","-8.3","U,1129","-8.3","U,1129","-8.3","U,1129","-8.3","U,1129","-10.0","U,1130","0.0","U,0406","-2.8","U,0320","-4.4","U,0313","","","","","1607.9","","1607.9","U","15.38","U","20.70","U","10.05","U"
"USR0000AGUT","2007","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","722.4","","722.4","U","0","U","54","U","4","U","197","U","24","U","-8.9","U,0114,","35.6","U,0703,+","-0.6","U,1123","-2.8","U,1125","-5.0","U,1215","","","","","-1.1","U,0413","-2.2","U,0304","-5.0","U,0303","-6.7","U,0117","-8.9","U,0114","1845.8","","1845.8","U","15.35","U","20.46","U","10.23","U"
"USR0000AGUT","2008","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","606.7","","606.7","U","0","U","47","U","1","U","182","U","19","U","-8.9","U,1227,","34.4","U,0620,+","-1.7","U,1121","-3.3","U,1210","-6.7","U,1226","-6.7","U,1226","-8.9","U,1227","0.0","U,0318","-3.3","U,0317","-5.6","U,0206","-7.2","U,0131","","","1889.2","","1889.2","U","14.71","U","19.89","U","9.52","U"
"USR0000AGUT","2009","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","724.0","","724.0","U","0","U","41","U","1","U","192","U","24","U","-5.6","U,1204,","36.1","U,0713,","-2.2","U,1028","-2.2","U,1028","-5.6","U,1204","","","","","0.0","U,0417","-3.3","U,0327","-4.4","U,0211","","","","","1707.4","","1707.4","U","15.36","U","20.61","U","10.11","U"
"USR0000AGUT","2010","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","709.1","","709.1","U","0","U","46","U","4","U","181","U","26","U","-10.0","U,1231,+","38.3","U,0812,","-0.6","U,1125","-2.8","U,1128","-5.0","U,1129","-10.0","U,1230","-10.0","U,1230","0.0","U,0502","-2.2","U,0311","-7.2","U,0223","-7.2","U,0223","","","2154.7","","2154.7","U","14.65","U","19.83","U","9.46","U"
"USR0000AGUT","2011","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","831.7","","831.7","U","2","U","51","U","5","U","181","U","31","U","-19.4","U,0203,","36.1","U,0628,+","-1.7","U,1105","-2.2","U,1108","-6.7","U,1205","-6.7","U,1205","-8.9","U,1206","-2.8","U,0410","-2.8","U,0410","-5.0","U,0228","-10.0","U,0204","-10.0","U,0204","1739.4","","1739.4","U","15.21","U","20.29","U","10.12","U"
"USR0000AGUT","2012","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","806.9","","806.9","U","0","U","44","U","2","U","203","U","25","U","-5.0","U,1231,+","35.6","U,0627,","-1.7","U,1110","-3.3","U,1111","-5.0","U,1219","","","","","-1.1","U,0415","-2.8","U,0414","-5.0","U,0320","","","","","1853.7","","1853.7","U","15.94","U","20.82","U","11.06","U"
"USR0000AGUT","2013","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","666.6","","666.6","U","0","U","51","U","9","U","172","U","22","U","-11.7","U,0115,","35.6","U,0630,","-1.1","U,1122","-2.8","U,1123","-5.6","U,1206","","","","","-0.6","U,0409","-3.3","U,0309","-6.1","U,0225","-6.7","U,0221","-11.7","U,0115","1834.8","","1834.8","U","14.63","U","19.41","U","9.86","U"
"USR0000AGUT","2014","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","659.1","","659.1","U","0","U","29","U","1","U","174","U","11","U","-5.6","U,1231,+","33.9","U,0725,","0.0","U,1113","-2.2","U,1117","-5.6","U,1226","","","","","-0.6","U,0403","-5.6","U,0206","-5.6","U,0206","","","","","1780.9","","1780.9","U","15.53","U","20.24","U","10.80","U"
"USR0000AGUT","2015","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","717.9","","717.9","U","0","U","35","U","2","U","160","U","20","U","-6.7","U,0103,+","35.0","U,0815,+","0.0","U,1105","-2.8","U,1116","-5.6","U,1215","","","","","-0.6","U,0305","-2.2","U,0124","-5.6","U,0123","-6.7","U,0103","","","1735.5","","1735.5","U","15.23","U","19.95","U","10.52","U"
"USR0000AGUT","2016","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","705.0","","705.0","U","0","U","38","U","4","U","182","U","23","U","-6.7","U,0203,+","37.2","U,0619,","-0.6","U,1127","-2.2","U,1129","","","","","","","-1.1","U,0308","-2.2","U,0224","-5.0","U,0204","-6.7","U,0203","","","1864.6","","1864.6","U","15.51","U","20.26","U","10.76","U"
"USR0000AGUT","2017","32.8819","-109.3092","1097.3","GUTHRIE ARIZONA, AZ US","752.3","","752.3","U","0","U","21","U","1","U","208","U","23","U","-5.6","U,1222,","37.2","U,0620,","-4.4","U,1207","-4.4","U,1207","-4.4","U,1207","","","","","-0.6","U,0331","-2.8","U,0224","-4.4","U,0127","","","","","1593.9","","1593.9","U","16.33","U","21.17","U","11.49","U"
