"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000AJES","2002","34.6578","-93.0703","274.3","JESSIEVILLE ARKANSAS, AR US","1062.9","","1062.9","U","0","U","55","U","3","U","192","U","53","U","-11.7","U,0304,","36.7","U,0708,","-2.2","U,1127","-2.2","U,1127","-6.1","U,1206","","","","","-0.6","U,0327","-3.9","U,0323","-11.7","U,0304","-11.7","U,0304","-11.7","U,0304","1664.4","","1664.4","U","16.15","U","21.51","U","10.78","U"
"USR0000AJES","2003","34.6578","-93.0703","274.3","JESSIEVILLE ARKANSAS, AR US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1872.2","","1872.2","U","","","","","",""
"USR0000AJES","2004","34.6578","-93.0703","274.3","JESSIEVILLE ARKANSAS, AR US","998.7","","998.7","U","0","U","46","U","1","U","215","U","32","U","-11.1","U,1225,","36.7","U,0714,","-0.6","U,1125","-2.2","U,1201","-4.4","U,1214","-10.6","U,1223","-10.6","U,1223","0.0","U,0218","-2.2","U,0216","-5.0","U,0213","-6.7","U,0208","","","","","","","16.78","U","22.02","U","11.53","U"
"USR0000AJES","2005","34.6578","-93.0703","274.3","JESSIEVILLE ARKANSAS, AR US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1611.7","","1611.7","U","","","","","",""
"USR0000AJES","2006","34.6578","-93.0703","274.3","JESSIEVILLE ARKANSAS, AR US","926.6","","926.6","U","0","U","86","U","1","U","227","U","82","U","-13.9","U,1208,","40.6","U,0720,","-1.7","U,1013","-2.8","U,1023","-4.4","U,1103","-7.2","U,1121","-9.4","U,1204","-1.1","U,0410","-3.3","U,0326","-5.0","U,0325","-7.2","U,0219","-10.0","U,0213","","","","","15.85","U","23.58","U","8.12","U"
"USR0000AJES","2007","34.6578","-93.0703","274.3","JESSIEVILLE ARKANSAS, AR US","956.3","","956.3","U","0","U","87","U","4","U","234","U","56","U","-13.3","U,0203,","41.7","U,0813,","-0.6","U,1029","-2.2","U,1106","-4.4","U,1107","-7.8","U,1217","","","-1.7","U,0416","-4.4","U,0408","-4.4","U,0408","-7.2","U,0305","-12.2","U,0216","1896.7","","1896.7","U","15.83","U","23.06","U","8.61","U"
"USR0000AJES","2008","34.6578","-93.0703","274.3","JESSIEVILLE ARKANSAS, AR US","834.6","","834.6","U","0","U","108","U","4","U","216","U","48","U","-12.8","U,0103,","40.6","U,0803,+","0.0","U,1025","-3.3","U,1028","-6.1","U,1116","-6.7","U,1121","-10.0","U,1222","0.0","U,0419","-2.2","U,0415","-5.0","U,0324","-6.7","U,0227","-9.4","U,0130","1924.9","","1924.9","U","14.85","U","22.03","U","7.67","U"
"USR0000AJES","2009","34.6578","-93.0703","274.3","JESSIEVILLE ARKANSAS, AR US","758.9","","758.9","U","0","U","86","U","2","U","200","U","46","U","-10.6","U,1210,+","37.8","U,0622,","-1.1","U,1018","-2.2","U,1125","-4.4","U,1127","-8.3","U,1204","-10.6","U,1205","-2.2","U,0408","-2.2","U,0408","-7.8","U,0302","-7.8","U,0302","-9.4","U,0205","1944.8","","1944.8","U","14.93","U","21.67","U","8.20","U"
"USR0000AJES","2010","34.6578","-93.0703","274.3","JESSIEVILLE ARKANSAS, AR US","1085.7","","1085.7","U","0","U","99","U","6","U","223","U","94","U","-16.1","U,0110,","40.0","U,0805,","0.0","U,1004","-3.9","U,1030","-5.6","U,1106","-7.8","U,1201","-8.9","U,1207","-1.1","U,0409","-3.3","U,0305","-7.8","U,0304","-7.8","U,0304","-8.9","U,0225","2139.8","","2139.8","U","15.46","U","22.94","U","7.98","U"
"USR0000AJES","2011","34.6578","-93.0703","274.3","JESSIEVILLE ARKANSAS, AR US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1965.0","","1965.0","U","","","","","",""
"USR0000AJES","2012","34.6578","-93.0703","274.3","JESSIEVILLE ARKANSAS, AR US","1094.6","","1094.6","U","0","U","66","U","0","U","238","U","90","U","-12.2","U,1230,","41.1","U,0731,+","-0.6","U,1027","-2.8","U,1112","-5.6","U,1210","-6.7","U,1211","-8.9","U,1212","-1.7","U,0310","-5.0","U,0304","-5.0","U,0304","-9.4","U,0212","-9.4","U,0212","","","","","17.02","U","24.56","U","9.48","U"
"USR0000AJES","2013","34.6578","-93.0703","274.3","JESSIEVILLE ARKANSAS, AR US","862.1","","862.1","U","0","U","103","U","5","U","202","U","73","U","-9.4","U,1128,","37.2","U,0908,+","-0.6","U,1020","-7.2","U,1113","-7.2","U,1113","-7.2","U,1113","-9.4","U,1128","-0.6","U,0504","-6.7","U,0327","-6.7","U,0327","-6.7","U,0327","","","1936.7","","1936.7","U","14.75","U","21.88","U","7.63","U"
"USR0000AJES","2014","34.6578","-93.0703","274.3","JESSIEVILLE ARKANSAS, AR US","752.0","","752.0","U","0","U","107","U","4","U","203","U","34","U","-17.2","U,0124,","35.0","U,0823,+","-2.2","U,1101","-2.2","U,1101","-4.4","U,1113","-7.2","U,1115","-11.7","U,1118","-1.1","U,0501","-2.2","U,0416","-4.4","U,0326","-10.6","U,0304","-10.6","U,0304","2258.8","","2258.8","U","14.17","U","21.06","U","7.27","U"
"USR0000AJES","2016","34.6578","-93.0703","274.3","JESSIEVILLE ARKANSAS, AR US","998.7","","998.7","U","0","U","78","U","1","U","232","U","82","U","-12.8","U,1219,","37.8","U,0722,","-1.1","U,1110","-3.9","U,1113","-5.6","U,1120","-9.4","U,1209","-9.4","U,1209","-0.6","U,0403","-5.6","U,0321","-5.6","U,0321","-6.7","U,0207","-9.4","U,0111","","","","","16.42","U","23.49","U","9.34","U"
"USR0000AJES","2017","34.6578","-93.0703","274.3","JESSIEVILLE ARKANSAS, AR US","867.2","","867.2","U","0","U","65","U","2","U","241","U","50","U","-12.8","U,0108,","36.7","U,0723,","-0.6","U,1025","-3.9","U,1028","-5.6","U,1029","-8.3","U,1208","-8.9","U,1209","0.0","U,0315","-3.3","U,0308","-5.0","U,0226","-7.8","U,0128","-12.8","U,0108","1444.8","","1444.8","U","16.43","U","23.42","U","9.44","U"
