"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000ANIN","2003","60.0433","-151.6655","39.6","NINILCHIK ALASKA, AK US","2.5","","2.5","U","24","U","219","U","71","U","35","U","0","U","-29.4","U,1201,","29.4","U,0714,","-1.7","U,0907","-2.2","U,0913","-6.1","U,0914","-7.2","U,0915","-8.9","U,0918","0.0","U,0607","-2.8","U,0528","-5.0","U,0519","-9.4","U,0405","-9.4","U,0405","5122.5","","5122.5","U","3.12","U","8.76","U","-2.51","U"
"USR0000ANIN","2004","60.0433","-151.6655","39.6","NINILCHIK ALASKA, AK US","2.8","","2.8","U","30","U","217","U","81","U","55","U","0","U","-32.8","U,0118,","28.9","U,0816,+","-0.6","U,0903","-2.2","U,0904","-4.4","U,0916","-7.2","U,0917","-8.9","U,1031","-0.6","U,0602","-2.2","U,0517","-4.4","U,0418","-8.3","U,0404","-23.3","U,0401","5678.6","","5678.6","U","2.91","U","8.71","U","-2.89","U"
"USR0000ANIN","2005","60.0433","-151.6655","39.6","NINILCHIK ALASKA, AK US","0.0","","0.0","U","25","U","209","U","77","U","47","U","0","U","-28.3","U,0204,","27.2","U,0709,+","-1.1","U,0827","-3.9","U,1010","-6.1","U,1011","-7.2","U,1024","-11.7","U,1026","-0.6","U,0602","-2.2","U,0510","-4.4","U,0417","-7.2","U,0416","-8.9","U,0412","5440.1","","5440.1","U","3.06","U","8.82","U","-2.70","U"
"USR0000ANIN","2006","60.0433","-151.6655","39.6","NINILCHIK ALASKA, AK US","0.0","","0.0","U","52","U","227","U","107","U","19","U","0","U","-30.0","U,0126,","27.8","U,0526,","-0.6","U,0906","-4.4","U,0930","-4.4","U,0930","-9.4","U,1027","-9.4","U,1027","-1.7","U,0607","-3.9","U,0605","-4.4","U,0508","-13.3","U,0416","-13.3","U,0416","5927.1","","5927.1","U","1.11","U","6.84","U","-4.61","U"
"USR0000ANIN","2008","60.0433","-151.6655","39.6","NINILCHIK ALASKA, AK US","0.0","","0.0","U","34","U","238","U","107","U","13","U","0","U","-30.0","U,1231,+","26.1","U,0730,","-1.1","U,0922","-2.2","U,0928","-5.0","U,1002","-7.2","U,1009","-15.6","U,1026","-0.6","U,0624","-2.2","U,0524","-5.0","U,0422","-6.7","U,0420","-11.7","U,0416","6116.7","","6116.7","U","0.69","U","5.93","U","-4.55","U"
"USR0000ANIN","2009","60.0433","-151.6655","39.6","NINILCHIK ALASKA, AK US","1.4","","1.4","U","41","U","225","U","92","U","26","U","0","U","-32.2","U,0106,","27.8","U,0707,","0.0","U,0919","-4.4","U,0923","-4.4","U,0923","-6.7","U,1029","-8.9","U,1030","-0.6","U,0625","-2.8","U,0521","-6.7","U,0421","-6.7","U,0421","-11.7","U,0406","6462.8","","6462.8","U","1.34","U","6.93","U","-4.24","U"
"USR0000ANIN","2010","60.0433","-151.6655","39.6","NINILCHIK ALASKA, AK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5692.7","","5692.7","U","","","","","",""
"USR0000ANIN","2011","60.0433","-151.6655","39.6","NINILCHIK ALASKA, AK US","0.0","","0.0","U","46","U","227","U","103","U","19","U","0","U","-28.9","U,1231,","25.6","U,0722,","-0.6","U,0923","-3.3","U,0930","-6.1","U,1010","-7.2","U,1011","-11.7","U,1102","0.0","U,0617","-2.8","U,0525","-5.6","U,0512","-7.8","U,0415","-9.4","U,0414","","","","","1.25","U","6.82","U","-4.32","U"
"USR0000ANIN","2012","60.0433","-151.6655","39.6","NINILCHIK ALASKA, AK US","0.0","","0.0","U","50","U","231","U","117","U","17","U","0","U","-29.4","U,0114,","26.7","U,0719,","-0.6","U,0828","-2.2","U,0909","-5.0","U,0929","-7.8","U,0930","-10.0","U,1018","-1.1","U,0615","-4.4","U,0518","-4.4","U,0518","-10.0","U,0502","-10.0","U,0502","6347.3","","6347.3","U","0.36","U","5.79","U","-5.08","U"
"USR0000ANIN","2013","60.0433","-151.6655","39.6","NINILCHIK ALASKA, AK US","2.8","","2.8","U","30","U","217","U","94","U","40","U","0","U","-28.3","U,0127,","28.3","U,0617,","0.0","U,0915","-3.3","U,0919","-4.4","U,0920","-7.2","U,0924","-9.4","U,1106","-1.7","U,0606","-5.0","U,0520","-5.0","U,0520","-7.2","U,0519","-12.8","U,0419","6313.6","","6313.6","U","2.13","U","7.33","U","-3.06","U"
