"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000APAR","1995","36.7278","-111.8219","2205.2","PARIA POINT ARIZONA, AZ US","401.6","","401.6","U","0","U","100","U","4","U","130","U","27","U","-9.4","U,1223,+","36.1","U,0728,","-2.2","U,1005","-2.2","U,1005","-5.6","U,1127","-7.2","U,1218","-9.4","U,1222","-2.8","U,0507","-2.8","U,0507","-4.4","U,0419","-7.2","U,0326","-8.9","U,0118","","","","","11.45","U","17.24","U","5.66","U"
"USR0000APAR","1996","36.7278","-111.8219","2205.2","PARIA POINT ARIZONA, AZ US","543.6","","543.6","U","0","U","110","U","6","U","159","U","30","U","-14.4","U,1218,","35.6","U,0723,","-0.6","U,1019","-5.0","U,1020","-5.0","U,1020","-7.8","U,1021","-8.9","U,1130","0.0","U,0526","-3.9","U,0419","-4.4","U,0413","-7.8","U,0306","-8.9","U,0229","2503.7","","2503.7","U","11.99","U","17.90","U","6.07","U"
"USR0000APAR","1997","36.7278","-111.8219","2205.2","PARIA POINT ARIZONA, AZ US","343.2","","343.2","U","0","U","136","U","14","U","143","U","6","U","-12.2","U,1225,+","36.1","U,0715,","-1.7","U,1011","-3.3","U,1012","-4.4","U,1026","-8.9","U,1209","-8.9","U,1209","-2.8","U,0502","-2.8","U,0502","-6.1","U,0413","-8.3","U,0305","-11.7","U,0301","3037.3","","3037.3","U","10.78","U","16.56","U","5.01","U"
"USR0000APAR","1998","36.7278","-111.8219","2205.2","PARIA POINT ARIZONA, AZ US","365.2","","365.2","U","0","U","131","U","10","U","127","U","15","U","-14.4","U,1223,","36.1","U,0718,","-1.1","U,1005","-2.2","U,1017","-7.8","U,1109","-7.8","U,1109","-8.9","U,1205","-1.1","U,0514","-3.9","U,0417","-5.0","U,0416","-8.3","U,0330","-8.9","U,0329","3344.8","","3344.8","U","10.19","U","15.82","U","4.56","U"
"USR0000APAR","1999","36.7278","-111.8219","2205.2","PARIA POINT ARIZONA, AZ US","270.4","","270.4","U","0","U","108","U","3","U","142","U","4","U","-14.4","U,0211,","34.4","U,0705,","-1.7","U,1016","-2.2","U,1017","-8.3","U,1122","-8.3","U,1122","-9.4","U,1123","-2.8","U,0505","-2.8","U,0505","-7.8","U,0410","-7.8","U,0410","-10.0","U,0212","3008.2","","3008.2","U","11.27","U","17.30","U","5.23","U"
"USR0000APAR","2000","36.7278","-111.8219","2205.2","PARIA POINT ARIZONA, AZ US","534.3","","534.3","U","0","U","118","U","7","U","159","U","25","U","-11.1","U,1118,+","35.6","U,0729,","-1.7","U,0924","-3.3","U,1031","-4.4","U,1106","-7.2","U,1107","-10.6","U,1112","-2.2","U,0512","-2.2","U,0512","-6.1","U,0321","-6.7","U,0320","-11.1","U,0106","2665.4","","2665.4","U","11.81","U","17.63","U","5.99","U"
"USR0000APAR","2001","36.7278","-111.8219","2205.2","PARIA POINT ARIZONA, AZ US","484.0","","484.0","U","0","U","126","U","16","U","164","U","18","U","-14.4","U,1216,+","35.6","U,0630,","0.0","U,1010","-3.9","U,1123","-4.4","U,1124","-8.9","U,1126","-8.9","U,1126","-1.7","U,0505","-2.8","U,0504","-5.6","U,0409","-7.2","U,0216","-10.6","U,0209","3088.7","","3088.7","U","11.62","U","17.60","U","5.65","U"
"USR0000APAR","2002","36.7278","-111.8219","2205.2","PARIA POINT ARIZONA, AZ US","585.6","","585.6","U","0","U","126","U","11","U","153","U","43","U","-16.1","U,0131,","37.2","U,0713,","-0.6","U,1002","-3.9","U,1103","-4.4","U,1125","-7.8","U,1218","-10.0","U,1221","-0.6","U,0421","-2.2","U,0420","-6.1","U,0319","-7.8","U,0317","-11.1","U,0315","2854.3","","2854.3","U","11.64","U","17.92","U","5.36","U"
"USR0000APAR","2003","36.7278","-111.8219","2205.2","PARIA POINT ARIZONA, AZ US","581.8","","581.8","U","0","U","112","U","7","U","158","U","34","U","-12.2","U,1228,+","39.4","U,0711,","-0.6","U,1026","-2.8","U,1104","-10.6","U,1122","-10.6","U,1122","-10.6","U,1122","-0.6","U,0510","-6.1","U,0423","-6.1","U,0423","-6.7","U,0328","-10.0","U,0208","2969.3","","2969.3","U","12.04","U","18.03","U","6.06","U"
"USR0000APAR","2004","36.7278","-111.8219","2205.2","PARIA POINT ARIZONA, AZ US","370.3","","370.3","U","0","U","125","U","10","U","152","U","10","U","-14.4","U,0105,","34.4","U,0712,","0.0","U,0922","-3.3","U,1029","-6.1","U,1101","-10.0","U,1128","-10.0","U,1128","-1.1","U,0430","-5.0","U,0305","-5.0","U,0305","-6.7","U,0229","-11.7","U,0213","2889.8","","2889.8","U","10.85","U","16.72","U","4.97","U"
