"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000AROO","1994","33.655","-111.1333","664.5","ROOSEVELT ARIZONA, AZ US","1881.9","","1881.9","U","0","U","13","U","0","U","252","U","151","U","-2.2","U,0201,","47.2","U,0629,","-1.1","U,1120","","","-1.7","U,0203","-2.2","U,0201","","","1049.1","","1049.1","U","20.50","U","28.20","U","12.79","U"
"USR0000AROO","1995","33.655","-111.1333","664.5","ROOSEVELT ARIZONA, AZ US","1763.5","","1763.5","U","0","U","1","U","0","U","280","U","143","U","0.0","U,0119,","48.9","U,0728,","","","","","0.0","U,0119","","","","","1006.6","","1006.6","U","20.83","U","28.63","U","13.02","U"
"USR0000AROO","1996","33.655","-111.1333","664.5","ROOSEVELT ARIZONA, AZ US","1969.3","","1969.3","U","0","U","13","U","0","U","288","U","159","U","-2.8","U,1220,+","45.0","U,0813,","0.0","U,1201","-2.8","U,1219","-1.7","U,0125","","","","","682.9","","682.9","U","21.50","U","29.34","U","13.65","U"
"USR0000AROO","1997","33.655","-111.1333","664.5","ROOSEVELT ARIZONA, AZ US","1972.8","","1972.8","U","0","U","15","U","0","U","271","U","162","U","-2.2","U,1226,","45.6","U,0715,","0.0","U,1210","-2.2","U,1226","-0.6","U,0207","","","","","905.4","","905.4","U","21.12","U","28.86","U","13.39","U"
"USR0000AROO","1998","33.655","-111.1333","664.5","ROOSEVELT ARIZONA, AZ US","1749.7","","1749.7","U","0","U","12","U","0","U","259","U","145","U","-1.7","U,1224,","46.7","U,0715,","0.0","U,1207","","","0.0","U,0228","","","","","1169.2","","1169.2","U","20.04","U","27.84","U","12.24","U"
"USR0000AROO","1999","33.655","-111.1333","664.5","ROOSEVELT ARIZONA, AZ US","1809.2","","1809.2","U","0","U","8","U","0","U","288","U","164","U","-1.1","U,1215,","43.3","U,0822,+","0.0","U,1204","","","0.0","U,0202","","","","","892.0","","892.0","U","20.98","U","29.29","U","12.66","U"
"USR0000AROO","2000","33.655","-111.1333","664.5","ROOSEVELT ARIZONA, AZ US","2075.3","","2075.3","U","0","U","14","U","0","U","266","U","163","U","-1.7","U,0108,","45.0","U,0724,+","0.0","U,1116","","","-0.6","U,0111","","","","","743.7","","743.7","U","21.39","U","29.29","U","13.50","U"
"USR0000AROO","2001","33.655","-111.1333","664.5","ROOSEVELT ARIZONA, AZ US","2092.9","","2092.9","U","0","U","18","U","0","U","266","U","175","U","-2.8","U,1226,","46.7","U,0702,","0.0","U,1213","-2.8","U,1226","0.0","U,0212","-2.2","U,0118","","","1168.3","","1168.3","U","21.21","U","29.38","U","13.04","U"
"USR0000AROO","2002","33.655","-111.1333","664.5","ROOSEVELT ARIZONA, AZ US","2039.0","","2039.0","U","0","U","23","U","0","U","284","U","169","U","-2.2","U,0201,","44.4","U,0626,","-0.6","U,1220","","","0.0","U,0305","-2.2","U,0201","","","884.9","","884.9","U","21.46","U","29.90","U","13.01","U"
"USR0000AROO","2003","33.655","-111.1333","664.5","ROOSEVELT ARIZONA, AZ US","2057.4","","2057.4","U","0","U","9","U","0","U","285","U","166","U","-2.8","U,1229,+","46.1","U,0810,+","0.0","U,1210","-2.8","U,1228","0.0","U,0210","","","","","865.2","","865.2","U","21.45","U","29.49","U","13.41","U"
"USR0000AROO","2004","33.655","-111.1333","664.5","ROOSEVELT ARIZONA, AZ US","1922.8","","1922.8","U","0","U","16","U","0","U","259","U","163","U","-2.2","U,0105,","45.0","U,0808,","-1.1","U,1130","","","0.0","U,0215","-2.2","U,0105","","","957.1","","957.1","U","20.92","U","28.88","U","12.95","U"
"USR0000AROO","2005","33.655","-111.1333","664.5","ROOSEVELT ARIZONA, AZ US","1851.3","","1851.3","U","0","U","9","U","0","U","267","U","154","U","-1.7","U,1206,","45.0","U,0721,","-0.6","U,1128","","","0.0","U,0115","","","","","973.3","","973.3","U","20.96","U","28.60","U","13.31","U"
"USR0000AROO","2006","33.655","-111.1333","664.5","ROOSEVELT ARIZONA, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","823.5","","823.5","U","","","","","",""
"USR0000AROO","2007","33.655","-111.1333","664.5","ROOSEVELT ARIZONA, AZ US","2177.9","","2177.9","U","0","U","15","U","0","U","279","U","169","U","-4.4","U,0115,","46.1","U,0704,","0.0","U,1215","","","0.0","U,0302","-4.4","U,0115","-4.4","U,0115","","","","","21.85","U","29.57","U","14.13","U"
"USR0000AROO","2008","33.655","-111.1333","664.5","ROOSEVELT ARIZONA, AZ US","1896.9","","1896.9","U","0","U","9","U","0","U","275","U","157","U","-1.1","U,0118,","44.4","U,0731,+","0.0","U,1226","","","0.0","U,0207","","","","","899.0","","899.0","U","21.00","U","28.65","U","13.35","U"
