"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000ASHK","2003","33.6472","-85.6344","276.8","SHOAL CREEK ALABAMA, AL US","718.8","","718.8","U","0","U","59","U","2","U","221","U","6","U","-14.4","U,0124,","33.3","U,0819,","-1.1","U,1114","-4.4","U,1125","-4.4","U,1125","-7.2","U,1221","","","0.0","U,0311","-2.2","U,0213","-4.4","U,0211","-6.7","U,0127","-14.4","U,0124","","","","","15.60","U","21.28","U","9.92","U"
"USR0000ASHK","2005","33.6472","-85.6344","276.8","SHOAL CREEK ALABAMA, AL US","871.1","","871.1","U","0","U","65","U","0","U","210","U","29","U","-10.0","U,0124,","35.0","U,0821,","-1.1","U,1027","-2.2","U,1117","-5.6","U,1118","-6.7","U,1210","","","-1.1","U,0424","-5.0","U,0302","-5.0","U,0302","-10.0","U,0124","-10.0","U,0124","1506.6","","1506.6","U","15.97","U","21.90","U","10.04","U"
"USR0000ASHK","2006","33.6472","-85.6344","276.8","SHOAL CREEK ALABAMA, AL US","","","","","0","U","51","U","","","","","","","-9.4","U,1209,+","","","-0.6","U,1021","-2.2","U,1104","-4.4","U,1204","-6.7","U,1207","-9.4","U,1208","-2.8","U,0327","-2.8","U,0327","-4.4","U,0227","","","","","","","","","","","","","9.77","U"
"USR0000ASHK","2007","33.6472","-85.6344","276.8","SHOAL CREEK ALABAMA, AL US","995.1","","995.1","U","0","U","58","U","0","U","234","U","59","U","-9.4","U,0129,","38.9","U,0822,","-2.2","U,1107","-2.2","U,1107","-5.6","U,1218","","","","","0.0","U,0410","-3.3","U,0408","-5.6","U,0219","-7.2","U,0216","-9.4","U,0129","1623.6","","1623.6","U","16.66","U","23.34","U","9.99","U"
"USR0000ASHK","2008","33.6472","-85.6344","276.8","SHOAL CREEK ALABAMA, AL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1644.4","","1644.4","U","","","","","",""
"USR0000ASHK","2009","33.6472","-85.6344","276.8","SHOAL CREEK ALABAMA, AL US","795.3","","795.3","U","0","U","66","U","3","U","209","U","26","U","-12.2","U,0116,","34.4","U,0623,","-0.6","U,1019","-3.3","U,1205","-5.6","U,1206","","","","","-2.2","U,0408","-2.2","U,0408","-6.7","U,0303","-6.7","U,0303","-10.6","U,0205","","","","","15.64","U","21.37","U","9.91","U"
"USR0000ASHK","2010","33.6472","-85.6344","276.8","SHOAL CREEK ALABAMA, AL US","1059.5","","1059.5","U","0","U","79","U","11","U","218","U","71","U","-11.1","U,1214,+","36.7","U,0804,+","-1.1","U,1106","-2.8","U,1107","-4.4","U,1208","-8.3","U,1209","-11.1","U,1214","-1.1","U,0308","-2.8","U,0307","-4.4","U,0226","-7.2","U,0114","-10.6","U,0111","1998.0","","1998.0","U","15.61","U","21.86","U","9.36","U"
"USR0000ASHK","2011","33.6472","-85.6344","276.8","SHOAL CREEK ALABAMA, AL US","963.6","","963.6","U","0","U","57","U","2","U","220","U","69","U","-10.6","U,0114,","36.1","U,0826,+","-1.7","U,1030","-2.2","U,1111","","","","","","","0.0","U,0406","-2.2","U,0213","-6.7","U,0211","-6.7","U,0211","-10.6","U,0114","1732.0","","1732.0","U","16.46","U","22.76","U","10.15","U"
"USR0000ASHK","2012","33.6472","-85.6344","276.8","SHOAL CREEK ALABAMA, AL US","897.1","","897.1","U","0","U","43","U","0","U","233","U","40","U","-8.3","U,0104,","39.4","U,0630,+","0.0","U,1015","-2.2","U,1124","-4.4","U,1125","","","","","-1.7","U,0306","-7.2","U,0213","-7.2","U,0213","-7.2","U,0213","","","1287.0","","1287.0","U","17.09","U","23.34","U","10.84","U"
"USR0000ASHK","2013","33.6472","-85.6344","276.8","SHOAL CREEK ALABAMA, AL US","737.0","","737.0","U","0","U","62","U","0","U","199","U","4","U","-7.8","U,1128,","32.8","U,0612,","-0.6","U,1025","-2.2","U,1026","-4.4","U,1113","-7.8","U,1128","","","0.0","U,0329","-2.8","U,0327","-4.4","U,0304","-7.2","U,0217","","","1714.7","","1714.7","U","15.47","U","21.00","U","9.94","U"
