"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000AUNI","1996","35.2247","-114.3747","1072.9","UNION PASS ARIZONA, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","837.6","","837.6","U","","","","","",""
"USR0000AUNI","1997","35.2247","-114.3747","1072.9","UNION PASS ARIZONA, AZ US","1527.2","","1527.2","U","0","U","9","U","0","U","222","U","98","U","-2.2","U,1225,","40.0","U,0807,","-0.6","U,1210","-2.2","U,1225","","","0.0","U,0206","","","","","","","","","","","19.25","U","23.87","U","14.64","U"
"USR0000AUNI","1998","35.2247","-114.3747","1072.9","UNION PASS ARIZONA, AZ US","1252.3","","1252.3","U","0","U","7","U","0","U","198","U","79","U","-2.8","U,1223,","42.2","U,0716,","-0.6","U,1206","-2.2","U,1221","","","0.0","U,0401","","","","","","","1459.4","","1459.4","U","17.88","U","22.60","U","13.17","U"
"USR0000AUNI","1999","35.2247","-114.3747","1072.9","UNION PASS ARIZONA, AZ US","1463.3","","1463.3","U","0","U","5","U","0","U","221","U","86","U","-1.7","U,0211,","38.3","U,0818,+","","","","","","","0.0","U,0409","","","","","","","1164.0","","1164.0","U","19.37","U","24.23","U","14.51","U"
"USR0000AUNI","2000","35.2247","-114.3747","1072.9","UNION PASS ARIZONA, AZ US","1639.9","","1639.9","U","0","U","0","U","0","U","213","U","115","U","1.1","U,1111,+","40.6","U,0805,+","","","","","","","","","","","","","","","927.7","","927.7","U","19.77","U","24.69","U","14.85","U"
"USR0000AUNI","2001","35.2247","-114.3747","1072.9","UNION PASS ARIZONA, AZ US","1731.7","","1731.7","U","0","U","13","U","0","U","232","U","121","U","-1.7","U,1216,","41.1","U,0703,","0.0","U,1212","","","","","0.0","U,0211","","","","","","","1342.0","","1342.0","U","19.51","U","24.20","U","14.82","U"
"USR0000AUNI","2002","35.2247","-114.3747","1072.9","UNION PASS ARIZONA, AZ US","1591.7","","1591.7","U","0","U","8","U","0","U","216","U","104","U","-3.3","U,0130,","40.6","U,0713,","-0.6","U,1220","","","","","-0.6","U,0302","-2.8","U,0131","","","","","1105.8","","1105.8","U","19.63","U","24.43","U","14.83","U"
"USR0000AUNI","2003","35.2247","-114.3747","1072.9","UNION PASS ARIZONA, AZ US","1680.9","","1680.9","U","0","U","5","U","0","U","220","U","112","U","-0.6","U,1228,","42.8","U,0710,","0.0","U,1123","","","","","","","","","","","","","1089.4","","1089.4","U","19.73","U","24.57","U","14.90","U"
"USR0000AUNI","2004","35.2247","-114.3747","1072.9","UNION PASS ARIZONA, AZ US","1534.4","","1534.4","U","0","U","7","U","0","U","219","U","99","U","-1.1","U,0104,","41.1","U,0809,","0.0","U,1128","","","","","0.0","U,0213","","","","","","","1176.4","","1176.4","U","18.97","U","23.82","U","14.13","U"
"USR0000AUNI","2005","35.2247","-114.3747","1072.9","UNION PASS ARIZONA, AZ US","1403.3","","1403.3","U","0","U","5","U","0","U","226","U","90","U","-0.6","U,0105,","43.9","U,0718,","0.0","U,1127","","","","","0.0","U,0107","","","","","","","1392.8","","1392.8","U","19.01","U","23.85","U","14.17","U"
