"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000BLAC","1988","38.9792","-112.2394","1975.1","BLACK CEDAR FILMORE 5 E UTAH, UT US","440.6","","440.6","U","3","U","145","U","26","U","142","U","26","U","-19.4","U,1227,","35.0","U,0722,","0.0","U,0912","-3.9","U,1114","-8.3","U,1115","-8.3","U,1115","-10.6","U,1119","0.0","U,0531","-3.9","U,0506","-7.8","U,0502","-7.8","U,0502","-10.0","U,0329","3352.0","","3352.0","U","10.16","U","16.71","U","3.61","U"
"USR0000BLAC","1989","38.9792","-112.2394","1975.1","BLACK CEDAR FILMORE 5 E UTAH, UT US","467.5","","467.5","U","4","U","134","U","23","U","148","U","23","U","-25.6","U,0207,+","37.8","U,0707,","0.0","U,1025","-6.1","U,1028","-6.1","U,1028","-6.7","U,1029","-10.0","U,1127","-0.6","U,0519","-2.2","U,0429","-5.0","U,0321","-9.4","U,0305","-9.4","U,0305","3221.1","","3221.1","U","10.67","U","17.18","U","4.16","U"
"USR0000BLAC","1990","38.9792","-112.2394","1975.1","BLACK CEDAR FILMORE 5 E UTAH, UT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3130.9","","3130.9","U","","","","","",""
"USR0000BLAC","1991","38.9792","-112.2394","1975.1","BLACK CEDAR FILMORE 5 E UTAH, UT US","326.2","","326.2","U","1","U","156","U","18","U","136","U","17","U","-17.8","U,1201,","35.0","U,0705,","-0.6","U,1023","-3.3","U,1024","-5.0","U,1027","-7.8","U,1028","-11.1","U,1030","0.0","U,0512","-5.0","U,0430","-5.0","U,0430","-6.7","U,0413","-9.4","U,0307","","","","","9.55","U","15.81","U","3.30","U"
"USR0000BLAC","1992","38.9792","-112.2394","1975.1","BLACK CEDAR FILMORE 5 E UTAH, UT US","354.9","","354.9","U","0","U","128","U","23","U","150","U","21","U","-15.6","U,1219,","35.6","U,0802,","0.0","U,1030","-5.6","U,1103","-5.6","U,1103","-7.2","U,1104","-8.9","U,1110","0.0","U,0423","-3.3","U,0319","-5.6","U,0224","-7.8","U,0203","-8.9","U,0122","3062.1","","3062.1","U","10.60","U","16.80","U","4.40","U"
"USR0000BLAC","1994","38.9792","-112.2394","1975.1","BLACK CEDAR FILMORE 5 E UTAH, UT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3258.2","","3258.2","U","","","","","",""
"USR0000BLAC","1995","38.9792","-112.2394","1975.1","BLACK CEDAR FILMORE 5 E UTAH, UT US","353.1","","353.1","U","0","U","118","U","9","U","117","U","19","U","-13.3","U,1222,","36.7","U,0728,","-0.6","U,1004","-2.8","U,1005","-5.6","U,1023","-8.9","U,1102","-8.9","U,1102","0.0","U,0608","-2.2","U,0606","-4.4","U,0411","-8.3","U,0330","-8.9","U,0328","","","","","10.45","U","16.70","U","4.20","U"
"USR0000BLAC","1996","38.9792","-112.2394","1975.1","BLACK CEDAR FILMORE 5 E UTAH, UT US","504.0","","504.0","U","0","U","132","U","14","U","147","U","28","U","-16.1","U,1218,","37.2","U,0812,","0.0","U,0916","-2.8","U,1016","-5.6","U,1017","-6.7","U,1020","-8.9","U,1021","-2.2","U,0429","-2.2","U,0429","-5.6","U,0428","-7.2","U,0326","-9.4","U,0301","3031.7","","3031.7","U","10.90","U","17.42","U","4.39","U"
"USR0000BLAC","1997","38.9792","-112.2394","1975.1","BLACK CEDAR FILMORE 5 E UTAH, UT US","341.3","","341.3","U","0","U","141","U","23","U","139","U","9","U","-15.6","U,1225,+","34.4","U,0715,","0.0","U,1008","-3.3","U,1012","-5.0","U,1025","-7.2","U,1114","-13.3","U,1210","0.0","U,0525","-3.9","U,0502","-7.2","U,0413","-7.2","U,0413","-8.9","U,0402","3315.6","","3315.6","U","9.99","U","16.23","U","3.75","U"
"USR0000BLAC","1999","38.9792","-112.2394","1975.1","BLACK CEDAR FILMORE 5 E UTAH, UT US","319.1","","319.1","U","0","U","135","U","10","U","150","U","8","U","-16.7","U,0211,","34.4","U,0706,","0.0","U,0927","-2.8","U,0928","-6.7","U,1016","-6.7","U,1016","-8.9","U,1122","-1.1","U,0516","-2.2","U,0511","-5.0","U,0505","-10.0","U,0410","-10.0","U,0410","3368.8","","3368.8","U","10.49","U","17.10","U","3.89","U"
