"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CBIG","1994","37.0203","-106.2006","2540.2","BIG HORN COLORADO, CO US","13.0","","13.0","U","11","U","203","U","32","U","98","U","0","U","-23.9","U,0201,","29.4","U,0626,","-1.7","U,0915","-2.8","U,1009","-6.7","U,1018","-6.7","U,1018","-8.9","U,1105","-1.7","U,0521","-2.2","U,0502","-5.6","U,0428","-8.9","U,0412","-8.9","U,0412","4526.0","","4526.0","U","5.60","U","12.74","U","-1.54","U"
"USR0000CBIG","1995","37.0203","-106.2006","2540.2","BIG HORN COLORADO, CO US","15.3","","15.3","U","4","U","216","U","19","U","76","U","0","U","-20.0","U,0118,","30.6","U,0728,","-1.1","U,0921","-3.3","U,0922","-6.1","U,1005","-7.2","U,1006","-11.7","U,1023","0.0","U,0611","-2.2","U,0510","-10.6","U,0424","-10.6","U,0424","-10.6","U,0424","4696.4","","4696.4","U","5.85","U","12.89","U","-1.19","U"
"USR0000CBIG","1996","37.0203","-106.2006","2540.2","BIG HORN COLORADO, CO US","16.1","","16.1","U","10","U","194","U","35","U","111","U","0","U","-27.2","U,1218,","30.6","U,0705,","-1.7","U,0918","-5.0","U,0919","-5.0","U,0919","-12.8","U,1021","-12.8","U,1021","0.0","U,0510","-2.2","U,0430","-10.6","U,0429","-10.6","U,0429","-10.6","U,0429","4286.3","","4286.3","U","6.12","U","13.28","U","-1.03","U"
"USR0000CBIG","1997","37.0203","-106.2006","2540.2","BIG HORN COLORADO, CO US","2.8","","2.8","U","7","U","208","U","42","U","87","U","0","U","-20.6","U,0305,","28.3","U,0715,+","0.0","U,0924","-2.2","U,1008","-4.4","U,1009","-9.4","U,1013","-9.4","U,1013","0.0","U,0528","-2.8","U,0527","-4.4","U,0427","-8.9","U,0414","-8.9","U,0414","4658.8","","4658.8","U","5.34","U","12.54","U","-1.87","U"
"USR0000CBIG","1998","37.0203","-106.2006","2540.2","BIG HORN COLORADO, CO US","13.9","","13.9","U","10","U","205","U","27","U","98","U","0","U","-21.7","U,0301,","30.6","U,0629,","0.0","U,1002","-5.0","U,1005","-5.0","U,1005","-7.2","U,1006","-12.8","U,1109","-0.6","U,0618","-2.2","U,0515","-4.4","U,0429","-8.9","U,0419","-8.9","U,0419","4819.1","","4819.1","U","5.73","U","12.78","U","-1.32","U"
"USR0000CBIG","1999","37.0203","-106.2006","2540.2","BIG HORN COLORADO, CO US","2.2","","2.2","U","4","U","207","U","16","U","72","U","0","U","-20.0","U,1215,","28.3","U,0701,","0.0","U,0921","-3.3","U,0928","-6.1","U,0929","-6.7","U,1016","-11.7","U,1017","-1.1","U,0605","-3.3","U,0512","-5.0","U,0507","-6.7","U,0506","-11.7","U,0417","4395.8","","4395.8","U","6.15","U","13.36","U","-1.07","U"
"USR0000CBIG","2000","37.0203","-106.2006","2540.2","BIG HORN COLORADO, CO US","15.9","","15.9","U","7","U","198","U","24","U","127","U","0","U","-20.6","U,0104,","29.4","U,0802,+","-2.2","U,0924","-2.2","U,0924","-5.0","U,1014","-7.8","U,1102","-10.6","U,1106","-0.6","U,0520","-3.3","U,0513","-5.0","U,0420","-8.3","U,0403","-10.6","U,0402","4179.0","","4179.0","U","6.62","U","13.94","U","-0.70","U"
"USR0000CBIG","2001","37.0203","-106.2006","2540.2","BIG HORN COLORADO, CO US","15.5","","15.5","U","9","U","193","U","35","U","117","U","0","U","-20.6","U,0201,","30.0","U,0706,","0.0","U,0908","-3.3","U,0909","-6.1","U,1011","-7.2","U,1119","-11.7","U,1124","-1.7","U,0615","-3.9","U,0424","-5.6","U,0423","-6.7","U,0413","-11.7","U,0319","4517.2","","4517.2","U","6.29","U","13.72","U","-1.14","U"
"USR0000CBIG","2002","37.0203","-106.2006","2540.2","BIG HORN COLORADO, CO US","41.3","","41.3","U","14","U","199","U","30","U","112","U","0","U","-24.4","U,0303,","31.1","U,0702,","-0.6","U,0920","-5.6","U,1004","-5.6","U,1004","-6.7","U,1103","-8.9","U,1111","-1.7","U,0525","-2.2","U,0422","-5.0","U,0421","-7.8","U,0326","-11.1","U,0319","4290.8","","4290.8","U","6.32","U","13.92","U","-1.29","U"
"USR0000CBIG","2003","37.0203","-106.2006","2540.2","BIG HORN COLORADO, CO US","49.8","","49.8","U","9","U","189","U","19","U","111","U","1","U","-22.2","U,1228,","32.2","U,0718,","-0.6","U,0911","-2.8","U,1013","-5.0","U,1014","-7.2","U,1025","-9.4","U,1026","-5.0","U,0511","-5.0","U,0511","-5.0","U,0511","-11.7","U,0408","-11.7","U,0408","4430.1","","4430.1","U","6.57","U","13.99","U","-0.85","U"
