"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CCHU","2000","34.8083","-119.0125","1493.5","CHUCHUPATE CALIFORNIA, CA US","94.6","","94.6","U","0","U","194","U","0","U","172","U","39","U","-13.3","U,1113,","36.7","U,0730,","0.0","U,0823","-2.8","U,0906","-6.1","U,1031","-7.8","U,1101","-8.9","U,1110","-0.6","U,0708","-2.2","U,0601","-4.4","U,0512","-6.7","U,0321","-9.4","U,0108","2761.4","","2761.4","U","10.39","U","20.64","U","0.14","U"
"USR0000CCHU","2001","34.8083","-119.0125","1493.5","CHUCHUPATE CALIFORNIA, CA US","88.6","","88.6","U","0","U","182","U","1","U","196","U","34","U","-16.7","U,0214,","36.7","U,0703,","0.0","U,0914","-3.9","U,1101","-5.6","U,1118","-6.7","U,1128","-9.4","U,1216","0.0","U,0716","-4.4","U,0504","-4.4","U,0504","-7.2","U,0413","-9.4","U,0224","3185.5","","3185.5","U","10.39","U","20.34","U","0.44","U"
"USR0000CCHU","2002","34.8083","-119.0125","1493.5","CHUCHUPATE CALIFORNIA, CA US","114.5","","114.5","U","0","U","200","U","1","U","176","U","42","U","-15.6","U,0130,","39.4","U,0709,","0.0","U,0824","-2.2","U,0907","-4.4","U,1002","-6.7","U,1203","-12.2","U,1218","0.0","U,0722","-2.2","U,0520","-5.0","U,0430","-6.7","U,0421","-8.9","U,0319","2981.6","","2981.6","U","10.21","U","20.71","U","-0.29","U"
"USR0000CCHU","2003","34.8083","-119.0125","1493.5","CHUCHUPATE CALIFORNIA, CA US","159.6","","159.6","U","0","U","181","U","0","U","178","U","46","U","-12.8","U,0209,+","36.7","U,0717,+","0.0","U,1012","-5.0","U,1030","-5.0","U,1030","-7.8","U,1102","-10.0","U,1123","0.0","U,0624","-2.8","U,0511","-8.9","U,0404","-8.9","U,0404","-8.9","U,0404","2983.1","","2983.1","U","10.89","U","20.67","U","1.12","U"
"USR0000CCHU","2004","34.8083","-119.0125","1493.5","CHUCHUPATE CALIFORNIA, CA US","75.5","","75.5","U","0","U","198","U","0","U","177","U","33","U","-14.4","U,1201,","36.7","U,0811,","0.0","U,0904","-2.8","U,1021","-4.4","U,1101","-7.2","U,1123","-13.3","U,1129","-1.1","U,0609","-3.3","U,0525","-4.4","U,0402","-7.8","U,0213","-8.9","U,0209","2774.8","","2774.8","U","10.24","U","20.20","U","0.28","U"
"USR0000CCHU","2005","34.8083","-119.0125","1493.5","CHUCHUPATE CALIFORNIA, CA US","101.1","","101.1","U","0","U","197","U","0","U","154","U","30","U","-16.1","U,0105,","36.7","U,0719,","-0.6","U,0824","-2.2","U,0911","-4.4","U,1119","-6.7","U,1204","-9.4","U,1206","-1.1","U,0625","-2.8","U,0619","-4.4","U,0423","-6.7","U,0421","-8.9","U,0130","3274.9","","3274.9","U","10.03","U","19.48","U","0.59","U"
"USR0000CCHU","2006","34.8083","-119.0125","1493.5","CHUCHUPATE CALIFORNIA, CA US","140.1","","140.1","U","0","U","205","U","0","U","168","U","46","U","-14.4","U,0312,","36.7","U,0716,","0.0","U,0805","-2.2","U,1004","-4.4","U,1018","-8.3","U,1123","-9.4","U,1124","-1.7","U,0613","-3.3","U,0504","-4.4","U,0406","-7.8","U,0322","-12.2","U,0313","3062.1","","3062.1","U","10.17","U","20.13","U","0.22","U"
"USR0000CCHU","2007","34.8083","-119.0125","1493.5","CHUCHUPATE CALIFORNIA, CA US","110.4","","110.4","U","0","U","198","U","2","U","189","U","42","U","-16.7","U,0113,+","38.3","U,0704,","-0.6","U,0914","-2.2","U,0921","-4.4","U,1021","-6.7","U,1120","-10.0","U,1122","0.0","U,0626","-2.8","U,0511","-5.0","U,0506","-7.8","U,0419","-8.9","U,0203","2946.3","","2946.3","U","10.38","U","20.76","U","0.01","U"
"USR0000CCHU","2008","34.8083","-119.0125","1493.5","CHUCHUPATE CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3183.4","","3183.4","","","","","","",""
"USR0000CCHU","2009","34.8083","-119.0125","1493.5","CHUCHUPATE CALIFORNIA, CA US","113.3","","113.3","U","0","U","185","U","1","U","169","U","47","U","-15.0","U,1208,+","36.7","U,0718,","-1.1","U,0930","-2.8","U,1002","-6.1","U,1005","-6.7","U,1006","-10.0","U,1204","0.0","U,0605","-3.9","U,0604","-6.1","U,0429","-8.3","U,0331","-12.2","U,0310","","","","","10.27","U","20.31","U","0.22","U"
"USR0000CCHU","2011","34.8083","-119.0125","1493.5","CHUCHUPATE CALIFORNIA, CA US","","","","","","","","","0","U","159","U","28","U","","","36.1","U,0827,","","","","","","","","","","","","","","","","","","","","","3257.3","","3257.3","","","","19.58","U","",""
"USR0000CCHU","2013","34.8083","-119.0125","1493.5","CHUCHUPATE CALIFORNIA, CA US","114.4","","114.4","U","2","U","187","U","2","U","173","U","21","U","-19.4","U,0114,+","36.7","U,0630,","-1.1","U,0917","-2.8","U,0926","-4.4","U,0927","-8.3","U,1031","-14.4","U,1204","-0.6","U,0614","-3.9","U,0524","-5.6","U,0419","-7.2","U,0410","-9.4","U,0225","","","","","10.18","U","20.16","U","0.21","U"
"USR0000CCHU","2014","34.8083","-119.0125","1493.5","CHUCHUPATE CALIFORNIA, CA US","111.2","","111.2","U","0","U","166","U","0","U","189","U","24","U","-13.3","U,0202,+","35.6","U,0713,","0.0","U,0825","-2.2","U,1016","-4.4","U,1017","-6.7","U,1103","-10.0","U,1226","-1.1","U,0603","-4.4","U,0512","-4.4","U,0512","-7.2","U,0403","-12.2","U,0205","2943.1","","2943.1","U","11.15","U","21.06","U","1.24","U"
