"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CCOH","1991","39.8717","-121.7689","528.2","COHASSET CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1730.5","","1730.5","","","","","","",""
"USR0000CCOH","1992","39.8717","-121.7689","528.2","COHASSET CALIFORNIA, CA US","1104.6","","1104.6","U","0","U","6","U","0","U","209","U","84","U","-2.8","U,0123,","41.1","U,0811,+","0.0","U,1218","","","","","-2.2","U,0124","-2.2","U,0124","","","","","","","17.64","U","22.88","U","12.40","U"
"USR0000CCOH","1993","39.8717","-121.7689","528.2","COHASSET CALIFORNIA, CA US","867.7","","867.7","U","0","U","8","U","0","U","185","U","61","U","-5.0","U,1221,","41.7","U,0801,","-3.3","U,1220","-3.3","U,1220","-5.0","U,1221","-0.6","U,0224","","","","","1487.2","","1487.2","U","16.53","U","21.83","U","11.22","U"
"USR0000CCOH","1994","39.8717","-121.7689","528.2","COHASSET CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1357.1","","1357.1","U","","","","","",""
"USR0000CCOH","1996","39.8717","-121.7689","528.2","COHASSET CALIFORNIA, CA US","1066.4","","1066.4","U","0","U","6","U","0","U","191","U","73","U","-1.7","U,0226,+","41.1","U,0810,","","","","","","","0.0","U,0228","","","","","1254.5","","1254.5","U","17.27","U","22.06","U","12.49","U"
"USR0000CCOH","1997","39.8717","-121.7689","528.2","COHASSET CALIFORNIA, CA US","955.7","","955.7","U","0","U","3","U","0","U","197","U","53","U","-5.6","U,0113,","40.6","U,0807,","","","","","","","-2.2","U,0114","-2.2","U,0114","-5.6","U,0113","1291.8","","1291.8","U","17.40","U","22.30","U","12.51","U"
"USR0000CCOH","1998","39.8717","-121.7689","528.2","COHASSET CALIFORNIA, CA US","874.0","","874.0","U","0","U","5","U","0","U","152","U","52","U","-5.6","U,1221,","42.8","U,0804,","-1.1","U,1206","-3.3","U,1220","-5.6","U,1221","","","","","","","1638.4","","1638.4","U","15.94","U","20.19","U","11.68","U"
"USR0000CCOH","1999","39.8717","-121.7689","528.2","COHASSET CALIFORNIA, CA US","980.2","","980.2","U","0","U","0","U","0","U","198","U","56","U","0.6","U,0405,+","41.7","U,0712,","","","","","","","","","","","","","1659.5","","1659.5","U","16.95","U","21.97","U","11.93","U"
"USR0000CCOH","2000","39.8717","-121.7689","528.2","COHASSET CALIFORNIA, CA US","1008.0","","1008.0","U","0","U","0","U","0","U","182","U","66","U","1.1","U,1113,","40.6","U,0731,","","","","","","","","","","","","","1229.4","","1229.4","U","17.28","U","21.94","U","12.62","U"
"USR0000CCOH","2001","39.8717","-121.7689","528.2","COHASSET CALIFORNIA, CA US","1250.9","","1250.9","U","0","U","0","U","0","U","208","U","85","U","0.6","U,0207,+","40.6","U,0827,+","","","","","","","","","","","","","1398.7","","1398.7","U","18.09","U","22.95","U","13.22","U"
