"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CCOR","1992","36.9911","-121.7978","137.2","CORRALITOS CALIFORNIA, CA US","177.7","","177.7","U","0","U","9","U","0","U","227","U","14","U","-2.2","U,0123,","36.7","U,1007,","0.0","U,1216","","","","","0.0","U,0124","-2.2","U,0123","","","","","15.45","U","22.64","U","8.25","U"
"USR0000CCOR","1994","36.9911","-121.7978","137.2","CORRALITOS CALIFORNIA, CA US","93.4","","93.4","U","0","U","25","U","0","U","224","U","15","U","-2.8","U,1209,","38.3","U,0814,","0.0","U,1103","-2.8","U,1209","","","0.0","U,0323","","","1383.6","","1383.6","U","14.36","U","22.13","U","6.60","U"
"USR0000CCOR","1995","36.9911","-121.7978","137.2","CORRALITOS CALIFORNIA, CA US","192.8","","192.8","U","0","U","1","U","0","U","212","U","18","U","0.0","U,0215,","38.3","U,0808,+","","","","","","","0.0","U,0215","","","1445.4","","1445.4","U","15.66","U","22.57","U","8.75","U"
"USR0000CCOR","1996","36.9911","-121.7978","137.2","CORRALITOS CALIFORNIA, CA US","189.0","","189.0","U","0","U","1","U","0","U","213","U","29","U","-0.6","U,0226,","42.2","U,1007,","","","","","","","-0.6","U,0226","","","1135.6","","1135.6","U","15.36","U","22.41","U","8.30","U"
"USR0000CCOR","1997","36.9911","-121.7978","137.2","CORRALITOS CALIFORNIA, CA US","287.4","","287.4","U","0","U","8","U","0","U","252","U","24","U","-2.8","U,0114,","40.0","U,0923,","0.0","U,1211","-2.2","U,1226","","","0.0","U,0304","-2.8","U,0114","1172.7","","1172.7","U","16.05","U","23.97","U","8.12","U"
"USR0000CCOR","1998","36.9911","-121.7978","137.2","CORRALITOS CALIFORNIA, CA US","196.2","","196.2","U","0","U","11","U","0","U","197","U","23","U","-5.0","U,1224,+","42.8","U,0803,","-1.1","U,1205","-5.0","U,1221","-5.0","U,1221","","","","","1339.2","","1339.2","U","14.79","U","21.83","U","7.75","U"
"USR0000CCOR","2003","36.9911","-121.7978","137.2","CORRALITOS CALIFORNIA, CA US","292.3","","292.3","U","0","U","8","U","0","U","225","U","36","U","-1.1","U,1123,","41.1","U,0921,","-1.1","U,1123","","","","","0.0","U,0209","","","","","","","15.72","U","23.57","U","7.86","U"
"USR0000CCOR","2004","36.9911","-121.7978","137.2","CORRALITOS CALIFORNIA, CA US","224.0","","224.0","U","0","U","10","U","0","U","236","U","29","U","-1.1","U,0104,","40.6","U,0906,","-0.6","U,1129","","","","","0.0","U,0105","","","1192.4","","1192.4","U","15.53","U","23.39","U","7.67","U"
"USR0000CCOR","2005","36.9911","-121.7978","137.2","CORRALITOS CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1218.6","","1218.6","U","","","","","",""
"USR0000CCOR","2008","36.9911","-121.7978","137.2","CORRALITOS CALIFORNIA, CA US","291.5","","291.5","U","0","U","16","U","0","U","250","U","50","U","-1.1","U,1218,","43.3","U,0620,","0.0","U,1213","","","","","0.0","U,0421","","","1431.9","","1431.9","U","15.41","U","24.00","U","6.83","U"
