"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CCRN","2000","39.9389","-122.1697","89.6","CORNING CALIFORNIA, CA US","886.3","","886.3","U","0","U","19","U","0","U","202","U","90","U","-2.8","U,1120,+","43.3","U,0731,","0.0","U,1110","-2.8","U,1113","","","","","0.0","U,0112","-2.8","U,0102","","","","","","","1362.6","","1362.6","U","16.59","U","23.39","U","9.79","U"
"USR0000CCRN","2001","39.9389","-122.1697","89.6","CORNING CALIFORNIA, CA US","1094.9","","1094.9","U","0","U","19","U","0","U","218","U","105","U","-2.8","U,0118,+","43.3","U,0702,","","","","","","","","","-2.2","U,0408","-2.2","U,0408","","","","","","","1581.1","","1581.1","U","17.58","U","24.54","U","10.62","U"
"USR0000CCRN","2002","39.9389","-122.1697","89.6","CORNING CALIFORNIA, CA US","1027.8","","1027.8","U","0","U","16","U","0","U","224","U","103","U","-4.4","U,0131,","45.0","U,0710,","","","","","","","","","-0.6","U,0319","-4.4","U,0131","-4.4","U,0131","","","","","1322.3","","1322.3","U","17.41","U","24.81","U","10.01","U"
"USR0000CCRN","2003","39.9389","-122.1697","89.6","CORNING CALIFORNIA, CA US","1131.1","","1131.1","U","0","U","9","U","0","U","190","U","111","U","-3.3","U,0209,","46.7","U,0729,","-0.6","U,1124","-2.2","U,1226","","","","","0.0","U,0405","-3.3","U,0209","","","","","","","1366.2","","1366.2","U","17.41","U","24.27","U","10.55","U"
"USR0000CCRN","2004","39.9389","-122.1697","89.6","CORNING CALIFORNIA, CA US","1021.1","","1021.1","U","0","U","14","U","0","U","219","U","105","U","-3.3","U,0103,","41.1","U,0811,+","-1.7","U,1129","-2.2","U,1204","","","","","0.0","U,0212","-2.8","U,0104","","","","","","","1311.7","","1311.7","U","17.47","U","24.55","U","10.38","U"
"USR0000CCRN","2005","39.9389","-122.1697","89.6","CORNING CALIFORNIA, CA US","938.3","","938.3","U","0","U","13","U","0","U","221","U","90","U","-2.8","U,1205,","47.2","U,0717,","-0.6","U,1127","-2.8","U,1205","","","","","-1.7","U,0114","","","","","","","","","1415.3","","1415.3","U","17.27","U","24.51","U","10.02","U"
"USR0000CCRN","2006","39.9389","-122.1697","89.6","CORNING CALIFORNIA, CA US","","","","","","","","","0","U","211","U","114","U","","","47.2","U,0717,","","","","","","","","","","","","","","","","","","","1423.6","","1423.6","U","","","24.61","U","",""
"USR0000CCRN","2007","39.9389","-122.1697","89.6","CORNING CALIFORNIA, CA US","976.7","","976.7","U","0","U","33","U","0","U","230","U","106","U","-7.8","U,0114,","43.3","U,0823,+","-3.9","U,1201","-3.9","U,1201","","","","","-0.6","U,0227","-2.2","U,0126","-4.4","U,0123","-6.7","U,0116","","","","","","","17.33","U","25.25","U","9.40","U"
"USR0000CCRN","2008","39.9389","-122.1697","89.6","CORNING CALIFORNIA, CA US","1105.6","","1105.6","U","0","U","19","U","0","U","226","U","109","U","-3.9","U,1218,","45.0","U,0707,","0.0","U,1204","-2.2","U,1217","","","","","-0.6","U,0130","","","","","","","","","1435.8","","1435.8","U","17.45","U","24.85","U","10.04","U"
"USR0000CCRN","2009","39.9389","-122.1697","89.6","CORNING CALIFORNIA, CA US","1065.2","","1065.2","U","0","U","20","U","0","U","222","U","102","U","-7.2","U,1210,","43.3","U,0727,","-0.6","U,1117","-5.6","U,1206","-5.6","U,1206","-7.2","U,1210","0.0","U,0311","-2.8","U,0210","","","","","","","1365.0","","1365.0","U","17.27","U","24.39","U","10.14","U"
