"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CCUC","2001","37.0969","-104.9214","2533.8","CUCHARA COLORADO, CO US","195.8","","195.8","U","2","U","148","U","9","U","159","U","4","U","-18.3","U,0209,","34.4","U,0707,","-0.6","U,0909","-2.2","U,1012","-4.4","U,1119","-8.9","U,1126","-8.9","U,1126","0.0","U,0522","-3.9","U,0521","-6.7","U,0319","-6.7","U,0319","-8.9","U,0318","3370.5","","3370.5","U","10.38","U","17.50","U","3.26","U"
"USR0000CCUC","2002","37.0969","-104.9214","2533.8","CUCHARA COLORADO, CO US","260.8","","260.8","U","4","U","141","U","11","U","152","U","10","U","-23.3","U,0226,","37.2","U,0816,","-1.1","U,1013","-2.8","U,1023","-8.9","U,1029","-8.9","U,1029","-8.9","U,1029","0.0","U,0509","-3.9","U,0419","-9.4","U,0403","-9.4","U,0403","-9.4","U,0403","2979.1","","2979.1","U","10.09","U","17.61","U","2.57","U"
"USR0000CCUC","2003","37.0969","-104.9214","2533.8","CUCHARA COLORADO, CO US","219.5","","219.5","U","2","U","127","U","7","U","146","U","10","U","-18.9","U,0207,","33.9","U,0703,","-0.6","U,0914","-3.9","U,1025","-5.6","U,1026","-13.9","U,1122","-13.9","U,1122","0.0","U,0520","-2.2","U,0511","-7.8","U,0408","-7.8","U,0408","-8.9","U,0330","3267.9","","3267.9","U","10.31","U","17.52","U","3.10","U"
"USR0000CCUC","2004","37.0969","-104.9214","2533.8","CUCHARA COLORADO, CO US","86.8","","86.8","U","2","U","149","U","15","U","133","U","0","U","-21.7","U,1223,","30.6","U,0606,","-1.7","U,1013","-9.4","U,1101","-9.4","U,1101","-9.4","U,1101","-9.4","U,1101","-0.6","U,0514","-6.1","U,0501","-6.1","U,0501","-6.7","U,0412","-14.4","U,0213","3098.4","","3098.4","U","9.43","U","16.28","U","2.58","U"
"USR0000CCUC","2005","37.0969","-104.9214","2533.8","CUCHARA COLORADO, CO US","176.3","","176.3","U","3","U","143","U","17","U","134","U","6","U","-21.7","U,1207,","32.8","U,0802,+","0.0","U,1006","-5.0","U,1113","-5.0","U,1113","-10.6","U,1115","-10.6","U,1115","-0.6","U,0512","-2.8","U,0502","-5.6","U,0430","-8.9","U,0401","-8.9","U,0401","3407.5","","3407.5","U","9.84","U","16.56","U","3.12","U"
"USR0000CCUC","2006","37.0969","-104.9214","2533.8","CUCHARA COLORADO, CO US","190.8","","190.8","U","2","U","148","U","10","U","149","U","7","U","-18.3","U,1130,","33.9","U,0716,+","0.0","U,0917","-2.8","U,1018","-4.4","U,1027","-8.3","U,1115","-17.8","U,1129","-1.7","U,0511","-3.9","U,0425","-5.6","U,0324","-7.2","U,0323","-8.9","U,0322","3066.8","","3066.8","U","10.11","U","17.32","U","2.90","U"
"USR0000CCUC","2007","37.0969","-104.9214","2533.8","CUCHARA COLORADO, CO US","172.0","","172.0","U","3","U","134","U","19","U","149","U","5","U","-21.7","U,0115,","32.8","U,0717,","0.0","U,1014","-6.1","U,1021","-6.1","U,1021","-8.9","U,1022","-8.9","U,1022","-0.6","U,0608","-2.2","U,0425","-8.3","U,0414","-8.3","U,0414","-15.6","U,0303","3341.5","","3341.5","U","9.95","U","17.18","U","2.73","U"
"USR0000CCUC","2008","37.0969","-104.9214","2533.8","CUCHARA COLORADO, CO US","196.6","","196.6","U","2","U","162","U","12","U","151","U","11","U","-20.0","U,0116,","34.4","U,0802,","-1.7","U,1013","-6.1","U,1022","-6.1","U,1022","-7.8","U,1114","-10.6","U,1115","0.0","U,0516","-6.1","U,0503","-6.1","U,0503","-6.7","U,0427","-11.7","U,0307","3299.0","","3299.0","U","9.71","U","17.01","U","2.41","U"
"USR0000CCUC","2009","37.0969","-104.9214","2533.8","CUCHARA COLORADO, CO US","158.9","","158.9","U","3","U","140","U","12","U","141","U","2","U","-21.1","U,1204,","35.0","U,0712,","-2.2","U,0921","-2.2","U,0921","-5.6","U,1010","-8.9","U,1026","-8.9","U,1026","-0.6","U,0427","-3.9","U,0418","-8.9","U,0406","-8.9","U,0406","-8.9","U,0406","2915.8","","2915.8","U","9.90","U","17.14","U","2.65","U"
"USR0000CCUC","2010","37.0969","-104.9214","2533.8","CUCHARA COLORADO, CO US","221.7","","221.7","U","2","U","150","U","13","U","148","U","8","U","-20.0","U,1231,","34.4","U,0607,","-1.7","U,1025","-5.0","U,1026","-5.0","U,1026","-7.8","U,1110","-12.8","U,1124","-1.1","U,0513","-2.8","U,0507","-4.4","U,0430","-6.7","U,0402","-8.9","U,0321","3488.4","","3488.4","U","9.98","U","17.19","U","2.77","U"
