"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CDVR","1991","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","763.7","","763.7","U","0","U","2","U","0","U","209","U","62","U","-0.6","U,0316,","38.9","U,1002,","","","-0.6","U,0316","","","","","","","17.30","U","23.22","U","11.39","U"
"USR0000CDVR","1992","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","872.4","","872.4","U","0","U","0","U","0","U","209","U","60","U","2.2","U,1220,+","38.9","U,0819,","","","","","","","976.2","","976.2","U","17.80","U","22.93","U","12.67","U"
"USR0000CDVR","1993","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","813.8","","813.8","U","0","U","0","U","0","U","231","U","70","U","2.2","U,1216,+","42.2","U,0909,","","","","","","","1122.0","","1122.0","U","17.80","U","23.92","U","11.68","U"
"USR0000CDVR","1995","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","1132.7","","1132.7","U","0","U","0","U","0","U","237","U","98","U","2.2","U,1223,+","44.4","U,0728,","","","","","","","","","","","18.72","U","24.73","U","12.70","U"
"USR0000CDVR","1996","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","","","","","0","U","2","U","0","U","261","U","118","U","-0.6","U,0227,","43.3","U,0813,","","","-0.6","U,0227","","","691.6","","691.6","U","19.34","U","26.51","U","12.18","U"
"USR0000CDVR","1997","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","1129.2","","1129.2","U","0","U","0","U","0","U","265","U","104","U","2.2","U,1209,+","46.1","U,0805,","","","","","","","","","","","19.16","U","26.14","U","12.17","U"
"USR0000CDVR","1999","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","1016.4","","1016.4","U","0","U","2","U","0","U","255","U","109","U","0.0","U,0409,+","41.7","U,1013,","","","0.0","U,0409","","","1080.5","","1080.5","U","18.47","U","25.58","U","11.35","U"
"USR0000CDVR","2000","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","1013.3","","1013.3","U","0","U","0","U","0","U","258","U","99","U","1.1","U,0306,","43.3","U,0614,","","","","","","","712.3","","712.3","U","18.81","U","25.83","U","11.79","U"
"USR0000CDVR","2001","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","","","","","0","U","0","U","","","","","","","0.6","U,0215,","","","","","","","","","1051.0","","1051.0","","","","","","11.33","U"
"USR0000CDVR","2002","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","933.8","","933.8","U","0","U","0","U","0","U","249","U","93","U","1.1","U,1224,+","42.2","U,0902,","","","","","","","","","","","18.39","U","25.63","U","11.13","U"
"USR0000CDVR","2003","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","943.6","","943.6","U","","","","","",""
"USR0000CDVR","2004","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","1009.8","","1009.8","U","0","U","0","U","0","U","254","U","96","U","1.1","U,1121,","40.6","U,0810,","","","","","","","","","","","18.54","U","25.40","U","11.69","U"
"USR0000CDVR","2005","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","955.7","","955.7","U","0","U","0","U","0","U","247","U","89","U","1.7","U,1216,","41.1","U,0719,","","","","","","","1044.1","","1044.1","U","18.53","U","25.03","U","12.03","U"
"USR0000CDVR","2006","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","1076.3","","1076.3","U","0","U","3","U","0","U","234","U","79","U","0.0","U,0404,+","43.3","U,0722,","","","0.0","U,0404","","","960.0","","960.0","U","18.45","U","24.41","U","12.49","U"
"USR0000CDVR","2007","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","983.5","","983.5","U","0","U","3","U","0","U","233","U","78","U","-2.2","U,0114,","41.1","U,0903,+","","","-2.2","U,0114","-2.2","U,0114","940.9","","940.9","U","18.22","U","24.23","U","12.21","U"
"USR0000CDVR","2008","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","1212.1","","1212.1","U","0","U","1","U","0","U","233","U","95","U","0.0","U,1226,","39.4","U,0620,","0.0","U,1226","","","","","1114.8","","1114.8","U","18.74","U","24.45","U","13.04","U"
"USR0000CDVR","2009","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","999.7","","999.7","U","0","U","2","U","0","U","224","U","80","U","-0.6","U,1208,","40.0","U,0828,","-0.6","U,1208","0.0","U,0211","","","961.8","","961.8","U","18.25","U","23.89","U","12.62","U"
"USR0000CDVR","2010","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","779.7","","779.7","U","0","U","0","U","0","U","212","U","51","U","1.7","U,1231,+","41.7","U,0824,","","","","","","","1086.5","","1086.5","U","17.38","U","22.98","U","11.78","U"
"USR0000CDVR","2011","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","849.0","","849.0","U","0","U","1","U","0","U","220","U","64","U","-0.6","U,0227,","40.0","U,0827,","","","-0.6","U,0227","","","1210.3","","1210.3","U","17.35","U","23.00","U","11.69","U"
"USR0000CDVR","2012","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","1109.1","","1109.1","U","0","U","0","U","0","U","240","U","78","U","0.6","U,0318,","40.6","U,0811,+","","","","","","","993.1","","993.1","U","18.72","U","24.68","U","12.76","U"
"USR0000CDVR","2013","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","956.6","","956.6","U","0","U","5","U","0","U","252","U","62","U","-0.6","U,0114,+","41.1","U,0630,","","","0.0","U,0209","","","961.7","","961.7","U","18.40","U","24.23","U","12.57","U"
"USR0000CDVR","2014","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","1117.2","","1117.2","U","0","U","0","U","0","U","267","U","75","U","1.1","U,1231,","39.4","U,0915,+","","","","","","","691.4","","691.4","U","19.58","U","25.39","U","13.76","U"
"USR0000CDVR","2015","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","1113.8","","1113.8","U","0","U","2","U","0","U","258","U","71","U","-2.2","U,0101,","40.0","U,0815,","0.0","U,1228","-2.2","U,0101","-2.2","U,0101","652.5","","652.5","U","19.37","U","24.98","U","13.75","U"
"USR0000CDVR","2016","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","1099.6","","1099.6","U","0","U","0","U","0","U","243","U","73","U","0.6","U,1225,","42.2","U,0620,","","","","","","","838.2","","838.2","U","19.17","U","24.89","U","13.44","U"
"USR0000CDVR","2017","34.2211","-117.4044","627.0","DEVORE CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","901.0","","901.0","U","","","","","",""
