"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CEEC","2006","40.1383","-123.8236","135.9","EEL RIVER CAMP CALIFORNIA, CA US","","","","","","","","","0","U","185","U","65","U","","","45.6","U,0723,","","","","","","","","","","","","","","","","","22.25","U","",""
"USR0000CEEC","2008","40.1383","-123.8236","135.9","EEL RIVER CAMP CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022.9","","2022.9","U","","","","","",""
"USR0000CEEC","2009","40.1383","-123.8236","135.9","EEL RIVER CAMP CALIFORNIA, CA US","294.1","","294.1","U","0","U","27","U","0","U","182","U","57","U","-5.6","U,1208,","41.1","U,0927,+","-2.2","U,1205","-2.2","U,1205","-5.0","U,1207","0.0","U,0406","-2.2","U,0310","","","","","13.98","U","21.71","U","6.25","U"
"USR0000CEEC","2010","40.1383","-123.8236","135.9","EEL RIVER CAMP CALIFORNIA, CA US","200.8","","200.8","U","0","U","6","U","0","U","156","U","34","U","-1.7","U,1124,","42.2","U,0825,","-1.1","U,1123","","","","","0.0","U,0405","","","1981.9","","1981.9","U","13.58","U","20.12","U","7.04","U"
"USR0000CEEC","2012","40.1383","-123.8236","135.9","EEL RIVER CAMP CALIFORNIA, CA US","226.2","","226.2","U","0","U","20","U","0","U","169","U","41","U","-3.3","U,0117,+","42.8","U,0813,","0.0","U,1218","","","","","0.0","U,0406","-2.2","U,0307","1981.8","","1981.8","U","13.80","U","20.97","U","6.64","U"
"USR0000CEEC","2013","40.1383","-123.8236","135.9","EEL RIVER CAMP CALIFORNIA, CA US","275.7","","275.7","U","0","U","43","U","0","U","188","U","45","U","-6.1","U,1209,+","40.6","U,0909,","0.0","U,1122","-2.8","U,1123","-5.0","U,1205","0.0","U,0323","-2.2","U,0115","1749.5","","1749.5","U","13.88","U","21.71","U","6.05","U"
"USR0000CEEC","2014","40.1383","-123.8236","135.9","EEL RIVER CAMP CALIFORNIA, CA US","339.4","","339.4","U","0","U","17","U","0","U","196","U","57","U","-3.3","U,1231,","40.0","U,0630,","-2.2","U,1230","-2.2","U,1230","","","0.0","U,0322","-2.8","U,0205","1701.9","","1701.9","U","15.40","U","22.93","U","7.86","U"
"USR0000CEEC","2015","40.1383","-123.8236","135.9","EEL RIVER CAMP CALIFORNIA, CA US","346.5","","346.5","U","0","U","9","U","0","U","193","U","50","U","-3.3","U,1129,+","42.2","U,0730,","0.0","U,1126","-2.8","U,1127","","","-0.6","U,0225","-2.8","U,0224","1279.2","","1279.2","U","15.23","U","22.87","U","7.60","U"
"USR0000CEEC","2016","40.1383","-123.8236","135.9","EEL RIVER CAMP CALIFORNIA, CA US","288.4","","288.4","U","0","U","9","U","0","U","187","U","51","U","-1.7","U,1218,+","41.1","U,0728,","-0.6","U,1205","","","","","-1.7","U,0102","","","1550.2","","1550.2","U","14.82","U","21.87","U","7.76","U"
"USR0000CEEC","2017","40.1383","-123.8236","135.9","EEL RIVER CAMP CALIFORNIA, CA US","369.6","","369.6","U","0","U","5","U","0","U","168","U","55","U","-1.1","U,0106,","43.9","U,0902,","0.0","U,1205","","","","","0.0","U,0224","","","1804.6","","1804.6","U","14.33","U","21.40","U","7.25","U"
