"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CELI","2000","38.0631","-120.2469","1503.6","MOUNT ELIZABETH CALIFORNIA, CA US","","","","","0","U","56","U","","","","","","","-9.4","U,0128,","","","0.0","U,1030","-3.9","U,1110","","","","","","","-1.1","U,0511","-2.2","U,0308","-4.4","U,0224","-7.8","U,0201","-9.4","U,0128","","","","","","","","","8.33","U"
"USR0000CELI","2002","38.0631","-120.2469","1503.6","MOUNT ELIZABETH CALIFORNIA, CA US","504.8","","504.8","U","0","U","60","U","4","U","146","U","11","U","-8.9","U,0129,+","36.7","U,0710,","0.0","U,1216","-2.2","U,1217","-4.4","U,1218","","","","","0.0","U,0521","-3.3","U,0418","-4.4","U,0415","-8.3","U,0130","-8.9","U,0129","2376.7","","2376.7","U","13.08","U","17.50","U","8.65","U"
"USR0000CELI","2003","38.0631","-120.2469","1503.6","MOUNT ELIZABETH CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2317.9","","2317.9","U","","","","","",""
"USR0000CELI","2004","38.0631","-120.2469","1503.6","MOUNT ELIZABETH CALIFORNIA, CA US","474.1","","474.1","U","0","U","52","U","3","U","149","U","4","U","-7.2","U,0103,","33.9","U,0811,","0.0","U,1020","-2.2","U,1121","","","","","","","0.0","U,0419","-4.4","U,0227","-4.4","U,0227","-6.7","U,0104","","","","","","","13.23","U","17.70","U","8.75","U"
"USR0000CELI","2005","38.0631","-120.2469","1503.6","MOUNT ELIZABETH CALIFORNIA, CA US","463.7","","463.7","U","0","U","48","U","5","U","131","U","13","U","-3.3","U,0112,+","35.6","U,0716,","-1.7","U,1126","","","","","","","","","0.0","U,0510","-2.2","U,0409","","","","","","","2646.7","","2646.7","U","12.75","U","17.18","U","8.32","U"
"USR0000CELI","2006","38.0631","-120.2469","1503.6","MOUNT ELIZABETH CALIFORNIA, CA US","520.0","","520.0","U","0","U","80","U","2","U","143","U","16","U","-7.8","U,0312,+","37.2","U,0723,","0.0","U,1125","-2.2","U,1127","-5.6","U,1128","","","","","-0.6","U,0527","-3.9","U,0417","-4.4","U,0401","-7.8","U,0312","","","2487.9","","2487.9","U","12.62","U","17.06","U","8.18","U"
"USR0000CELI","2007","38.0631","-120.2469","1503.6","MOUNT ELIZABETH CALIFORNIA, CA US","466.2","","466.2","U","0","U","60","U","3","U","156","U","10","U","-10.6","U,0112,","35.0","U,0705,","-0.6","U,1005","-3.3","U,1130","-4.4","U,1201","","","","","0.0","U,0504","-3.9","U,0418","-6.7","U,0301","-6.7","U,0301","-9.4","U,0113","2290.0","","2290.0","U","13.17","U","17.92","U","8.41","U"
"USR0000CELI","2008","38.0631","-120.2469","1503.6","MOUNT ELIZABETH CALIFORNIA, CA US","659.3","","659.3","U","0","U","66","U","8","U","160","U","22","U","-7.2","U,1216,+","39.4","U,0709,","-0.6","U,1011","-5.6","U,1213","-5.6","U,1213","-7.2","U,1216","","","0.0","U,0424","-2.8","U,0421","-5.0","U,0420","-6.7","U,0129","","","2541.5","","2541.5","U","13.72","U","18.86","U","8.57","U"
"USR0000CELI","2009","38.0631","-120.2469","1503.6","MOUNT ELIZABETH CALIFORNIA, CA US","629.5","","629.5","U","0","U","61","U","8","U","151","U","35","U","-9.4","U,1208,","36.7","U,0629,","0.0","U,1004","-3.3","U,1206","-8.3","U,1207","-8.3","U,1207","-9.4","U,1208","-0.6","U,0428","-3.9","U,0415","-5.0","U,0323","-7.2","U,0210","","","2191.5","","2191.5","U","13.54","U","18.53","U","8.54","U"
"USR0000CELI","2010","38.0631","-120.2469","1503.6","MOUNT ELIZABETH CALIFORNIA, CA US","478.2","","478.2","U","0","U","78","U","7","U","129","U","20","U","-7.8","U,1230,","36.7","U,0825,","0.0","U,1110","-3.3","U,1120","-5.0","U,1123","-6.7","U,1124","","","-0.6","U,0528","-3.3","U,0511","-5.6","U,0309","","","","","2661.4","","2661.4","U","12.17","U","16.98","U","7.36","U"
