"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CESP","1994","38.2428","-120.515","780.0","ESPERANZA CALIFORNIA, CA US","547.4","","547.4","U","0","U","65","U","0","U","209","U","72","U","-5.0","U,1208,","38.3","U,0806,","-0.6","U,1102","-2.2","U,1111","-4.4","U,1118","","","","","0.0","U,0410","-4.4","U,0323","-4.4","U,0323","","","1760.0","","1760.0","U","14.37","U","22.29","U","6.44","U"
"USR0000CESP","2000","38.2428","-120.515","780.0","ESPERANZA CALIFORNIA, CA US","668.5","","668.5","U","0","U","26","U","0","U","209","U","86","U","-3.3","U,1113,+","40.6","U,0801,+","-1.7","U,1110","-2.8","U,1111","","","","","","","-1.1","U,0511","-2.2","U,0301","","","","","1460.8","","1460.8","U","15.44","U","23.44","U","7.45","U"
"USR0000CESP","2003","38.2428","-120.515","780.0","ESPERANZA CALIFORNIA, CA US","879.9","","879.9","U","0","U","53","U","0","U","209","U","116","U","-5.0","U,1227,","41.7","U,0717,","0.0","U,1030","-2.2","U,1121","-5.0","U,1227","","","","","0.0","U,0509","-2.2","U,0208","","","","","1659.2","","1659.2","U","16.02","U","24.59","U","7.46","U"
"USR0000CESP","2004","38.2428","-120.515","780.0","ESPERANZA CALIFORNIA, CA US","","","","","0","U","46","U","","","","","","","-5.6","U,0104,","","","0.0","U,1027","-3.3","U,1128","","","","","","","0.0","U,0304","-2.2","U,0228","-5.6","U,0104","","","","","","","","","","","7.52","U"
"USR0000CESP","2007","38.2428","-120.515","780.0","ESPERANZA CALIFORNIA, CA US","","","","","","","","","0","U","236","U","94","U","","","43.9","U,0705,","","","","","","","","","","","","","","","","","","","","","","","","","24.76","U","",""
"USR0000CESP","2009","38.2428","-120.515","780.0","ESPERANZA CALIFORNIA, CA US","654.4","","654.4","U","0","U","50","U","0","U","201","U","73","U","-8.9","U,1209,+","39.4","U,0719,+","-0.6","U,1028","-2.2","U,1205","-6.1","U,1207","-8.9","U,1208","-8.9","U,1208","-0.6","U,0429","-2.2","U,0415","-5.0","U,0210","","","1673.5","","1673.5","U","14.87","U","22.52","U","7.21","U"
"USR0000CESP","2010","38.2428","-120.515","780.0","ESPERANZA CALIFORNIA, CA US","532.4","","532.4","U","0","U","44","U","0","U","164","U","60","U","-5.6","U,1230,","40.6","U,0825,","-0.6","U,1109","-3.9","U,1124","-4.4","U,1125","","","","","-0.6","U,0511","-2.2","U,0311","","","","","2257.8","","2257.8","U","13.65","U","20.22","U","7.08","U"
"USR0000CESP","2011","38.2428","-120.515","780.0","ESPERANZA CALIFORNIA, CA US","530.5","","530.5","U","0","U","62","U","0","U","160","U","61","U","-5.6","U,0226,+","37.2","U,0923,","-0.6","U,1104","-2.2","U,1105","","","","","","","-0.6","U,0414","-2.2","U,0409","-5.0","U,0227","","","2281.1","","2281.1","U","13.65","U","20.63","U","6.67","U"
"USR0000CESP","2012","38.2428","-120.515","780.0","ESPERANZA CALIFORNIA, CA US","680.4","","680.4","U","0","U","52","U","0","U","190","U","75","U","-6.1","U,0117,","40.6","U,0811,","-0.6","U,1109","-2.8","U,1111","-5.0","U,1219","","","","","-0.6","U,0414","-2.8","U,0406","-5.6","U,0307","","","1987.9","","1987.9","U","14.74","U","21.85","U","7.64","U"
"USR0000CESP","2013","38.2428","-120.515","780.0","ESPERANZA CALIFORNIA, CA US","615.7","","615.7","U","0","U","50","U","0","U","203","U","62","U","-8.9","U,1208,","39.4","U,0608,","-3.9","U,1203","-3.9","U,1203","-6.1","U,1204","-6.7","U,1207","-8.9","U,1208","0.0","U,0417","-2.2","U,0221","-5.6","U,0220","-6.7","U,0113","1836.5","","1836.5","U","15.04","U","22.69","U","7.38","U"
