"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CFOU","1992","35.8922","-118.915","64.0","FOUNTAIN SPRINGS CALIFORNIA, CA US","1102.3","","1102.3","U","0","U","23","U","0","U","240","U","113","U","-4.4","U,1227,","42.2","U,0813,","0.0","U,1201","-2.2","U,1219","-4.4","U,1227","","","","","0.0","U,0203","-2.2","U,0126","","","1291.8","","1291.8","U","17.76","U","25.18","U","10.34","U"
"USR0000CFOU","1993","35.8922","-118.915","64.0","FOUNTAIN SPRINGS CALIFORNIA, CA US","824.5","","824.5","U","0","U","19","U","0","U","237","U","97","U","-6.1","U,0105,","42.2","U,0625,","0.0","U,1116","-3.3","U,1125","-5.0","U,1224","","","","","0.0","U,0201","-6.1","U,0105","-6.1","U,0105","1318.4","","1318.4","U","16.91","U","24.80","U","9.02","U"
"USR0000CFOU","1994","35.8922","-118.915","64.0","FOUNTAIN SPRINGS CALIFORNIA, CA US","993.5","","993.5","U","0","U","46","U","0","U","231","U","113","U","-3.3","U,1209,","42.8","U,0627,","-0.6","U,1103","-2.8","U,1119","","","","","","","-1.7","U,0323","-2.2","U,0108","","","1390.2","","1390.2","U","16.87","U","25.21","U","8.52","U"
"USR0000CFOU","1995","35.8922","-118.915","64.0","FOUNTAIN SPRINGS CALIFORNIA, CA US","864.3","","864.3","U","0","U","7","U","0","U","244","U","106","U","-1.1","U,1217,","42.8","U,0728,","0.0","U,1210","","","","","","","","","0.0","U,0325","","","","","1440.7","","1440.7","U","17.58","U","25.78","U","9.38","U"
"USR0000CFOU","1996","35.8922","-118.915","64.0","FOUNTAIN SPRINGS CALIFORNIA, CA US","1024.1","","1024.1","U","0","U","14","U","0","U","231","U","116","U","-2.8","U,0227,","43.9","U,0813,+","0.0","U,1201","","","","","","","","","-1.1","U,0330","-2.8","U,0227","","","1096.3","","1096.3","U","17.64","U","25.88","U","9.40","U"
"USR0000CFOU","1997","35.8922","-118.915","64.0","FOUNTAIN SPRINGS CALIFORNIA, CA US","973.9","","973.9","U","0","U","23","U","0","U","242","U","113","U","-5.0","U,1227,","43.3","U,0807,","-0.6","U,1210","-2.2","U,1213","-5.0","U,1227","","","","","0.0","U,0409","-2.2","U,0304","","","1274.4","","1274.4","U","17.35","U","25.69","U","9.01","U"
"USR0000CFOU","1998","35.8922","-118.915","64.0","FOUNTAIN SPRINGS CALIFORNIA, CA US","847.5","","847.5","U","0","U","24","U","0","U","200","U","85","U","-8.9","U,1223,","43.3","U,0805,+","0.0","U,1204","-2.8","U,1207","-6.7","U,1221","-6.7","U,1221","-8.9","U,1223","-1.1","U,0126","-2.2","U,0106","","","1465.2","","1465.2","U","16.31","U","23.92","U","8.70","U"
"USR0000CFOU","2000","35.8922","-118.915","64.0","FOUNTAIN SPRINGS CALIFORNIA, CA US","921.2","","921.2","U","0","U","32","U","0","U","226","U","100","U","-2.8","U,1115,+","41.1","U,0801,","-0.6","U,1112","-2.8","U,1115","","","","","","","-0.6","U,0110","-2.2","U,0109","","","1164.0","","1164.0","U","17.19","U","25.10","U","9.28","U"
"USR0000CFOU","2002","35.8922","-118.915","64.0","FOUNTAIN SPRINGS CALIFORNIA, CA US","1050.2","","1050.2","U","0","U","29","U","0","U","239","U","121","U","-3.9","U,0123,","43.3","U,0712,+","-1.7","U,1219","-2.8","U,1225","","","","","","","0.0","U,0418","-2.2","U,0202","","","1302.0","","1302.0","U","17.54","U","26.09","U","8.99","U"
"USR0000CFOU","2004","35.8922","-118.915","64.0","FOUNTAIN SPRINGS CALIFORNIA, CA US","1031.5","","1031.5","U","0","U","25","U","0","U","230","U","119","U","-4.4","U,1204,","42.2","U,0812,","0.0","U,1123","-2.2","U,1129","-4.4","U,1204","","","","","0.0","U,0201","","","","","","","","","17.44","U","25.47","U","9.42","U"
