"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CFTC","1995","38.6586","-104.8539","2042.2","FORT CARSON COLORADO, CO US","288.1","","288.1","U","3","U","123","U","20","U","105","U","9","U","-18.9","U,0213,","33.9","U,0811,+","-1.7","U,0920","-2.8","U,0921","-5.6","U,1023","-7.2","U,1101","-8.9","U,1102","0.0","U,0502","-2.8","U,0426","-6.1","U,0423","-11.1","U,0411","-11.1","U,0411","3221.8","","3221.8","U","9.81","U","15.63","U","3.99","U"
"USR0000CFTC","1996","38.6586","-104.8539","2042.2","FORT CARSON COLORADO, CO US","272.6","","272.6","U","8","U","123","U","21","U","146","U","4","U","-26.1","U,0202,","33.3","U,0704,","-0.6","U,0926","-3.3","U,0927","-4.4","U,1021","-6.7","U,1116","-8.9","U,1203","-5.0","U,0429","-5.0","U,0429","-5.0","U,0429","-13.9","U,0326","-13.9","U,0326","3022.5","","3022.5","U","10.45","U","16.81","U","4.09","U"
"USR0000CFTC","1997","38.6586","-104.8539","2042.2","FORT CARSON COLORADO, CO US","326.3","","326.3","U","3","U","127","U","26","U","133","U","4","U","-26.1","U,0112,","33.3","U,0717,+","-2.2","U,1013","-2.2","U,1013","-5.6","U,1024","-8.3","U,1025","-13.3","U,1114","0.0","U,0502","-2.8","U,0426","-8.3","U,0413","-8.3","U,0413","-12.8","U,0412","3088.4","","3088.4","U","10.30","U","16.05","U","4.56","U"
"USR0000CFTC","1998","38.6586","-104.8539","2042.2","FORT CARSON COLORADO, CO US","385.7","","385.7","U","4","U","121","U","12","U","152","U","9","U","-22.8","U,1221,","35.6","U,0720,","-0.6","U,1005","-2.8","U,1108","-6.7","U,1109","-6.7","U,1109","-10.6","U,1207","0.0","U,0420","-3.3","U,0417","-5.0","U,0331","-7.2","U,0319","-11.1","U,0311","3076.2","","3076.2","U","11.13","U","17.07","U","5.20","U"
"USR0000CFTC","1999","38.6586","-104.8539","2042.2","FORT CARSON COLORADO, CO US","249.0","","249.0","U","0","U","122","U","12","U","139","U","0","U","-13.9","U,0103,","31.7","U,0704,","-1.1","U,0928","-3.9","U,0929","-4.4","U,1016","-6.7","U,1123","-8.9","U,1124","-1.7","U,0512","-2.8","U,0506","-8.3","U,0417","-8.3","U,0417","-8.9","U,0403","2958.9","","2958.9","U","10.90","U","16.95","U","4.85","U"
"USR0000CFTC","2000","38.6586","-104.8539","2042.2","FORT CARSON COLORADO, CO US","407.4","","407.4","U","0","U","134","U","16","U","145","U","7","U","-17.2","U,1211,","33.3","U,0706,+","-0.6","U,0923","-2.2","U,1006","-6.7","U,1106","-6.7","U,1106","-10.0","U,1107","0.0","U,0512","-3.9","U,0416","-6.7","U,0403","-6.7","U,0403","-10.6","U,0130","2750.4","","2750.4","U","10.70","U","16.89","U","4.52","U"
"USR0000CFTC","2001","38.6586","-104.8539","2042.2","FORT CARSON COLORADO, CO US","380.6","","380.6","U","1","U","138","U","25","U","150","U","8","U","-18.3","U,0209,","34.4","U,0706,","-1.1","U,1005","-2.2","U,1025","-5.6","U,1125","-7.8","U,1126","-12.2","U,1127","-1.7","U,0521","-3.9","U,0423","-4.4","U,0325","-6.7","U,0311","-11.7","U,0228","3418.4","","3418.4","U","10.76","U","16.92","U","4.61","U"
"USR0000CFTC","2002","38.6586","-104.8539","2042.2","FORT CARSON COLORADO, CO US","461.6","","461.6","U","3","U","132","U","23","U","143","U","24","U","-20.0","U,0226,","36.1","U,0731,","-1.7","U,1017","-2.8","U,1022","-8.3","U,1029","-8.3","U,1029","-10.0","U,1030","-2.2","U,0509","-2.2","U,0509","-7.2","U,0404","-7.2","U,0404","-11.1","U,0322","2920.7","","2920.7","U","10.77","U","17.44","U","4.10","U"
"USR0000CFTC","2003","38.6586","-104.8539","2042.2","FORT CARSON COLORADO, CO US","380.1","","380.1","U","3","U","123","U","12","U","144","U","27","U","-20.0","U,0224,","36.1","U,0725,+","-0.6","U,0914","-2.8","U,1025","-4.4","U,1105","-12.2","U,1122","-12.2","U,1122","0.0","U,0511","-4.4","U,0408","-4.4","U,0408","-8.3","U,0329","-13.3","U,0305","3118.4","","3118.4","U","10.99","U","17.38","U","4.60","U"
"USR0000CFTC","2004","38.6586","-104.8539","2042.2","FORT CARSON COLORADO, CO US","205.8","","205.8","U","4","U","122","U","20","U","135","U","3","U","-22.8","U,1223,","33.3","U,0607,","-1.7","U,1013","-5.6","U,1101","-5.6","U,1101","-6.7","U,1102","-9.4","U,1128","-2.2","U,0501","-2.2","U,0501","-4.4","U,0412","-11.1","U,0213","-11.1","U,0213","3004.4","","3004.4","U","10.19","U","16.14","U","4.25","U"
